Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2019 Q3,Středočeský kraj 2019 Q3,Jihočeský kraj 2019 Q3,Plzeňský kraj 2019 Q3,Karlovarský kraj 2019 Q3,Ústecký kraj 2019 Q3,Liberecký kraj 2019 Q3,Královéhradecký kraj 2019 Q3,Pardubický kraj 2019 Q3,Kraj Vysočina 2019 Q3,Jihomoravský kraj 2019 Q3,Olomoucký kraj 2019 Q3,Moravskoslezský kraj 2019 Q3,Zlínský kraj 2019 Q3
Kypr,196,CY,CYP,16,0,1,0,0,1,0,0,0,0,0,0,1,1
Česko,203,CZ,CZE,308325,258590,122237,104220,49720,125393,89199,105448,90228,86475,215948,106722,185210,108017
Benin,204,BJ,BEN,12,1,0,0,0,3,1,0,0,0,0,1,0,0
Dánsko,208,DK,DNK,54,7,1,1,1,4,2,0,0,2,3,0,4,1
Dominikánská republika,214,DO,DOM,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Ekvádor,218,EC,ECU,2,4,0,0,0,0,0,1,0,0,3,1,1,0
Salvador,222,SV,SLV,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Etiopie,231,ET,ETH,13,1,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonsko,233,EE,EST,22,3,0,0,0,2,0,1,0,0,2,0,1,1
Finsko,246,FI,FIN,50,4,0,1,0,2,0,1,0,1,4,1,1,0
Alandy,248,AX,ALA,10,4,0,0,4,4,1,2,0,0,6,1,3,0
Francie,250,FR,FRA,455,58,15,16,4,6,3,5,11,7,34,9,19,10
Gabon,266,GA,GAB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gruzie,268,GE,GEO,72,10,2,2,5,1,1,0,1,0,5,1,2,0
Gambie,270,GM,GMB,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Palestina,275,PS,PSE,4,3,0,0,0,1,0,1,0,0,0,0,0,0
Německo,276,DE,DEU,516,231,94,255,265,1281,75,48,31,25,107,66,54,19
Ghana,288,GH,GHA,26,4,0,0,0,7,1,1,3,0,3,1,0,1
Řecko,300,GR,GRC,112,12,2,2,4,8,6,4,3,2,30,16,38,1
Guatemala,320,GT,GTM,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,324,GN,GIN,14,3,0,0,0,1,0,0,0,0,1,0,1,0
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,340,HN,HND,6,1,0,0,0,0,0,0,1,0,0,0,0,0
Hongkong,344,HK,HKG,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maďarsko,348,HU,HUN,456,85,17,103,22,36,25,41,28,15,113,14,23,7
Island,352,IS,ISL,10,1,0,0,1,0,0,0,0,0,0,0,0,0
Indie,356,IN,IND,84,4,1,0,3,3,0,1,1,0,13,4,8,2
Indonésie,360,ID,IDN,5,1,0,0,0,0,1,0,1,0,1,0,1,0
Írán,364,IR,IRN,16,5,1,4,0,0,3,1,0,1,2,2,0,1
Irák,368,IQ,IRQ,27,8,0,2,1,8,1,1,4,1,9,0,4,0
Irsko,372,IE,IRL,130,16,5,13,4,4,2,1,3,3,12,2,8,5
Izrael,376,IL,ISR,67,14,1,0,2,3,0,3,1,0,3,1,1,1
Itálie,380,IT,ITA,637,83,27,32,18,43,12,8,14,6,90,31,49,37
Pobřeží slonoviny,384,CI,CIV,12,1,0,0,1,1,1,0,0,0,0,0,0,0
Jamajka,388,JM,JAM,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Japonsko,392,JP,JPN,51,10,1,0,0,3,0,2,2,0,5,2,1,1
Kazachstán,398,KZ,KAZ,372,95,2,4,27,55,10,7,3,3,10,8,4,1
Jordánsko,400,JO,JOR,17,4,0,0,3,4,0,0,2,0,2,0,4,1
Keňa,404,KE,KEN,4,1,0,0,0,2,1,0,0,0,1,0,2,0
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Korejská republika,410,KR,KOR,69,4,1,2,0,0,0,0,0,1,2,0,8,0
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstán,417,KG,KGZ,45,10,1,1,17,5,1,0,0,0,2,2,0,1
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0
Libanon,422,LB,LBN,19,4,1,2,1,7,2,3,3,1,0,2,1,0
Lotyšsko,428,LV,LVA,57,18,10,7,3,4,0,1,1,9,3,0,1,2
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Libye,434,LY,LBY,7,1,0,0,0,0,0,1,0,0,5,0,1,0
Lichtenštejnsko,438,LI,LIE,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Litva,440,LT,LTU,57,18,4,14,4,3,6,3,2,19,16,0,1,1
Lucembursko,442,LU,LUX,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagaskar,450,MG,MDG,3,0,0,0,0,0,1,0,1,0,1,0,1,0
Malajsie,458,MY,MYS,9,0,0,0,0,2,0,0,1,0,0,0,0,0
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,470,MT,MLT,10,1,2,0,0,1,0,1,0,0,0,0,1,0
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mauricius,480,MU,MUS,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexiko,484,MX,MEX,51,7,1,2,0,0,0,3,2,0,3,1,2,1
Mongolsko,496,MN,MNG,89,13,3,11,13,14,14,14,4,11,38,8,3,12
Moldavsko,498,MD,MDA,279,117,21,57,18,36,45,25,17,26,50,26,8,12
Černá Hora,499,ME,MNE,17,3,0,2,2,2,1,1,0,0,1,2,1,0
Maroko,504,MA,MAR,42,6,0,0,0,4,2,0,0,1,3,2,3,2
Namibie,516,,NAM,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Nepál,524,NP,NPL,2,2,0,3,0,0,0,0,0,0,1,0,0,0
Nizozemsko,528,NL,NLD,126,36,23,14,5,17,20,20,11,7,24,9,5,6
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nový Zéland,554,NZ,NZL,17,4,0,0,0,1,1,1,1,0,3,0,1,1
Niger,562,NE,NER,12,2,0,0,0,0,0,0,0,0,1,0,0,0
Nigérie,566,NG,NGA,121,8,1,0,1,12,1,1,1,0,4,0,2,1
Norsko,578,NO,NOR,16,5,1,0,0,3,2,0,0,0,1,0,1,1
Pákistán,586,PK,PAK,47,11,0,5,1,4,0,1,0,1,5,1,2,0
Panama,591,PA,PAN,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,600,PY,PRY,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,604,PE,PER,18,10,0,0,0,6,1,1,0,0,8,1,2,0
Filipíny,608,PH,PHL,33,4,1,2,0,6,1,0,0,1,1,0,0,2
