Občanství,Kód,Kód zn.,Kód zn..1,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet,Rok,Q
Filipíny,608,PH,PHL,32,3,1,2,0,5,0,0,0,0,2,0,0,2,47,2018,2
Polsko,616,PL,POL,428,173,39,60,31,117,142,308,63,22,120,142,795,36,2476,2018,2
Portugalsko,620,PT,PRT,45,5,0,4,2,1,2,1,1,2,10,1,5,1,80,2018,2
Guinea-Bissau,624,GW,GNB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2018,2
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,2
Rumunsko,642,RO,ROU,578,145,47,223,30,87,25,40,52,28,129,47,14,51,1496,2018,2
Rusko,643,RU,RUS,1865,363,20,43,187,131,40,22,21,14,115,39,47,21,2928,2018,2
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,2
Svatý Tomáš a Princův ostrov,678,ST,STP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2018,2
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2018,2
Senegal,686,SN,SEN,10,5,0,0,0,1,0,0,0,0,0,0,0,0,16,2018,2
Srbsko,688,RS,SRB,109,17,0,7,14,12,2,4,0,3,21,5,6,5,205,2018,2
Sierra Leone,694,SL,SLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2018,2
Singapur,702,SG,SGP,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2018,2
Slovensko,703,SK,SVK,6289,2209,482,644,257,560,417,406,403,306,2263,481,1255,837,16809,2018,2
Vietnam,704,VN,VNM,4094,1886,985,2448,3060,3560,763,560,497,421,1371,555,1099,308,21607,2018,2
Slovinsko,705,SI,SVN,34,6,2,0,3,3,2,1,1,0,7,0,6,2,67,2018,2
Somálsko,706,SO,SOM,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2018,2
Jižní Afrika,710,ZA,ZAF,31,5,3,0,2,1,1,1,0,0,8,2,1,2,57,2018,2
Zimbabwe,716,ZW,ZWE,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2018,2
Španělsko,724,ES,ESP,252,16,6,5,2,6,6,4,6,2,28,8,9,4,354,2018,2
Súdán,729,SD,SDN,5,1,0,0,0,2,0,0,0,0,0,0,0,0,8,2018,2
Surinam,740,SR,SUR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2018,2
Švédsko,752,SE,SWE,66,18,1,7,1,15,2,0,0,3,8,0,3,0,124,2018,2
Švýcarsko,756,CH,CHE,31,8,3,1,6,2,4,1,1,1,5,0,3,2,68,2018,2
Sýrie,760,SY,SYR,39,14,4,11,5,17,7,7,1,1,24,6,18,4,158,2018,2
Tádžikistán,762,TJ,TJK,11,0,0,0,0,0,0,0,0,0,1,0,0,0,12,2018,2
Thajsko,764,TH,THA,82,12,4,6,2,3,1,1,1,0,5,1,2,2,122,2018,2
Togo,768,TG,TGO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2018,2
Spojené arabské emiráty,784,AE,ARE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018,2
Tunisko,788,TN,TUN,72,22,5,4,2,8,3,4,2,0,6,3,6,1,138,2018,2
Turecko,792,TR,TUR,69,17,6,6,5,20,4,4,4,2,10,4,8,5,164,2018,2
Turkmenistán,795,TM,TKM,5,1,0,0,0,0,0,0,0,0,1,0,0,0,7,2018,2
Uganda,800,UG,UGA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2018,2
Ukrajina,804,UA,UKR,9762,2917,646,1301,621,1138,707,832,790,421,1664,405,271,255,21730,2018,2
Makedonie,807,MK,MKD,124,32,6,9,2,48,1,7,1,2,20,16,33,7,308,2018,2
Egypt,818,EG,EGY,26,12,3,2,3,7,3,7,5,1,9,7,9,2,96,2018,2
Velká Británie,826,GB,GBR,971,182,40,55,18,35,63,33,47,25,129,42,64,43,1747,2018,2
Guernsey,831,GG,GGY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,2
Tanzanie,834,TZ,TZA,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2018,2
Spojené státy,840,US,USA,1162,92,40,25,7,28,23,22,13,9,54,24,36,19,1554,2018,2
Burkina Faso,854,BF,BFA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,2
Uruguay,858,UY,URY,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4,2018,2
Uzbekistán,860,UZ,UZB,298,15,1,13,6,8,3,6,3,3,7,3,0,0,366,2018,2
Venezuela,862,VE,VEN,25,1,0,0,0,0,0,1,0,0,3,0,1,0,31,2018,2
Jemen,887,YE,YEM,8,2,0,2,0,4,1,0,1,1,3,1,2,0,25,2018,2
Srbsko a Černá Hora,891,CS,SCG,242,51,15,15,10,23,10,5,1,2,19,8,14,7,422,2018,2
Zambie,894,ZM,ZMB,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2018,2
Součet,SUM1,,,334772,261528,123699,108630,54946,131694,91993,106738,90872,85918,219968,107034,187840,108738,2014370,2018,2
Z toho cizinci,SUM2,,,33102,9660,2828,5556,4896,7831,2578,2574,2151,1503,7126,2182,4140,1850,87977,2018,2
