Občanství,Kód,Kód zn.,Kód zn..1,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet,Rok,Q
Afghánistán,004,AF,AFG,17,7,0,0,2,7,2,0,0,1,13,3,2,0,54,2018,2
Albánie,008,AL,ALB,15,8,4,1,1,3,1,2,1,1,2,1,2,4,46,2018,2
Alžírsko,012,DZ,DZA,92,21,4,0,0,7,2,0,1,1,8,3,2,1,142,2018,2
Angola,024,AO,AGO,10,2,2,0,0,2,3,1,1,0,6,3,1,2,33,2018,2
Ázerbájdžán,031,AZ,AZE,61,5,1,1,3,4,0,1,0,0,2,4,0,0,82,2018,2
Argentina,032,AR,ARG,20,2,0,0,0,2,0,0,1,0,2,1,1,0,29,2018,2
Austrálie,036,AU,AUS,62,3,5,3,0,5,4,4,8,0,5,2,3,3,107,2018,2
Rakousko,040,AT,AUT,125,24,111,5,20,35,6,4,4,7,120,16,11,24,512,2018,2
Bangladéš,050,BD,BGD,7,1,0,1,1,0,0,0,0,0,0,0,3,0,13,2018,2
Arménie,051,AM,ARM,138,30,2,5,8,31,6,4,3,19,74,2,12,2,336,2018,2
Belgie,056,BE,BEL,55,20,7,4,4,6,5,5,1,2,5,1,2,3,120,2018,2
Bolívie,068,BO,BOL,4,2,0,0,0,1,1,0,0,0,1,0,0,0,9,2018,2
Bosna a Hercegovina,070,BA,BIH,129,34,7,1,4,16,11,7,5,0,44,7,9,1,275,2018,2
Botswana,072,BW,BWA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2018,2
Brazílie,076,BR,BRA,52,2,3,1,0,3,0,1,1,0,6,0,1,0,70,2018,2
Britské Panenské ostrovy,092,VG,VGB,5,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2018,2
Kosovo,095,XK,XXK,11,6,0,4,5,4,0,2,2,1,4,1,2,0,42,2018,2
Bulharsko,100,BG,BGR,743,236,55,69,28,112,40,25,26,43,121,80,64,26,1668,2018,2
Myanmar,104,MM,MMR,2,1,0,0,0,0,0,0,1,0,1,0,0,0,5,2018,2
Bělorusko,112,BY,BLR,310,63,13,27,29,55,10,15,18,15,30,12,16,12,625,2018,2
Kambodža,116,KH,KHM,2,2,0,0,0,0,1,0,0,0,1,0,0,0,6,2018,2
Kamerun,120,CM,CMR,13,1,0,1,0,1,2,0,0,0,0,0,0,0,18,2018,2
Kanada,124,CA,CAN,107,12,7,4,1,1,3,4,5,0,5,4,6,5,164,2018,2
Kapverdy,132,CV,CPV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,2
Šrí Lanka,144,LK,LKA,10,1,0,0,1,0,0,0,0,1,1,0,0,0,14,2018,2
Čad,148,TD,TCD,20,9,4,9,0,6,3,11,2,2,9,3,4,0,82,2018,2
Chile,152,CL,CHL,18,1,1,1,0,1,0,0,1,0,1,2,0,1,27,2018,2
Čína,156,CN,CHN,163,32,5,4,1,23,0,2,2,3,9,2,7,2,255,2018,2
Tchaj-wan,158,TW,TWN,6,0,0,1,1,1,1,0,0,0,0,0,0,0,10,2018,2
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,2
Kolumbie,170,CO,COL,22,2,0,1,0,0,0,2,1,0,2,1,2,0,33,2018,2
Konžská republika,178,CG,COG,10,2,0,1,0,1,0,0,0,0,0,1,0,0,15,2018,2
Demokratická republika Kongo,180,CD,COD,5,3,0,0,0,2,0,1,0,0,0,0,1,0,12,2018,2
Kostarika,188,CR,CRI,3,2,0,0,0,0,0,0,0,0,1,0,0,0,6,2018,2
Chorvatsko,191,HR,HRV,190,32,8,14,17,19,8,2,7,4,25,17,23,15,381,2018,2
Kuba,192,CU,CUB,16,8,1,1,0,6,2,2,0,1,1,4,2,2,46,2018,2
Kypr,196,CY,CYP,15,0,1,0,0,0,0,0,0,0,0,0,1,1,18,2018,2
Česko,203,CZ,CZE,301670,251868,120871,103074,50050,123863,89415,104164,88721,84415,212842,104852,183700,106888,1926393,2018,2
Benin,204,BJ,BEN,10,1,0,0,0,4,1,0,0,0,0,1,0,1,18,2018,2
Dánsko,208,DK,DNK,44,6,0,1,1,4,2,0,0,1,3,0,4,1,67,2018,2
Dominikánská republika,214,DO,DOM,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,2018,2
Ekvádor,218,EC,ECU,2,3,0,1,0,0,0,1,0,0,1,1,1,0,10,2018,2
Salvador,222,SV,SLV,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2018,2
Etiopie,231,ET,ETH,12,1,0,0,0,0,0,1,0,0,0,0,0,0,14,2018,2
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,2
Estonsko,233,EE,EST,18,3,0,0,0,2,0,1,0,0,2,0,1,1,28,2018,2
Finsko,246,FI,FIN,47,2,0,0,0,2,0,1,0,1,4,1,0,0,58,2018,2
Alandy,248,AX,ALA,11,5,0,0,6,5,1,2,0,0,6,1,3,0,40,2018,2
Francie,250,FR,FRA,408,50,13,16,4,8,4,3,10,7,34,10,14,9,590,2018,2
Gruzie,268,GE,GEO,66,9,2,1,5,1,1,0,1,0,4,0,3,0,93,2018,2
Gambie,270,GM,GMB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,2
Palestina,275,PS,PSE,5,4,0,0,0,1,0,1,0,0,0,0,1,0,12,2018,2
Německo,276,DE,DEU,474,219,91,255,335,1331,78,50,32,25,103,62,56,20,3131,2018,2
Ghana,288,GH,GHA,26,4,0,0,0,7,1,1,3,0,5,2,0,1,50,2018,2
Řecko,300,GR,GRC,96,9,1,2,3,7,6,5,3,2,30,15,39,1,219,2018,2
Guatemala,320,GT,GTM,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2018,2
Guinea,324,GN,GIN,13,3,0,0,0,0,0,0,0,0,1,0,1,0,18,2018,2
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,2
Vatikán,336,VA,VAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,2
Honduras,340,HN,HND,4,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2018,2
Hongkong,344,HK,HKG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,2
Maďarsko,348,HU,HUN,334,57,15,56,17,29,15,38,22,13,97,14,22,6,735,2018,2
Island,352,IS,ISL,9,1,0,0,1,0,0,0,0,0,0,0,0,0,11,2018,2
Indie,356,IN,IND,75,5,1,1,3,4,1,1,1,0,10,3,6,1,112,2018,2
Indonésie,360,ID,IDN,3,0,0,0,0,0,1,0,1,0,0,0,1,0,6,2018,2
Írán,364,IR,IRN,10,3,1,4,0,0,4,1,0,0,1,2,0,1,27,2018,2
Irák,368,IQ,IRQ,27,9,1,1,1,7,1,1,4,0,9,0,3,0,64,2018,2
Irsko,372,IE,IRL,126,15,6,12,4,3,0,4,3,3,9,3,5,3,196,2018,2
Izrael,376,IL,ISR,56,10,1,0,3,3,1,3,1,0,3,1,1,1,84,2018,2
Itálie,380,IT,ITA,544,68,24,27,18,42,11,8,15,5,86,32,48,39,967,2018,2
Pobřeží slonoviny,384,CI,CIV,11,1,0,0,1,1,1,0,0,0,0,0,0,0,15,2018,2
Jamajka,388,JM,JAM,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2018,2
Japonsko,392,JP,JPN,46,8,0,0,0,3,0,2,2,1,5,1,1,1,70,2018,2
Kazachstán,398,KZ,KAZ,334,91,2,5,26,47,9,7,2,4,7,8,3,1,546,2018,2
Jordánsko,400,JO,JOR,15,4,0,0,2,4,1,0,2,0,2,0,1,1,32,2018,2
Keňa,404,KE,KEN,2,1,0,0,0,2,1,1,0,0,1,0,2,0,10,2018,2
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2018,2
Korejská republika,410,KR,KOR,38,2,1,2,0,0,0,0,0,1,1,0,6,0,51,2018,2
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2018,2
Kyrgyzstán,417,KG,KGZ,41,8,1,1,17,5,1,0,0,0,2,1,0,1,78,2018,2
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0,5,2018,2
Libanon,422,LB,LBN,19,3,1,2,1,7,2,1,4,1,0,2,1,0,44,2018,2
Lotyšsko,428,LV,LVA,49,8,10,4,1,4,1,1,0,8,3,0,1,2,92,2018,2
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2018,2
Libye,434,LY,LBY,8,1,0,0,0,0,0,1,0,0,5,0,1,0,16,2018,2
Litva,440,LT,LTU,55,15,4,13,3,3,4,3,2,18,15,0,1,1,137,2018,2
Lucembursko,442,LU,LUX,5,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2018,2
Madagaskar,450,MG,MDG,3,0,0,0,0,0,1,0,1,0,1,0,1,0,7,2018,2
Malajsie,458,MY,MYS,5,0,0,0,0,2,0,0,0,0,0,0,0,0,7,2018,2
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2018,2
Malta,470,MT,MLT,7,1,1,0,0,1,0,1,0,0,0,0,1,0,12,2018,2
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2018,2
Mauricius,480,MU,MUS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2018,2
Mexiko,484,MX,MEX,48,4,1,1,1,0,0,2,2,0,2,1,2,0,64,2018,2
Monako,492,MC,MCO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2018,2
Mongolsko,496,MN,MNG,76,13,1,9,11,8,12,13,4,11,34,10,3,15,220,2018,2
Moldavsko,498,MD,MDA,266,114,23,63,19,35,43,25,17,24,52,26,7,13,727,2018,2
Černá Hora,499,ME,MNE,13,3,0,2,3,2,0,1,0,0,1,2,1,0,28,2018,2
Maroko,504,MA,MAR,34,5,0,0,0,3,3,0,0,0,1,1,3,1,51,2018,2
Namibie,516,,NAM,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,2018,2
Nepál,524,NP,NPL,3,1,0,3,0,3,0,0,0,0,1,0,0,0,11,2018,2
Nizozemsko,528,NL,NLD,102,32,24,13,6,16,21,15,9,7,22,9,4,6,286,2018,2
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2018,2
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2018,2
Nový Zéland,554,NZ,NZL,17,4,0,0,0,2,3,1,1,0,2,0,1,1,32,2018,2
Niger,562,NE,NER,12,2,0,0,0,0,0,0,0,0,1,0,0,0,15,2018,2
Nigérie,566,NG,NGA,122,8,1,0,1,11,1,1,1,0,4,0,2,1,153,2018,2
Norsko,578,NO,NOR,14,5,1,0,0,1,2,0,0,0,0,0,0,1,24,2018,2
Pákistán,586,PK,PAK,44,9,0,5,0,6,0,2,0,1,4,1,1,0,73,2018,2
Panama,591,PA,PAN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2018,2
Paraguay,600,PY,PRY,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2018,2
Peru,604,PE,PER,18,9,0,0,0,5,0,1,0,0,7,1,2,0,43,2018,2
