Občanství,Kód,Kód zn.,Kód zn..1,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet,Rok,Q
Afghánistán,004,AF,AFG,16,7,0,0,1,6,2,0,0,1,13,4,2,0,52,2017,2
Albánie,008,AL,ALB,13,8,4,1,1,3,1,2,1,1,2,1,1,4,43,2017,2
Alžírsko,012,DZ,DZA,94,22,3,0,1,7,2,1,1,1,9,2,2,0,145,2017,2
Angola,024,AO,AGO,9,2,2,0,0,3,2,1,1,0,6,3,2,2,33,2017,2
Ázerbájdžán,031,AZ,AZE,51,5,0,2,4,4,0,1,0,0,2,4,0,0,73,2017,2
Argentina,032,AR,ARG,16,1,0,0,0,2,0,0,1,0,1,1,1,0,23,2017,2
Austrálie,036,AU,AUS,47,3,5,3,0,5,4,4,6,0,6,2,2,3,90,2017,2
Rakousko,040,AT,AUT,107,23,108,3,20,35,8,4,5,6,121,16,10,24,490,2017,2
Bangladéš,050,BD,BGD,6,1,0,1,1,0,0,3,0,0,0,0,3,0,15,2017,2
Arménie,051,AM,ARM,135,26,2,5,8,33,6,4,3,20,69,2,13,2,328,2017,2
Belgie,056,BE,BEL,50,18,7,4,4,6,5,5,1,2,5,1,3,3,114,2017,2
Bolívie,068,BO,BOL,4,2,0,0,0,1,1,0,0,0,1,0,0,0,9,2017,2
Bosna a Hercegovina,070,BA,BIH,132,35,7,0,4,15,9,7,5,0,46,6,10,1,277,2017,2
Brazílie,076,BR,BRA,37,2,2,1,0,3,0,1,2,0,5,0,2,0,55,2017,2
Britské Panenské ostrovy,092,VG,VGB,6,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2017,2
Kosovo,095,XK,XXK,11,5,0,3,3,3,1,2,1,0,5,1,2,0,37,2017,2
Bulharsko,100,BG,BGR,669,219,58,45,29,112,38,23,26,47,125,79,63,25,1558,2017,2
Myanmar,104,MM,MMR,2,1,0,0,0,0,0,0,1,0,1,0,0,0,5,2017,2
Bělorusko,112,BY,BLR,286,62,14,33,24,48,10,14,15,14,32,12,16,11,591,2017,2
Kambodža,116,KH,KHM,2,3,0,0,0,0,1,0,0,0,1,0,0,2,9,2017,2
