Občanství,Kód,Kód zn.,Kód zn..1,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet,Rok,Q
Afghánistán,004,AF,AFG,16,6,1,0,2,7,1,0,0,2,13,3,2,0,53,2019,2
Albánie,008,AL,ALB,17,7,2,1,1,3,1,2,1,1,1,0,2,4,43,2019,2
Alžírsko,012,DZ,DZA,100,28,3,0,0,9,2,0,1,1,10,3,3,2,162,2019,2
Angola,024,AO,AGO,14,2,2,0,0,2,3,1,1,0,6,3,1,2,37,2019,2
Ázerbájdžán,031,AZ,AZE,64,4,1,1,4,3,0,2,1,0,1,3,1,0,85,2019,2
Argentina,032,AR,ARG,24,2,0,0,0,1,0,1,1,0,3,1,0,0,33,2019,2
Austrálie,036,AU,AUS,55,5,5,3,1,4,4,4,7,0,7,2,3,3,103,2019,2
Rakousko,040,AT,AUT,128,21,102,5,21,32,7,4,4,7,123,18,10,24,506,2019,2
Bahamy,044,BS,BHS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,2
Bangladéš,050,BD,BGD,5,1,0,1,1,0,0,0,0,0,0,0,3,0,11,2019,2
Arménie,051,AM,ARM,146,34,2,4,8,31,7,4,5,18,72,2,11,2,346,2019,2
Belgie,056,BE,BEL,62,23,7,4,3,7,5,6,1,2,9,2,2,3,136,2019,2
Bolívie,068,BO,BOL,8,2,0,1,0,1,1,0,0,0,1,0,0,0,14,2019,2
Bosna a Hercegovina,070,BA,BIH,131,36,5,2,4,17,10,7,4,0,42,7,10,1,276,2019,2
Botswana,072,BW,BWA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2019,2
Brazílie,076,BR,BRA,52,8,2,2,0,1,0,2,1,0,9,2,1,0,80,2019,2
Britské Panenské ostrovy,092,VG,VGB,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2019,2
Kosovo,095,XK,XXK,10,8,1,3,7,5,0,1,3,1,4,1,4,0,48,2019,2
Bulharsko,100,BG,BGR,811,246,53,85,33,126,45,27,24,46,132,83,72,27,1810,2019,2
Myanmar,104,MM,MMR,1,3,0,0,0,0,0,0,1,0,1,0,0,0,6,2019,2
Bělorusko,112,BY,BLR,351,77,14,29,29,35,10,16,19,15,30,17,17,13,672,2019,2
Kambodža,116,KH,KHM,2,1,0,0,0,0,1,0,0,0,1,0,0,0,5,2019,2
Kamerun,120,CM,CMR,15,1,0,1,0,1,2,0,0,0,0,0,0,0,20,2019,2
Kanada,124,CA,CAN,115,13,8,4,2,1,3,4,6,0,4,4,7,6,177,2019,2
Kapverdy,132,CV,CPV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2019,2
Šrí Lanka,144,LK,LKA,11,1,0,0,0,0,0,0,0,1,3,0,0,0,16,2019,2
Čad,148,TD,TCD,19,11,2,9,1,6,4,10,2,3,10,4,4,1,86,2019,2
Chile,152,CL,CHL,26,2,1,1,0,1,0,0,2,0,2,1,0,1,37,2019,2
Čína,156,CN,CHN,177,33,6,4,2,24,1,2,2,5,10,3,8,2,279,2019,2
Tchaj-wan,158,TW,TWN,15,0,0,1,1,1,0,0,0,0,0,0,0,0,18,2019,2
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,2
Kolumbie,170,CO,COL,36,3,0,1,0,0,0,1,1,0,1,1,1,1,46,2019,2
Konžská republika,178,CG,COG,10,2,0,1,0,2,1,0,0,0,0,1,0,0,17,2019,2
Demokratická republika Kongo,180,CD,COD,6,4,0,0,0,2,0,1,1,0,1,1,1,0,17,2019,2
Kostarika,188,CR,CRI,5,3,0,0,0,0,0,0,0,0,1,0,0,0,9,2019,2
Chorvatsko,191,HR,HRV,206,32,10,15,14,20,6,3,8,4,29,18,24,14,403,2019,2
Kuba,192,CU,CUB,24,9,1,1,1,7,2,2,0,1,1,3,2,2,56,2019,2
Kypr,196,CY,CYP,16,0,1,0,0,1,0,0,0,0,0,0,1,1,20,2019,2
Česko,203,CZ,CZE,308325,258590,122237,104220,49720,125393,89199,105448,90228,86475,215948,106722,185210,108017,1955732,2019,2
Benin,204,BJ,BEN,12,1,0,0,0,3,1,0,0,0,0,1,0,0,18,2019,2
Dánsko,208,DK,DNK,54,7,1,1,1,4,2,0,0,2,3,0,4,1,80,2019,2
Dominikánská republika,214,DO,DOM,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,2019,2
Ekvádor,218,EC,ECU,2,4,0,0,0,0,0,1,0,0,3,1,1,0,12,2019,2
Salvador,222,SV,SLV,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2019,2
Etiopie,231,ET,ETH,13,1,0,0,0,0,0,0,0,0,0,0,0,0,14,2019,2
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,2
Estonsko,233,EE,EST,22,3,0,0,0,2,0,1,0,0,2,0,1,1,32,2019,2
Finsko,246,FI,FIN,50,4,0,1,0,2,0,1,0,1,4,1,1,0,65,2019,2
Alandy,248,AX,ALA,10,4,0,0,4,4,1,2,0,0,6,1,3,0,35,2019,2
Francie,250,FR,FRA,455,58,15,16,4,6,3,5,11,7,34,9,19,10,652,2019,2
Gabon,266,GA,GAB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,2
Gruzie,268,GE,GEO,72,10,2,2,5,1,1,0,1,0,5,1,2,0,102,2019,2
Gambie,270,GM,GMB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2019,2
Palestina,275,PS,PSE,4,3,0,0,0,1,0,1,0,0,0,0,0,0,9,2019,2
Německo,276,DE,DEU,516,231,94,255,265,1281,75,48,31,25,107,66,54,19,3067,2019,2
Ghana,288,GH,GHA,26,4,0,0,0,7,1,1,3,0,3,1,0,1,47,2019,2
Řecko,300,GR,GRC,112,12,2,2,4,8,6,4,3,2,30,16,38,1,240,2019,2
Guatemala,320,GT,GTM,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2019,2
Guinea,324,GN,GIN,14,3,0,0,0,1,0,0,0,0,1,0,1,0,20,2019,2
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,2
Honduras,340,HN,HND,6,1,0,0,0,0,0,0,1,0,0,0,0,0,8,2019,2
Hongkong,344,HK,HKG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2019,2
Maďarsko,348,HU,HUN,456,85,17,103,22,36,25,41,28,15,113,14,23,7,985,2019,2
Island,352,IS,ISL,10,1,0,0,1,0,0,0,0,0,0,0,0,0,12,2019,2
Indie,356,IN,IND,84,4,1,0,3,3,0,1,1,0,13,4,8,2,124,2019,2
Indonésie,360,ID,IDN,5,1,0,0,0,0,1,0,1,0,1,0,1,0,10,2019,2
Írán,364,IR,IRN,16,5,1,4,0,0,3,1,0,1,2,2,0,1,36,2019,2
Irák,368,IQ,IRQ,27,8,0,2,1,8,1,1,4,1,9,0,4,0,66,2019,2
Irsko,372,IE,IRL,130,16,5,13,4,4,2,1,3,3,12,2,8,5,208,2019,2
Izrael,376,IL,ISR,67,14,1,0,2,3,0,3,1,0,3,1,1,1,97,2019,2
Itálie,380,IT,ITA,637,83,27,32,18,43,12,8,14,6,90,31,49,37,1087,2019,2
Pobřeží slonoviny,384,CI,CIV,12,1,0,0,1,1,1,0,0,0,0,0,0,0,16,2019,2
Jamajka,388,JM,JAM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,2
Japonsko,392,JP,JPN,51,10,1,0,0,3,0,2,2,0,5,2,1,1,78,2019,2
Kazachstán,398,KZ,KAZ,372,95,2,4,27,55,10,7,3,3,10,8,4,1,601,2019,2
Jordánsko,400,JO,JOR,17,4,0,0,3,4,0,0,2,0,2,0,4,1,37,2019,2
Keňa,404,KE,KEN,4,1,0,0,0,2,1,0,0,0,1,0,2,0,11,2019,2
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2019,2
Korejská republika,410,KR,KOR,69,4,1,2,0,0,0,0,0,1,2,0,8,0,87,2019,2
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2019,2
Kyrgyzstán,417,KG,KGZ,45,10,1,1,17,5,1,0,0,0,2,2,0,1,85,2019,2
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0,5,2019,2
Libanon,422,LB,LBN,19,4,1,2,1,7,2,3,3,1,0,2,1,0,46,2019,2
Lotyšsko,428,LV,LVA,57,18,10,7,3,4,0,1,1,9,3,0,1,2,116,2019,2
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2019,2
Libye,434,LY,LBY,7,1,0,0,0,0,0,1,0,0,5,0,1,0,15,2019,2
Lichtenštejnsko,438,LI,LIE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2019,2
Litva,440,LT,LTU,57,18,4,14,4,3,6,3,2,19,16,0,1,1,148,2019,2
Lucembursko,442,LU,LUX,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2019,2
Madagaskar,450,MG,MDG,3,0,0,0,0,0,1,0,1,0,1,0,1,0,7,2019,2
Malajsie,458,MY,MYS,9,0,0,0,0,2,0,0,1,0,0,0,0,0,12,2019,2
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2019,2
Malta,470,MT,MLT,10,1,2,0,0,1,0,1,0,0,0,0,1,0,16,2019,2
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2019,2
Mauricius,480,MU,MUS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2019,2
Mexiko,484,MX,MEX,51,7,1,2,0,0,0,3,2,0,3,1,2,1,73,2019,2
Mongolsko,496,MN,MNG,89,13,3,11,13,14,14,14,4,11,38,8,3,12,247,2019,2
Moldavsko,498,MD,MDA,279,117,21,57,18,36,45,25,17,26,50,26,8,12,737,2019,2
Černá Hora,499,ME,MNE,17,3,0,2,2,2,1,1,0,0,1,2,1,0,32,2019,2
Maroko,504,MA,MAR,42,6,0,0,0,4,2,0,0,1,3,2,3,2,65,2019,2
Namibie,516,,NAM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2019,2
Nepál,524,NP,NPL,2,2,0,3,0,0,0,0,0,0,1,0,0,0,8,2019,2
Nizozemsko,528,NL,NLD,126,36,23,14,5,17,20,20,11,7,24,9,5,6,323,2019,2
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2019,2
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2019,2
Nový Zéland,554,NZ,NZL,17,4,0,0,0,1,1,1,1,0,3,0,1,1,30,2019,2
Niger,562,NE,NER,12,2,0,0,0,0,0,0,0,0,1,0,0,0,15,2019,2
Nigérie,566,NG,NGA,121,8,1,0,1,12,1,1,1,0,4,0,2,1,153,2019,2
Norsko,578,NO,NOR,16,5,1,0,0,3,2,0,0,0,1,0,1,1,30,2019,2
Pákistán,586,PK,PAK,47,11,0,5,1,4,0,1,0,1,5,1,2,0,78,2019,2
Panama,591,PA,PAN,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2019,2
Paraguay,600,PY,PRY,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2019,2
Peru,604,PE,PER,18,10,0,0,0,6,1,1,0,0,8,1,2,0,47,2019,2
Filipíny,608,PH,PHL,33,4,1,2,0,6,1,0,0,1,1,0,0,2,51,2019,2
