Občanství,Kód,Kód zn.,Kód zn..1,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet,Rok,Q
Afghánistán,4,AF,AFG,15,6,0,0,1,6,1,0,0,1,12,4,2,0,48,2016,2
Albánie,8,AL,ALB,10,8,4,1,1,2,1,2,1,0,2,2,1,3,38,2016,2
Alžírsko,12,DZ,DZA,99,21,3,0,1,9,2,1,1,0,8,2,3,0,150,2016,2
Angola,24,AO,AGO,9,2,2,0,0,3,2,1,1,0,6,3,4,2,35,2016,2
Ázerbájdžán,31,AZ,AZE,37,5,0,2,4,4,0,1,0,0,2,4,0,0,59,2016,2
Argentina,32,AR,ARG,15,1,0,0,0,2,0,0,1,0,1,0,1,0,21,2016,2
Austrálie,36,AU,AUS,40,3,4,3,0,5,5,3,6,0,7,3,3,3,85,2016,2
Rakousko,40,AT,AUT,93,25,108,3,20,35,7,5,4,6,120,16,9,24,475,2016,2
Bangladéš,50,BD,BGD,6,1,0,1,1,0,0,4,0,0,0,0,2,0,15,2016,2
Arménie,51,AM,ARM,133,23,2,4,8,33,6,4,3,19,72,2,13,2,324,2016,2
Belgie,56,BE,BEL,46,18,6,4,4,7,4,5,1,2,6,1,3,3,110,2016,2
Bolívie,68,BO,BOL,4,2,0,0,0,1,2,0,0,0,1,0,0,0,10,2016,2
Bosna a Hercegovina,70,BA,BIH,136,35,5,0,4,16,9,6,6,0,49,6,10,1,283,2016,2
Brazílie,76,BR,BRA,31,3,1,1,0,2,0,1,2,0,4,1,1,0,47,2016,2
Britské Panenské ostrovy,92,VG,VGB,6,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2016,2
Kosovo,95,XK,XXK,9,5,0,2,3,3,2,3,0,0,4,1,2,0,34,2016,2
Bulharsko,100,BG,BGR,620,218,55,37,28,109,37,24,26,47,131,80,58,25,1 495,2016,2
Myanmar,104,MM,MMR,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2016,2
Bělorusko,112,BY,BLR,267,57,15,31,24,34,9,13,14,14,29,12,15,11,545,2016,2
Kambodža,116,KH,KHM,1,2,0,0,0,0,1,0,0,0,1,0,0,3,8,2016,2
Kamerun,120,CM,CMR,12,1,0,0,0,3,1,0,0,0,1,0,0,0,18,2016,2
Kanada,124,CA,CAN,99,10,6,3,1,0,3,4,5,0,3,3,5,6,148,2016,2
Šrí Lanka,144,LK,LKA,8,1,0,0,1,0,0,0,0,1,1,0,0,0,12,2016,2
Čad,148,TD,TCD,18,7,4,9,0,9,3,10,3,0,7,2,4,0,76,2016,2
Chile,152,CL,CHL,16,1,0,1,0,1,0,0,1,0,1,2,0,1,24,2016,2
Čína,156,CN,CHN,164,28,5,5,1,24,0,2,3,3,6,2,7,2,252,2016,2
Tchaj-wan,158,TW,TWN,10,0,0,1,1,0,1,0,0,0,0,0,0,0,13,2016,2
