Občanství,2019 Q2
Afghánistán,52
Albánie,43
Alžírsko,159
Angola,35
Ázerbájdžán,83
Argentina,34
Austrálie,107
Rakousko,504
Bahamy,1
Bangladéš,11
Arménie,351
Belgie,134
Bolívie,13
Bosna a Hercegovina,275
Botswana,1
Brazílie,78
Britské Panenské ostrovy,6
Kosovo,47
Bulharsko,1792
Myanmar,5
Bělorusko,659
Kambodža,5
Kamerun,20
Kanada,177
Šrí Lanka,15
Čad,85
Chile,32
Čína,277
Tchaj-wan,18
Vánoční ostrov,1
Kolumbie,43
Konžská republika,17
Demokratická republika Kongo,16
Kostarika,9
Chorvatsko,405
Kuba,52
Kypr,20
Česko,1948734
Benin,18
Dánsko,77
Dominikánská republika,7
Ekvádor,11
Salvador,2
Etiopie,13
Eritrea,1
Estonsko,32
Finsko,63
Alandy,35
Francie,643
Gabon,1
Gruzie,98
Gambie,2
Palestina,10
Německo,3091
Ghana,47
Řecko,231
Guatemala,5
Guinea,20
Guyana,1
Honduras,7
Hongkong,2
Maďarsko,959
Island,11
Indie,122
Indonésie,8
Írán,37
Irák,64
Irsko,206
Izrael,96
Itálie,1068
Pobřeží slonoviny,16
Jamajka,2
Japonsko,78
Kazachstán,607
Jordánsko,38
Keňa,10
Korejská lidově demokratická republika,3
Korejská republika,82
Kuvajt,3
Kyrgyzstán,85
Laos,5
Libanon,44
Lotyšsko,112
Libérie,1
Libye,15
Lichtenštejnsko,1
Litva,146
Lucembursko,6
Madagaskar,7
Malajsie,12
Mali,2
Malta,15
Mauritánie,1
Mauricius,2
Mexiko,71
Mongolsko,241
Moldavsko,737
Černá Hora,32
Maroko,60
Namibie,2
Nepál,8
Nizozemsko,315
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,32
Niger,15
Nigérie,154
Norsko,27
Pákistán,78
Panama,5
Paraguay,3
Peru,47
Filipíny,44
Polsko,2611
Portugalsko,98
Guinea-Bissau,2
Katar,1
Rumunsko,1926
Rusko,3303
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,2
Saúdská Arábie,1
Senegal,15
Srbsko,229
Sierra Leone,3
Singapur,2
Slovensko,18410
Vietnam,20904
Slovinsko,82
Somálsko,2
Jižní Afrika,63
Zimbabwe,2
Španělsko,410
Súdán,7
Surinam,2
Švédsko,159
Švýcarsko,71
Sýrie,176
Tádžikistán,13
Thajsko,143
Togo,2
Trinidad a Tobago,1
Spojené arabské emiráty,1
Tunisko,164
Turecko,188
Turkmenistán,6
Uganda,4
Ukrajina,22408
Severní Makedonie,312
Egypt,115
Velká Británie,1856
Guernsey,1
Tanzanie,4
Spojené státy,1726
Burkina Faso,2
Uruguay,4
Uzbekistán,373
Venezuela,33
Jemen,27
Srbsko a Černá Hora,406
Zambie,5
