Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2021 Q4,Středočeský kraj 2021 Q4,Jihočeský kraj 2021 Q4,Plzeňský kraj 2021 Q4,Karlovarský kraj 2021 Q4,Ústecký kraj 2021 Q4,Liberecký kraj 2021 Q4,Královéhradecký kraj 2021 Q4,Pardubický kraj 2021 Q4,Kraj Vysočina 2021 Q4,Jihomoravský kraj 2021 Q4,Olomoucký kraj 2021 Q4,Moravskoslezský kraj 2021 Q4,Zlínský kraj 2021 Q4
Itálie,380,IT,ITA,746,94,23,34,17,44,12,10,14,6,95,30,53,41
Pobřeží slonoviny,384,CI,CIV,9,2,0,0,1,1,1,0,0,0,0,0,0,0
Jamajka,388,JM,JAM,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Japonsko,392,JP,JPN,65,8,0,0,0,2,1,2,2,0,5,1,2,1
Kazachstán,398,KZ,KAZ,443,111,1,4,31,67,9,7,3,3,23,9,3,2
Jordánsko,400,JO,JOR,24,4,0,0,2,4,0,0,2,0,3,0,3,1
Keňa,404,KE,KEN,4,1,0,0,1,2,1,0,0,0,1,0,2,1
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Korejská republika,410,KR,KOR,70,2,0,2,2,0,1,0,0,1,2,0,8,0
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstán,417,KG,KGZ,66,16,1,1,17,5,1,0,0,0,1,1,0,1
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0
Libanon,422,LB,LBN,22,6,0,2,1,6,2,3,1,1,0,4,1,1
Lotyšsko,428,LV,LVA,77,20,10,7,3,6,0,1,0,9,5,0,1,3
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Libye,434,LY,LBY,9,1,0,0,0,1,1,1,0,0,5,0,2,0
Lichtenštejnsko,438,LI,LIE,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Litva,440,LT,LTU,69,21,4,13,5,4,6,3,2,19,19,1,1,1
Lucembursko,442,LU,LUX,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagaskar,450,MG,MDG,3,0,0,0,0,0,0,0,1,0,1,0,1,0
Malajsie,458,MY,MYS,5,0,0,0,0,2,0,0,0,0,0,0,0,0
Maledivy,462,MV,MDV,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,470,MT,MLT,10,2,2,0,0,1,0,1,0,0,0,1,1,0
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mauricius,480,MU,MUS,2,1,0,0,0,0,0,0,0,0,1,0,0,0
Mexiko,484,MX,MEX,62,12,0,1,1,0,0,3,2,0,5,1,2,3
Mongolsko,496,MN,MNG,106,17,3,13,16,47,27,17,5,12,37,9,3,13
Moldavsko,498,MD,MDA,320,170,22,59,17,39,49,29,18,25,56,27,7,20
Černá Hora,499,ME,MNE,18,5,0,3,2,2,1,1,0,0,1,2,1,0
Maroko,504,MA,MAR,37,7,0,1,0,6,3,1,0,1,7,2,4,2
Namibie,516,,NAM,2,1,0,0,0,1,0,0,0,0,0,0,1,0
Nepál,524,NP,NPL,4,1,0,3,0,0,0,0,0,0,1,0,0,0
Nizozemsko,528,NL,NLD,145,37,24,14,5,19,20,21,12,8,27,10,5,7
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nový Zéland,554,NZ,NZL,19,5,0,0,1,2,1,1,1,0,4,1,1,1
Niger,562,NE,NER,7,2,0,0,0,0,0,0,0,0,1,0,0,0
Nigérie,566,NG,NGA,149,12,0,0,0,11,1,1,2,0,6,0,3,1
Norsko,578,NO,NOR,16,4,1,0,0,3,2,0,0,0,2,1,1,2
Pákistán,586,PK,PAK,60,10,1,5,1,6,1,1,0,1,3,1,3,0
Panama,591,PA,PAN,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,600,PY,PRY,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,604,PE,PER,19,13,1,1,0,6,0,2,0,0,7,1,2,0
Filipíny,608,PH,PHL,46,6,2,1,1,5,0,2,0,1,2,2,3,3
Polsko,616,PL,POL,589,200,45,63,42,122,154,299,74,26,136,161,976,41
Portugalsko,620,PT,PRT,84,9,1,7,2,3,4,2,0,2,10,1,11,2
Guinea-Bissau,624,GW,GNB,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rumunsko,642,RO,ROU,1103,288,81,332,49,164,62,46,64,20,178,73,20,70
Rusko,643,RU,RUS,2747,531,26,49,221,164,41,29,25,12,156,47,57,26
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Tomáš a Princův ostrov,678,ST,STP,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Senegal,686,SN,SEN,15,5,0,0,0,1,0,0,0,0,0,0,0,0
Srbsko,688,RS,SRB,164,26,0,7,13,18,6,5,1,5,23,5,5,6
Sierra Leone,694,SL,SLE,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapur,702,SG,SGP,2,0,0,1,0,1,0,0,0,0,0,0,0,0
Slovensko,703,SK,SVK,8574,2798,570,761,289,690,471,454,488,326,3124,585,1506,924
Vietnam,704,VN,VNM,4304,1876,897,2172,2727,3341,673,525,501,382,1312,529,1062,283
Slovinsko,705,SI,SVN,46,8,4,2,2,2,0,2,2,0,9,1,7,1
Somálsko,706,SO,SOM,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Jižní Afrika,710,ZA,ZAF,32,11,3,0,3,2,1,0,0,0,7,4,1,2
Zimbabwe,716,ZW,ZWE,4,1,0,0,0,0,0,0,1,0,0,0,0,0
Španělsko,724,ES,ESP,367,25,9,6,4,8,7,6,7,2,32,8,12,4
Súdán,729,SD,SDN,4,0,0,0,0,2,0,0,0,0,0,0,0,0
Surinam,740,SR,SUR,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Švédsko,752,SE,SWE,117,26,2,19,1,14,1,0,1,4,10,1,6,1
Švýcarsko,756,CH,CHE,41,6,6,1,4,4,5,2,1,1,4,0,3,1
Sýrie,760,SY,SYR,61,16,4,15,7,18,7,8,5,1,26,6,19,6
Tádžikistán,762,TJ,TJK,15,1,0,0,0,0,0,0,0,0,1,0,0,0
Thajsko,764,TH,THA,130,16,10,11,2,10,2,0,3,0,6,3,3,3
Togo,768,TG,TGO,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Tonga,776,TO,TON,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Trinidad a Tobago,780,TT,TTO,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Spojené arabské emiráty,784,AE,ARE,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tunisko,788,TN,TUN,104,30,4,7,6,13,4,6,4,1,11,6,14,4
Turecko,792,TR,TUR,118,25,6,9,4,17,6,8,5,4,13,8,10,8
Turkmenistán,795,TM,TKM,9,0,0,0,0,1,0,0,0,0,0,0,0,0
Uganda,800,UG,UGA,3,1,1,0,0,0,0,2,0,0,0,0,0,0
Ukrajina,804,UA,UKR,12018,3881,676,1593,666,1236,760,807,810,461,1740,472,285,257
Severní Makedonie,807,MK,MKD,136,27,10,8,3,54,2,9,8,4,26,19,36,8
Egypt,818,EG,EGY,46,17,2,4,5,11,5,6,9,2,8,7,14,2
Velká Británie,826,GB,GBR,988,214,49,51,14,39,42,34,43,19,118,34,63,44
Guernsey,831,GG,GGY,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tanzanie,834,TZ,TZA,4,0,0,0,0,0,0,0,0,0,0,0,1,0
Spojené státy,840,US,USA,1169,115,41,29,5,30,21,18,17,12,71,28,47,21
Burkina Faso,854,BF,BFA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Uruguay,858,UY,URY,0,2,0,2,0,0,0,0,0,0,0,0,0,0
Uzbekistán,860,UZ,UZB,385,42,0,16,7,4,4,6,5,2,5,4,0,0
Venezuela,862,VE,VEN,25,0,0,0,0,0,0,2,0,0,6,0,1,0
Jemen,887,YE,YEM,8,3,0,2,0,8,1,0,1,0,2,1,2,0
Srbsko a Černá Hora,891,CS,SCG,206,39,13,13,7,21,8,4,1,2,18,6,13,6
Zambie,894,ZM,ZMB,1,2,0,0,0,0,0,0,0,0,0,0,0,0
