Občanství,022  Q2
Afghánistán,62
Albánie,53
Alžírsko,174
Angola,37
Ázerbájdžán,131
Argentina,46
Austrálie,110
Rakousko,505
Bangladéš,20
Arménie,366
Barbados,1
Belgie,159
Bolívie,13
Bosna a Hercegovina,295
Brazílie,103
Britské Panenské ostrovy,5
Kosovo,70
Bulharsko,1989
Myanmar,8
Bělorusko,852
Kambodža,6
Kamerun,26
Kanada,180
Kapverdy,1
Šrí Lanka,25
Čad,109
Chile,45
Čína,299
Tchaj-wan,23
Vánoční ostrov,1
Kolumbie,57
Konžská republika,17
Konžská demokratická republika,18
Kostarika,10
Chorvatsko,462
Kuba,72
Kypr,28
Česko,2014474
Benin,19
Dánsko,89
Dominikánská republika,12
Ekvádor,19
Salvador,4
Etiopie,18
Eritrea,1
Estonsko,38
Finsko,74
Alandy,31
Francie,790
Gruzie,125
Gambie,3
Palestina,12
Německo,3137
Ghana,71
Řecko,281
Guatemala,9
Guinea,22
Guyana,1
Honduras,12
Maďarsko,1424
Island,14
Indie,240
Indonésie,20
Írán,55
Irák,72
Irsko,264
Izrael,136
Itálie,1248
Pobřeží slonoviny,15
Jamajka,2
Japonsko,94
Kazachstán,764
Jordánsko,44
Keňa,11
Korejská lidově demokratická republika,3
Korejská republika,89
Kuvajt,4
Kyrgyzstán,116
Laos,5
Libanon,57
Lotyšsko,148
Libérie,1
Libye,21
Lichtenštejnsko,2
Litva,170
Lucembursko,8
Madagaskar,6
Malajsie,7
Maledivy,1
Mali,2
Malta,18
Mauritánie,1
Mauricius,4
Mexiko,98
Mongolsko,346
Moldavsko,854
Černá Hora,37
Maroko,69
Namibie,5
Nepál,10
Nizozemsko,362
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,36
Niger,11
Nigérie,192
Norsko,33
Pákistán,95
Panama,8
Paraguay,2
Peru,52
Filipíny,80
Polsko,2998
Portugalsko,151
Guinea-Bissau,3
Katar,1
Rumunsko,2686
Rusko,4451
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,1
Saúdská Arábie,1
Senegal,22
Srbsko,305
Sierra Leone,4
Singapur,4
Slovensko,22324
Vietnam,20690
Slovinsko,88
Somálsko,2
Jižní Afrika,62
Zimbabwe,7
Španělsko,513
Súdán,6
Surinam,2
Švédsko,208
Švýcarsko,80
Sýrie,206
Tádžikistán,22
Thajsko,215
Togo,2
Tonga,1
Trinidad a Tobago,2
Spojené arabské emiráty,1
Tunisko,232
Turecko,271
Turkmenistán,10
Uganda,7
Ukrajina,27283
Severní Makedonie,359
Egypt,158
Velká Británie,1693
Guernsey,1
Tanzanie,6
Spojené státy,1758
Burkina Faso,2
Uruguay,4
Uzbekistán,575
Venezuela,35
Jemen,28
Srbsko a Černá Hora,343
Zambie,3
