Občanství,2021 Q2
Afghánistán,55
Albánie,48
Alžírsko,173
Angola,36
Ázerbájdžán,105
Argentina,39
Austrálie,117
Rakousko,507
Bangladéš,14
Arménie,360
Barbados,1
Belgie,154
Bolívie,15
Bosna a Hercegovina,290
Brazílie,96
Britské Panenské ostrovy,5
Kosovo,58
Bulharsko,1914
Myanmar,7
Bělorusko,757
Kambodža,5
Kamerun,25
Kanada,179
Kapverdy,1
Šrí Lanka,20
Čad,97
Chile,42
Čína,286
Tchaj-wan,23
Vánoční ostrov,1
Kolumbie,49
Konžská republika,17
Demokratická republika Kongo,18
Kostarika,7
Chorvatsko,438
Kuba,63
Kypr,24
Česko,1991918
Benin,18
Dánsko,84
Dominikánská republika,8
Ekvádor,15
Salvador,4
Etiopie,16
Eritrea,1
Estonsko,31
Finsko,72
Alandy,33
Francie,746
Gabon,1
Gruzie,111
Gambie,2
Palestina,11
Německo,3091
Ghana,57
Řecko,273
Guatemala,8
Guinea,20
Guyana,1
Honduras,9
Hongkong,2
Maďarsko,1292
Island,12
Indie,173
Indonésie,16
Írán,40
Irák,71
Irsko,245
Izrael,126
Itálie,1179
Pobřeží slonoviny,14
Jamajka,2
Japonsko,91
Kazachstán,710
Jordánsko,45
Keňa,11
Korejská lidově demokratická republika,3
Korejská republika,89
Kuvajt,3
Kyrgyzstán,106
Laos,5
Libanon,49
Lotyšsko,136
Libérie,1
Libye,18
Lichtenštejnsko,3
Litva,163
Lucembursko,7
Madagaskar,7
Malajsie,9
Mali,2
Malta,17
Mauritánie,1
Mauricius,3
Mexiko,88
Mongolsko,314
Moldavsko,827
Černá Hora,34
Maroko,70
Namibie,5
Nepál,8
Nizozemsko,357
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,35
Niger,10
Nigérie,185
Norsko,32
Pákistán,87
Panama,5
Paraguay,3
Peru,52
Filipíny,67
Polsko,2815
Portugalsko,124
Guinea-Bissau,3
Katar,1
Rumunsko,2438
Rusko,3997
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,1
Saúdská Arábie,1
Senegal,20
Srbsko,263
Sierra Leone,4
Singapur,4
Slovensko,20958
Vietnam,20635
Slovinsko,84
Somálsko,2
Jižní Afrika,65
Zimbabwe,4
Španělsko,494
Súdán,6
Surinam,2
Švédsko,201
Švýcarsko,78
Sýrie,196
Tádžikistán,16
Thajsko,178
Togo,2
Tonga,1
Trinidad a Tobago,2
Spojené arabské emiráty,1
Tunisko,205
Turecko,235
Turkmenistán,7
Uganda,7
Ukrajina,25074
Severní Makedonie,343
Egypt,131
Velká Británie,1870
Guernsey,1
Tanzanie,5
Spojené státy,1663
Burkina Faso,2
Uruguay,4
Uzbekistán,409
Venezuela,36
Jemen,27
Srbsko a Černá Hora,366
Zambie,4
