Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet
Afghánistán,004,AF,AFG,16,6,1,0,2,7,1,0,0,2,12,3,2,0,52
Albánie,008,AL,ALB,16,7,2,1,1,3,1,2,1,1,2,0,2,4,43
Alžírsko,012,DZ,DZA,99,28,3,0,0,9,2,0,1,1,9,3,2,2,159
Angola,024,AO,AGO,12,2,2,0,0,2,3,1,1,0,6,3,1,2,35
Ázerbájdžán,031,AZ,AZE,63,5,1,1,4,3,0,1,1,0,1,3,0,0,83
Argentina,032,AR,ARG,24,2,0,0,0,1,0,1,1,0,3,1,1,0,34
Austrálie,036,AU,AUS,59,4,5,3,1,4,4,4,7,0,8,2,3,3,107
Rakousko,040,AT,AUT,128,21,101,5,20,32,7,4,4,7,123,18,10,24,504
Bahamy,044,BS,BHS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bangladéš,050,BD,BGD,5,1,0,1,1,0,0,0,0,0,0,0,3,0,11
Arménie,051,AM,ARM,152,34,2,4,8,31,7,4,4,19,71,2,11,2,351
Belgie,056,BE,BEL,62,23,7,4,3,7,5,6,1,2,8,1,2,3,134
Bolívie,068,BO,BOL,8,2,0,0,0,1,1,0,0,0,1,0,0,0,13
Bosna a Hercegovina,070,BA,BIH,131,36,4,2,4,17,10,7,4,0,43,6,10,1,275
Botswana,072,BW,BWA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Brazílie,076,BR,BRA,52,7,2,2,0,2,0,2,1,0,7,2,1,0,78
Britské Panenské ostrovy,092,VG,VGB,5,0,1,0,0,0,0,0,0,0,0,0,0,0,6
Kosovo,095,XK,XXK,10,7,1,4,7,5,0,1,3,1,4,1,3,0,47
Bulharsko,100,BG,BGR,802,247,50,85,32,124,43,27,25,45,132,82,71,27,1792
Myanmar,104,MM,MMR,1,2,0,0,0,0,0,0,1,0,1,0,0,0,5
Bělorusko,112,BY,BLR,340,78,13,30,28,38,10,16,18,15,28,15,17,13,659
Kambodža,116,KH,KHM,2,1,0,0,0,0,1,0,0,0,1,0,0,0,5
Kamerun,120,CM,CMR,15,1,0,1,0,1,2,0,0,0,0,0,0,0,20
Kanada,124,CA,CAN,113,12,9,5,2,2,3,4,6,0,4,4,7,6,177
Šrí Lanka,144,LK,LKA,11,1,0,0,0,0,0,0,0,1,2,0,0,0,15
Čad,148,TD,TCD,19,10,2,9,1,6,4,11,2,2,10,4,4,1,85
Chile,152,CL,CHL,22,2,1,1,0,1,0,0,1,0,2,1,0,1,32
Čína,156,CN,CHN,174,34,6,4,2,24,1,2,2,5,10,3,8,2,277
Tchaj-wan,158,TW,TWN,15,0,0,1,1,1,0,0,0,0,0,0,0,0,18
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kolumbie,170,CO,COL,34,2,0,1,0,0,0,1,1,0,1,1,1,1,43
Konžská republika,178,CG,COG,10,2,0,1,0,2,1,0,0,0,0,1,0,0,17
Demokratická republika Kongo,180,CD,COD,6,4,0,0,0,2,0,1,0,0,1,1,1,0,16
Kostarika,188,CR,CRI,5,3,0,0,0,0,0,0,0,0,1,0,0,0,9
Chorvatsko,191,HR,HRV,208,32,10,15,14,20,6,3,8,4,28,18,24,15,405
Kuba,192,CU,CUB,21,8,1,1,1,7,2,2,0,1,1,3,2,2,52
Kypr,196,CY,CYP,16,0,1,0,0,1,0,0,0,0,0,0,1,1,20
Česko,203,CZ,CZE,306955,257178,121865,103902,49639,125089,89131,105137,89898,85966,215190,106414,184693,107677,1948734
Benin,204,BJ,BEN,12,1,0,0,0,3,1,0,0,0,0,1,0,0,18
Dánsko,208,DK,DNK,51,7,1,1,1,4,2,0,0,2,3,0,4,1,77
Dominikánská republika,214,DO,DOM,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7
Ekvádor,218,EC,ECU,2,4,0,0,0,0,0,1,0,0,2,1,1,0,11
Salvador,222,SV,SLV,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Etiopie,231,ET,ETH,12,1,0,0,0,0,0,0,0,0,0,0,0,0,13
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Estonsko,233,EE,EST,22,3,0,0,0,2,0,1,0,0,2,0,1,1,32
Finsko,246,FI,FIN,48,4,0,1,0,2,0,1,0,1,4,1,1,0,63
Alandy,248,AX,ALA,10,4,0,0,4,4,1,2,0,0,6,1,3,0,35
Francie,250,FR,FRA,450,56,14,16,4,6,4,5,11,7,33,9,18,10,643
Gabon,266,GA,GAB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gruzie,268,GE,GEO,67,11,2,2,5,1,1,0,1,0,5,1,2,0,98
Gambie,270,GM,GMB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Palestina,275,PS,PSE,5,3,0,0,0,1,0,1,0,0,0,0,0,0,10
Německo,276,DE,DEU,507,231,95,256,280,1294,78,48,31,25,105,68,54,19,3091
Ghana,288,GH,GHA,26,4,0,0,0,7,1,1,3,0,3,1,0,1,47
Řecko,300,GR,GRC,107,10,2,2,3,7,6,4,3,2,30,16,38,1,231
Guatemala,320,GT,GTM,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5
Guinea,324,GN,GIN,14,3,0,0,0,1,0,0,0,0,1,0,1,0,20
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Honduras,340,HN,HND,6,0,0,0,0,0,0,0,1,0,0,0,0,0,7
Hongkong,344,HK,HKG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Maďarsko,348,HU,HUN,442,84,16,99,21,35,24,44,28,13,110,13,23,7,959
Island,352,IS,ISL,9,1,0,0,1,0,0,0,0,0,0,0,0,0,11
Indie,356,IN,IND,82,4,1,1,3,4,0,1,1,0,13,3,7,2,122
Indonésie,360,ID,IDN,4,0,0,0,0,0,1,0,1,0,1,0,1,0,8
Írán,364,IR,IRN,17,5,1,4,0,0,3,1,0,0,2,2,0,2,37
Irák,368,IQ,IRQ,27,8,0,2,1,7,1,1,4,1,9,0,3,0,64
Irsko,372,IE,IRL,130,16,5,13,4,4,1,1,3,3,12,2,8,4,206
Izrael,376,IL,ISR,67,13,1,0,2,3,0,3,1,0,3,1,1,1,96
Itálie,380,IT,ITA,622,84,26,30,19,44,12,7,14,5,89,31,48,37,1068
Pobřeží slonoviny,384,CI,CIV,12,1,0,0,1,1,1,0,0,0,0,0,0,0,16
Jamajka,388,JM,JAM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Japonsko,392,JP,JPN,50,10,1,0,0,3,0,2,2,0,6,2,1,1,78
Kazachstán,398,KZ,KAZ,380,96,2,4,27,52,11,7,3,3,10,8,3,1,607
Jordánsko,400,JO,JOR,17,4,0,0,3,4,1,0,2,0,2,0,4,1,38
Keňa,404,KE,KEN,3,1,0,0,0,2,1,0,0,0,1,0,2,0,10
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Korejská republika,410,KR,KOR,66,3,1,2,0,0,0,0,0,1,2,0,7,0,82
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Kyrgyzstán,417,KG,KGZ,44,11,1,1,17,5,1,0,0,0,2,2,0,1,85
