Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0,5
Libanon,422,LB,LBN,18,4,1,2,1,7,2,2,3,1,0,2,1,0,44
Lotyšsko,428,LV,LVA,55,18,10,6,2,4,0,1,1,9,3,0,1,2,112
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Libye,434,LY,LBY,7,1,0,0,0,0,0,1,0,0,5,0,1,0,15
Lichtenštejnsko,438,LI,LIE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Litva,440,LT,LTU,57,18,4,14,4,3,6,3,2,18,15,0,1,1,146
Lucembursko,442,LU,LUX,5,0,0,0,0,1,0,0,0,0,0,0,0,0,6
Madagaskar,450,MG,MDG,3,0,0,0,0,0,1,0,1,0,1,0,1,0,7
Malajsie,458,MY,MYS,9,0,0,0,0,2,0,0,1,0,0,0,0,0,12
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Malta,470,MT,MLT,9,1,2,0,0,1,0,1,0,0,0,0,1,0,15
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mauricius,480,MU,MUS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mexiko,484,MX,MEX,49,7,1,2,0,0,0,3,2,0,3,1,2,1,71
Mongolsko,496,MN,MNG,87,12,3,11,13,13,12,14,4,11,37,9,3,12,241
Moldavsko,498,MD,MDA,281,117,21,54,18,36,45,25,18,25,50,27,7,13,737
Černá Hora,499,ME,MNE,18,2,0,2,2,2,1,1,0,0,1,2,1,0,32
Maroko,504,MA,MAR,41,6,0,0,0,3,2,0,0,1,2,1,3,1,60
Namibie,516,,NAM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Nepál,524,NP,NPL,2,2,0,3,0,0,0,0,0,0,1,0,0,0,8
Nizozemsko,528,NL,NLD,122,35,22,14,5,17,19,19,11,7,24,9,5,6,315
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Nový Zéland,554,NZ,NZL,17,4,0,0,0,2,2,1,1,0,3,0,1,1,32
Niger,562,NE,NER,12,2,0,0,0,0,0,0,0,0,1,0,0,0,15
Nigérie,566,NG,NGA,122,8,1,0,1,12,1,1,1,0,4,0,2,1,154
Norsko,578,NO,NOR,15,5,1,0,0,3,2,0,0,0,0,0,0,1,27
Pákistán,586,PK,PAK,48,10,0,5,1,5,0,1,0,1,5,1,1,0,78
Panama,591,PA,PAN,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Paraguay,600,PY,PRY,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Peru,604,PE,PER,19,10,0,0,0,6,0,1,0,0,8,1,2,0,47
Filipíny,608,PH,PHL,28,3,1,2,0,6,1,0,0,0,1,0,0,2,44
Polsko,616,PL,POL,471,176,40,60,34,111,152,300,69,21,126,151,862,38,2611
Portugalsko,620,PT,PRT,61,5,0,4,2,2,2,2,1,2,9,1,6,1,98
Guinea-Bissau,624,GW,GNB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rumunsko,642,RO,ROU,776,202,59,262,36,116,42,41,54,36,167,60,17,58,1926
Rusko,643,RU,RUS,2142,414,21,43,192,148,44,25,23,16,123,38,50,24,3303
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Svatý Tomáš a Princův ostrov,678,ST,STP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Senegal,686,SN,SEN,10,4,0,0,0,1,0,0,0,0,0,0,0,0,15
Srbsko,688,RS,SRB,127,23,0,7,14,12,4,3,0,3,17,5,8,6,229
Sierra Leone,694,SL,SLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Singapur,702,SG,SGP,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
Slovensko,703,SK,SVK,7098,2407,494,679,263,609,453,432,434,310,2536,504,1336,855,18410
Vietnam,704,VN,VNM,4126,1866,928,2263,2884,3473,714,531,493,385,1317,550,1074,300,20904
Slovinsko,705,SI,SVN,41,8,3,1,3,3,2,2,2,0,7,1,7,2,82
Somálsko,706,SO,SOM,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Jižní Afrika,710,ZA,ZAF,35,6,3,0,2,2,1,0,0,0,9,2,1,2,63
Zimbabwe,716,ZW,ZWE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Španělsko,724,ES,ESP,298,16,8,6,3,6,8,5,7,2,30,7,10,4,410
Súdán,729,SD,SDN,4,1,0,0,0,2,0,0,0,0,0,0,0,0,7
Surinam,740,SR,SUR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Švédsko,752,SE,SWE,80,23,1,19,1,15,2,0,0,4,8,1,5,0,159
Švýcarsko,756,CH,CHE,35,6,5,1,5,1,5,2,1,1,4,0,3,2,71
Sýrie,760,SY,SYR,48,15,4,12,7,19,7,8,1,1,26,6,18,4,176
Tádžikistán,762,TJ,TJK,11,1,0,0,0,0,0,0,0,0,1,0,0,0,13
Thajsko,764,TH,THA,90,13,5,8,2,7,2,1,2,0,6,2,2,3,143
Togo,768,TG,TGO,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Trinidad a Tobago,780,TT,TTO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spojené arabské emiráty,784,AE,ARE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Tunisko,788,TN,TUN,82,25,4,3,3,10,4,6,4,1,10,4,7,1,164
Turecko,792,TR,TUR,83,18,6,7,6,17,8,5,4,3,11,5,8,7,188
Turkmenistán,795,TM,TKM,5,0,0,0,0,0,0,0,0,0,1,0,0,0,6
Uganda,800,UG,UGA,2,1,0,0,0,0,0,1,0,0,0,0,0,0,4
Ukrajina,804,UA,UKR,10218,3159,633,1320,628,1176,726,811,782,407,1570,454,274,250,22408
Severní Makedonie,807,MK,MKD,119,32,5,9,3,50,1,9,2,3,21,16,35,7,312
Egypt,818,EG,EGY,33,15,3,1,5,9,4,8,5,2,9,7,11,3,115
Velká Británie,826,GB,GBR,1035,202,45,56,17,38,67,33,45,28,132,44,67,47,1856
Guernsey,831,GG,GGY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Tanzanie,834,TZ,TZA,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Spojené státy,840,US,USA,1308,109,41,27,5,29,19,18,14,10,60,24,40,22,1726
Burkina Faso,854,BF,BFA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Uruguay,858,UY,URY,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4
Uzbekistán,860,UZ,UZB,296,21,3,19,5,5,3,8,2,1,6,4,0,0,373
Venezuela,862,VE,VEN,26,1,0,0,0,0,0,1,0,0,4,0,1,0,33
Jemen,887,YE,YEM,9,3,0,2,0,5,1,0,1,1,2,1,2,0,27
Srbsko a Černá Hora,891,CS,SCG,238,46,15,14,8,21,9,5,1,2,19,7,14,7,406
Zambie,894,ZM,ZMB,2,2,0,0,0,0,0,1,0,0,0,0,0,0,5
Součet,SUM1,,,342910,267586,124652,109459,54343,132952,91771,107701,92094,87447,222563,108702,189006,109561,2040747
Z toho cizinci,SUM2,,,35955,10408,2787,5557,4704,7863,2640,2564,2196,1481,7373,2288,4313,1884,92013
