Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2024 Q1,Středočeský kraj 2024 Q1,Jihočeský kraj 2024 Q1,Plzeňský kraj 2024 Q1,Karlovarský kraj 2024 Q1,Ústecký kraj 2024 Q1,Liberecký kraj 2024 Q1,Královéhradecký kraj 2024 Q1,Pardubický kraj 2024 Q1,Kraj Vysočina 2024 Q1,Jihomoravský kraj 2024 Q1,Olomoucký kraj 2024 Q1,Moravskoslezský kraj 2024 Q1,Zlínský kraj 2024 Q1
Afghánistán,004,AF,AFG,27,9,0,2,2,7,3,0,0,3,14,3,5,0
Albánie,008,AL,ALB,20,11,2,2,1,3,2,1,2,3,3,1,3,5
Antarktida,010,AQ,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alžírsko,012,DZ,DZA,98,26,4,3,1,15,2,1,1,2,10,6,6,3
Americká Samoa,016,AS,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,020,AD,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,024,AO,AGO,12,2,1,0,0,2,3,1,1,0,6,3,1,2
Antigua a Barbuda,028,AG,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ázerbájdžán,031,AZ,AZE,128,14,2,3,5,5,1,1,1,1,6,3,2,0
Argentina,032,AR,ARG,31,7,1,0,0,2,0,2,2,0,8,1,1,0
Austrálie,036,AU,AUS,65,6,7,5,0,4,5,4,5,0,6,2,4,2
Rakousko,040,AT,AUT,141,19,80,4,25,33,7,4,5,8,119,12,7,20
Bahamy,044,BS,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrajn,048,BH,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladéš,050,BD,BGD,20,3,0,1,3,0,0,0,0,0,2,0,3,0
Arménie,051,AM,ARM,204,45,2,4,4,26,8,3,3,22,69,2,11,3
Barbados,052,BB,BRB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgie,056,BE,BEL,89,30,7,4,3,6,5,8,2,2,10,1,3,2
Bermudy,060,BM,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhútán,064,BT,BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolívie,068,BO,BOL,11,1,0,1,0,1,0,0,0,0,0,0,0,0
Bosna a Hercegovina,070,BA,BIH,157,39,4,2,6,15,11,7,5,0,42,8,9,3
Botswana,072,BW,BWA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvetův ostrov,074,BV,BVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazílie,076,BR,BRA,83,4,0,2,1,3,1,1,0,1,7,0,4,2
Belize,084,BZ,BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britské indickooceánské území,086,IO,IOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Šalamounovy ostrovy,090,SB,SLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britské Panenské ostrovy,092,VG,VGB,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,26,9,1,2,8,5,0,5,6,3,9,3,5,1
Brunej,096,BN,BRN,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulharsko,100,BG,BGR,906,291,50,128,55,138,51,35,35,22,137,86,68,26
Myanmar,104,MM,MMR,2,3,0,0,0,0,0,0,0,0,2,0,0,0
Burundi,108,BI,BDI,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Bělorusko,112,BY,BLR,563,111,20,40,30,40,14,18,23,16,61,18,25,14
Kambodža,116,KH,KHM,4,2,0,0,0,0,0,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,21,3,1,1,0,1,2,0,0,0,1,0,0,0
Kanada,124,CA,CAN,123,10,9,3,3,1,3,4,7,0,9,3,8,7
Kapverdy,132,CV,CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kajmanské ostrovy,136,KY,CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Středoafrická republika,140,CF,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Šrí Lanka,144,LK,LKA,16,2,0,1,0,0,0,0,0,2,1,0,0,5
Čad,148,TD,TCD,30,15,5,9,3,7,3,13,2,3,19,3,6,1
Chile,152,CL,CHL,42,7,0,2,0,1,0,1,1,1,3,1,0,2
Čína,156,CN,CHN,214,37,5,4,2,23,1,2,4,4,14,6,9,2
Tchaj-wan,158,TW,TWN,18,1,1,1,0,0,1,1,0,0,0,0,0,1
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kokosové (Keelingovy) ostrovy,166,CC,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,47,5,0,2,0,2,1,1,1,0,3,3,3,1
Komory,174,KM,COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte,175,YT,MYT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konžská republika,178,CG,COG,11,1,1,1,0,2,0,0,0,0,0,1,0,0
Konžská demokratická republika,180,CD,COD,11,2,0,1,0,2,0,0,1,0,1,1,0,0
Cookovy ostrovy,184,CK,COK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kostarika,188,CR,CRI,5,2,0,0,0,0,0,0,0,0,1,0,0,1
Chorvatsko,191,HR,HRV,254,44,10,16,14,19,5,4,6,3,35,16,29,13
Kuba,192,CU,CUB,40,10,2,1,1,9,2,2,1,0,3,1,3,1
Kypr,196,CY,CYP,24,3,1,0,0,1,0,0,0,1,0,0,1,1
Česko,203,CZ,CZE,296422,248421,107724,92204,42575,113348,75224,93204,81838,77587,201468,94863,169395,94852
Benin,204,BJ,BEN,14,1,0,0,0,1,2,0,0,0,0,0,0,0
Dánsko,208,DK,DNK,68,9,2,1,0,3,7,0,0,1,4,0,4,1
Dominika,212,DM,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominikánská republika,214,DO,DOM,10,2,1,0,0,0,1,1,0,0,0,0,0,0
Ekvádor,218,EC,ECU,6,6,0,1,0,0,0,0,1,0,5,1,1,1
Salvador,222,SV,SLV,2,2,0,0,0,0,0,0,0,0,0,1,0,0
Rovníková Guinea,226,GQ,GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etiopie,231,ET,ETH,13,2,0,0,0,0,0,0,0,0,1,0,0,0
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonsko,233,EE,EST,35,6,0,0,2,2,1,1,1,0,4,0,0,0
Faerské ostrovy,234,FO,FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falklandy (Malvíny),238,FK,FLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jižní Georgie a Jižní Sandwichovy ostrovy,239,GS,SGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fidži,242,FJ,FJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finsko,246,FI,FIN,63,7,1,2,2,1,0,1,1,1,9,1,2,0
Alandy,248,AX,ALA,6,4,1,0,1,4,1,1,0,0,4,0,3,0
Francie,250,FR,FRA,629,59,13,25,6,7,5,9,12,9,48,11,20,9
Francouzská Guyana,254,GF,GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francouzská Polynésie,258,PF,PYF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francouzská jižní a antarktická území,260,TF,ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Džibutsko,262,DJ,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,266,GA,GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gruzie,268,GE,GEO,99,15,3,2,4,3,1,0,1,3,5,1,2,1
