Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 018  Q2,Středočeský kraj 018  Q2,Jihočeský kraj 018  Q2,Plzeňský kraj 018  Q2,Karlovarský kraj 018  Q2,Ústecký kraj 018  Q2,Liberecký kraj 018  Q2,Královéhradecký kraj 018  Q2,Pardubický kraj 018  Q2,Kraj Vysočina 018  Q2,Jihomoravský kraj 018  Q2,Olomoucký kraj 018  Q2,Moravskoslezský kraj 018  Q2,Zlínský kraj 018  Q2
Afghánistán,004,AF,AFG,17,7,0,0,2,7,1,0,0,1,13,3,2,0
Albánie,008,AL,ALB,14,7,4,1,1,3,1,2,1,1,2,1,2,4
Alžírsko,012,DZ,DZA,93,22,4,0,0,8,2,0,1,1,8,3,2,1
Angola,024,AO,AGO,11,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,56,5,1,1,3,4,0,1,0,0,3,4,0,0
Argentina,032,AR,ARG,22,2,0,0,0,2,0,0,1,0,2,1,1,0
Austrálie,036,AU,AUS,63,3,5,3,0,5,4,4,7,0,6,2,3,3
Rakousko,040,AT,AUT,125,24,111,5,20,35,6,4,4,7,121,17,11,24
Bangladéš,050,BD,BGD,6,1,0,1,1,1,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,140,29,2,4,8,31,6,4,3,19,75,2,12,2
Belgie,056,BE,BEL,60,21,7,4,4,6,5,5,1,2,5,1,2,3
Bolívie,068,BO,BOL,4,2,0,0,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,132,34,5,1,4,16,11,7,5,0,44,7,10,1
Botswana,072,BW,BWA,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brazílie,076,BR,BRA,55,4,3,1,0,3,0,1,1,0,6,1,2,0
Britské Panenské ostrovy,092,VG,VGB,5,0,1,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,10,6,0,4,6,4,0,1,3,1,4,1,2,0
Bulharsko,100,BG,BGR,752,237,55,72,30,113,40,25,26,43,121,80,67,27
Myanmar,104,MM,MMR,1,2,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,315,65,13,27,29,47,10,15,18,15,30,12,16,12
Kambodža,116,KH,KHM,2,1,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,13,1,0,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,108,12,7,4,1,1,3,4,5,0,5,4,6,5
Kapverdy,132,CV,CPV,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Šrí Lanka,144,LK,LKA,10,1,0,0,1,0,0,0,0,1,1,0,0,0
Čad,148,TD,TCD,19,11,3,10,0,6,4,11,2,2,9,3,4,0
Chile,152,CL,CHL,20,1,1,1,0,1,0,0,1,0,2,2,0,1
Čína,156,CN,CHN,170,33,5,4,1,23,0,2,2,3,9,2,7,2
Tchaj-wan,158,TW,TWN,9,0,0,1,1,1,1,0,0,0,0,0,0,0
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,27,2,0,1,0,0,0,2,1,0,2,1,2,0
Konžská republika,178,CG,COG,10,2,0,1,0,1,0,0,0,0,0,1,0,0
Demokratická republika Kongo,180,CD,COD,5,3,0,0,0,2,0,1,0,0,0,1,1,0
Kostarika,188,CR,CRI,5,2,0,0,0,0,0,0,0,0,1,0,0,0
Chorvatsko,191,HR,HRV,194,32,8,14,16,19,8,2,7,4,27,17,23,15
