Občanství,020  Q3
Afghánistán,56
Albánie,48
Alžírsko,174
Angola,37
Ázerbájdžán,92
Argentina,36
Austrálie,111
Rakousko,499
Bangladéš,13
Arménie,361
Belgie,149
Bolívie,15
Bosna a Hercegovina,286
Brazílie,89
Britské Panenské ostrovy,5
Kosovo,56
Bulharsko,1892
Myanmar,6
Bělorusko,713
Kambodža,5
Kamerun,24
Kanada,183
Kapverdy,1
Šrí Lanka,16
Čad,93
Chile,37
Čína,289
Tchaj-wan,19
Vánoční ostrov,1
Kolumbie,42
Konžská republika,16
Demokratická republika Kongo,17
Kostarika,8
Chorvatsko,428
Kuba,63
Kypr,21
Česko,1976949
Benin,18
Dánsko,82
Dominikánská republika,9
Ekvádor,15
Salvador,2
Etiopie,14
Eritrea,1
Estonsko,33
Finsko,73
Alandy,35
Francie,709
Gabon,1
Gruzie,115
Gambie,2
Palestina,11
Německo,3066
Ghana,53
Řecko,263
Guatemala,7
Guinea,22
Guyana,1
Honduras,10
Hongkong,4
Maďarsko,1167
Island,10
Indie,146
Indonésie,13
Írán,39
Irák,69
Irsko,228
Izrael,111
Itálie,1141
Pobřeží slonoviny,15
Jamajka,2
Japonsko,82
Kazachstán,650
Jordánsko,46
Keňa,10
Korejská lidově demokratická republika,3
Korejská republika,85
Kuvajt,3
Kyrgyzstán,93
Laos,5
Libanon,46
Lotyšsko,127
Libérie,1
Libye,19
Lichtenštejnsko,3
Litva,157
Lucembursko,6
Madagaskar,7
Malajsie,10
Mali,2
Malta,17
Mauritánie,1
Mauricius,3
Mexiko,77
Mongolsko,283
Moldavsko,786
Černá Hora,32
Maroko,67
Namibie,4
Nepál,8
Nizozemsko,340
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,34
Niger,13
Nigérie,168
Norsko,32
Pákistán,82
Panama,5
Paraguay,3
Peru,51
Filipíny,56
Polsko,2736
Portugalsko,108
Guinea-Bissau,2
Katar,1
Rumunsko,2258
Rusko,3701
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,1
Saúdská Arábie,1
Senegal,19
Srbsko,260
Sierra Leone,4
Singapur,4
Slovensko,20017
Vietnam,20664
Slovinsko,83
Somálsko,2
Jižní Afrika,64
Zimbabwe,3
Španělsko,471
Súdán,7
Surinam,2
Švédsko,195
Švýcarsko,77
Sýrie,190
Tádžikistán,12
Thajsko,167
Togo,2
Tonga,1
Trinidad a Tobago,2
Spojené arabské emiráty,1
Tunisko,187
Turecko,215
Turkmenistán,8
Uganda,5
Ukrajina,24000
Severní Makedonie,340
Egypt,130
Velká Británie,1940
Guernsey,1
Tanzanie,4
Spojené státy,1733
Burkina Faso,2
Uruguay,4
Uzbekistán,380
Venezuela,34
Jemen,26
Srbsko a Černá Hora,385
Zambie,5
