Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2020 Q4,Středočeský kraj 2020 Q4,Jihočeský kraj 2020 Q4,Plzeňský kraj 2020 Q4,Karlovarský kraj 2020 Q4,Ústecký kraj 2020 Q4,Liberecký kraj 2020 Q4,Královéhradecký kraj 2020 Q4,Pardubický kraj 2020 Q4,Kraj Vysočina 2020 Q4,Jihomoravský kraj 2020 Q4,Olomoucký kraj 2020 Q4,Moravskoslezský kraj 2020 Q4,Zlínský kraj 2020 Q4
Afghánistán,004,AF,AFG,17,8,0,0,2,6,1,0,0,2,11,4,3,0
Albánie,008,AL,ALB,20,8,2,1,1,5,1,1,1,1,1,0,1,4
Alžírsko,012,DZ,DZA,103,26,3,0,1,11,3,0,1,0,10,2,4,4
Angola,024,AO,AGO,13,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,71,7,1,1,4,3,0,1,2,0,1,3,1,0
Argentina,032,AR,ARG,26,2,1,0,0,1,0,1,1,0,4,1,0,0
Austrálie,036,AU,AUS,63,4,5,3,1,4,4,4,7,0,8,2,4,3
Rakousko,040,AT,AUT,131,21,100,4,21,31,8,4,5,9,125,14,7,23
Bangladéš,050,BD,BGD,8,1,0,1,1,0,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,162,36,2,3,7,28,7,4,5,20,71,2,11,2
Belgie,056,BE,BEL,69,26,8,4,3,7,5,7,1,2,9,2,2,3
Bolívie,068,BO,BOL,9,1,0,1,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,140,36,5,2,4,16,10,7,4,0,44,8,10,2
Brazílie,076,BR,BRA,61,10,1,2,0,1,1,2,0,0,8,1,2,0
Britské Panenské ostrovy,092,VG,VGB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,13,8,1,3,6,5,0,1,4,3,4,1,6,0
Bulharsko,100,BG,BGR,836,266,58,94,38,125,52,29,29,48,134,85,78,26
Myanmar,104,MM,MMR,1,3,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,376,93,15,33,26,36,10,15,21,15,36,15,18,14
Kambodža,116,KH,KHM,2,1,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,17,3,0,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,120,12,9,2,2,1,3,4,7,0,3,3,7,6
Kapverdy,132,CV,CPV,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Šrí Lanka,144,LK,LKA,11,1,0,0,0,0,0,0,0,1,2,0,0,2
Čad,148,TD,TCD,22,9,3,9,2,6,4,11,2,3,12,4,4,2
Chile,152,CL,CHL,24,4,0,1,0,1,0,0,3,0,4,1,1,2
Čína,156,CN,CHN,181,30,5,4,2,19,1,2,2,4,11,4,9,2
Tchaj-wan,158,TW,TWN,16,0,1,1,0,1,1,0,0,0,0,0,0,0
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,33,4,0,1,0,0,0,0,1,0,1,1,1,1
Konžská republika,178,CG,COG,10,2,0,1,0,2,0,0,0,0,0,1,0,0
Demokratická republika Kongo,180,CD,COD,6,4,0,0,0,2,0,1,1,0,1,1,1,0
Kostarika,188,CR,CRI,4,3,0,0,0,0,0,0,0,0,1,0,0,0
Chorvatsko,191,HR,HRV,227,34,9,15,15,22,7,3,8,4,33,17,27,14
