Občanství,017  Q3
Afghánistán,52
Albánie,43
Alžírsko,142
Angola,33
Ázerbájdžán,78
Argentina,24
Austrálie,95
Rakousko,506
Bangladéš,13
Arménie,331
Belgie,119
Bolívie,9
Bosna a Hercegovina,271
Botswana,1
Brazílie,66
Britské Panenské ostrovy,7
Kosovo,39
Bulharsko,1620
Myanmar,5
Bělorusko,611
Kambodža,9
Kamerun,18
Kanada,150
Šrí Lanka,13
Čad,81
Chile,25
Čína,253
Tchaj-wan,9
Vánoční ostrov,1
Kolumbie,31
Konžská republika,15
Demokratická republika Kongo,10
Kostarika,5
Chorvatsko,376
Kuba,48
Kypr,17
Česko,1921817
Benin,17
Dánsko,67
Dominikánská republika,5
Ekvádor,10
Salvador,3
Etiopie,13
Eritrea,1
Estonsko,25
Finsko,53
Alandy,41
Francie,553
Gruzie,88
Gambie,1
Palestina,10
Německo,3105
Ghana,47
Řecko,207
Guatemala,4
Guinea,16
Guyana,1
Vatikán,1
Honduras,5
Hongkong,1
Maďarsko,662
Island,11
Indie,107
Indonésie,7
Írán,27
Irák,58
Irsko,187
Izrael,84
Itálie,930
Pobřeží slonoviny,15
Jamajka,2
Japonsko,71
Kazachstán,548
Jordánsko,29
Keňa,9
Korejská lidově demokratická republika,3
Korejská republika,54
Kuvajt,4
Kyrgyzstán,72
Laos,5
Libanon,41
Lotyšsko,89
Libérie,1
Libye,15
Litva,130
Lucembursko,6
Madagaskar,7
Malajsie,6
Mali,2
Malta,11
Mauritánie,1
Mauricius,2
Mexiko,58
Monako,1
Mongolsko,216
Moldavsko,712
Černá Hora,28
Maroko,50
Namibie,2
Nepál,14
Nizozemsko,287
Nizozemské Antily,2
Curacao,1
Vanuatu,1
Nový Zéland,28
Niger,14
Nigérie,149
Norsko,20
Pákistán,70
Panama,2
Paraguay,2
Peru,45
Filipíny,46
Polsko,2422
Portugalsko,73
Guinea-Bissau,2
Portoriko,1
Katar,1
Rumunsko,1411
Rusko,2793
Rwanda,1
Svatý Kryštof a Nevis,1
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,2
Saúdská Arábie,1
Senegal,16
Srbsko,195
Sierra Leone,3
Singapur,3
Slovensko,16304
Vietnam,22012
Slovinsko,67
Somálsko,2
Jižní Afrika,54
Zimbabwe,4
Španělsko,334
Súdán,7
Surinam,2
Švédsko,101
Švýcarsko,65
Sýrie,158
Tádžikistán,9
Thajsko,118
Spojené arabské emiráty,1
Tunisko,128
Turecko,156
Turkmenistán,7
Uganda,2
Ukrajina,21926
Makedonie,304
Egypt,91
Velká Británie,1696
Guernsey,1
Tanzanie,4
Spojené státy,1404
Burkina Faso,1
Uruguay,4
Uzbekistán,360
Venezuela,23
Jemen,25
Srbsko a Černá Hora,430
Zambie,3
