Občanství,021  Q1
Afghánistán,55
Albánie,48
Alžírsko,175
Angola,36
Ázerbájdžán,104
Argentina,36
Austrálie,114
Rakousko,509
Bangladéš,13
Arménie,367
Belgie,153
Bolívie,14
Bosna a Hercegovina,288
Brazílie,95
Britské Panenské ostrovy,5
Kosovo,56
Bulharsko,1926
Myanmar,7
Bělorusko,744
Kambodža,5
Kamerun,25
Kanada,179
Kapverdy,1
Šrí Lanka,18
Čad,96
Chile,41
Čína,286
Tchaj-wan,22
Vánoční ostrov,1
Kolumbie,47
Konžská republika,16
Demokratická republika Kongo,17
Kostarika,7
Chorvatsko,438
Kuba,63
Kypr,21
Česko,1986723
Benin,18
Dánsko,84
Dominikánská republika,9
Ekvádor,15
Salvador,4
Etiopie,15
Eritrea,1
Estonsko,32
Finsko,73
Alandy,33
Francie,740
Gabon,1
Gruzie,115
Gambie,2
Palestina,11
Německo,3092
Ghana,57
Řecko,268
Guatemala,7
Guinea,21
Guyana,1
Honduras,9
Hongkong,3
Maďarsko,1245
Island,10
Indie,167
Indonésie,17
Írán,41
Irák,70
Irsko,243
Izrael,120
Itálie,1164
Pobřeží slonoviny,15
Jamajka,2
Japonsko,87
Kazachstán,695
Jordánsko,46
Keňa,11
Korejská lidově demokratická republika,3
Korejská republika,89
Kuvajt,3
Kyrgyzstán,97
Laos,5
Libanon,50
Lotyšsko,135
Libérie,1
Libye,19
Lichtenštejnsko,3
Litva,158
Lucembursko,6
Madagaskar,7
Malajsie,10
Mali,2
Malta,17
Mauritánie,1
Mauricius,4
Mexiko,85
Mongolsko,305
Moldavsko,820
Černá Hora,34
Maroko,69
Namibie,5
Nepál,8
Nizozemsko,351
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,34
Niger,10
Nigérie,176
Norsko,32
Pákistán,84
Panama,5
Paraguay,3
Peru,51
Filipíny,62
Polsko,2787
Portugalsko,117
Guinea-Bissau,2
Katar,1
Rumunsko,2372
Rusko,3866
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,1
Saúdská Arábie,1
Senegal,19
Srbsko,257
Sierra Leone,4
Singapur,4
Slovensko,20626
Vietnam,20613
Slovinsko,86
Somálsko,2
Jižní Afrika,66
Zimbabwe,4
Španělsko,495
Súdán,7
Surinam,2
Švédsko,200
Švýcarsko,80
Sýrie,194
Tádžikistán,15
Thajsko,177
Togo,2
Tonga,1
Trinidad a Tobago,2
Spojené arabské emiráty,1
Tunisko,193
Turecko,229
Turkmenistán,6
Uganda,7
Ukrajina,24589
Severní Makedonie,345
Egypt,133
Velká Británie,1914
Guernsey,1
Tanzanie,5
Spojené státy,1683
Burkina Faso,2
Uruguay,4
Uzbekistán,385
Venezuela,36
Jemen,28
Srbsko a Černá Hora,376
Zambie,4
