Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 023  Q2,Středočeský kraj 023  Q2,Jihočeský kraj 023  Q2,Plzeňský kraj 023  Q2,Karlovarský kraj 023  Q2,Ústecký kraj 023  Q2,Liberecký kraj 023  Q2,Královéhradecký kraj 023  Q2,Pardubický kraj 023  Q2,Kraj Vysočina 023  Q2,Jihomoravský kraj 023  Q2,Olomoucký kraj 023  Q2,Moravskoslezský kraj 023  Q2,Zlínský kraj 023  Q2
Afghánistán,004,AF,AFG,22,6,0,1,2,7,3,0,0,3,11,4,5,0
Albánie,008,AL,ALB,19,11,2,2,1,6,2,1,1,2,2,0,4,4
Alžírsko,012,DZ,DZA,102,23,4,3,1,14,2,0,1,1,9,5,6,3
Angola,024,AO,AGO,12,2,1,0,0,2,3,1,1,0,5,3,1,2
Ázerbájdžán,031,AZ,AZE,104,14,3,2,5,5,1,1,1,1,5,3,1,0
Argentina,032,AR,ARG,28,5,1,0,0,1,0,2,2,0,7,1,0,0
Austrálie,036,AU,AUS,61,6,6,6,0,4,6,4,5,0,5,3,3,2
Rakousko,040,AT,AUT,138,20,79,4,22,33,7,3,5,9,117,14,7,20
Bangladéš,050,BD,BGD,17,1,0,1,3,0,0,0,0,0,0,0,3,2
Arménie,051,AM,ARM,193,45,2,4,3,25,9,3,4,21,70,2,11,2
Barbados,052,BB,BRB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgie,056,BE,BEL,84,32,7,5,3,6,5,7,2,2,10,1,3,2
Bolívie,068,BO,BOL,10,1,0,1,0,1,0,0,0,0,0,0,0,1
Bosna a Hercegovina,070,BA,BIH,146,39,4,2,6,15,11,6,5,0,41,8,9,3
Botswana,072,BW,BWA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazílie,076,BR,BRA,73,3,0,2,1,2,1,1,0,0,6,0,4,1
Britské Panenské ostrovy,092,VG,VGB,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,20,10,2,2,7,5,0,4,3,4,9,4,5,0
Brunej,096,BN,BRN,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulharsko,100,BG,BGR,887,286,52,130,49,132,52,32,33,23,134,85,72,26
Myanmar,104,MM,MMR,2,3,0,0,0,0,0,0,0,0,1,0,0,0
Burundi,108,BI,BDI,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bělorusko,112,BY,BLR,529,105,16,35,33,31,14,17,22,15,55,17,22,10
Kambodža,116,KH,KHM,2,1,0,0,0,0,0,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,22,3,1,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,123,9,9,3,3,1,3,4,7,0,7,2,9,6
Šrí Lanka,144,LK,LKA,16,2,0,1,0,0,0,0,0,2,1,0,0,5
Čad,148,TD,TCD,30,14,5,9,3,7,3,12,2,3,19,3,5,1
Chile,152,CL,CHL,35,5,0,2,0,1,0,1,1,0,3,1,1,2
Čína,156,CN,CHN,201,38,6,4,2,21,0,3,5,4,13,5,8,2
Tchaj-wan,158,TW,TWN,18,1,1,1,0,0,1,0,0,0,0,0,0,1
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,44,5,0,2,0,2,1,1,1,0,3,2,2,2
Konžská republika,178,CG,COG,12,1,1,1,0,2,0,0,0,0,0,1,0,0
Konžská demokratická republika,180,CD,COD,9,3,0,1,0,2,0,1,1,0,1,1,1,0
Kostarika,188,CR,CRI,5,3,0,0,0,0,0,0,0,0,1,0,0,1
Chorvatsko,191,HR,HRV,256,42,10,15,13,19,5,3,6,3,35,17,25,13
Kuba,192,CU,CUB,40,10,2,2,1,8,2,2,1,0,3,1,3,2
Kypr,196,CY,CYP,23,2,1,0,0,1,0,0,0,1,0,0,1,1
Česko,203,CZ,CZE,295323,247050,108136,92551,43116,113318,75859,93447,81922,77996,200682,95232,168804,95244
Benin,204,BJ,BEN,14,1,0,0,0,2,2,0,0,0,0,0,0,0
Dánsko,208,DK,DNK,65,8,2,1,0,3,7,0,0,1,3,0,4,1
Dominikánská republika,214,DO,DOM,9,1,1,0,0,0,1,1,0,0,0,0,0,0
Ekvádor,218,EC,ECU,6,4,0,1,0,0,0,0,1,0,3,1,1,1
Salvador,222,SV,SLV,3,1,0,0,0,0,0,0,0,0,0,1,0,0
Etiopie,231,ET,ETH,13,3,0,0,0,0,0,0,0,0,1,0,0,0
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonsko,233,EE,EST,29,5,0,0,2,2,1,1,1,0,4,0,0,0
Finsko,246,FI,FIN,57,6,1,2,0,1,0,1,1,1,7,1,2,0
Alandy,248,AX,ALA,7,4,1,0,1,4,1,2,0,0,4,0,3,0
Francie,250,FR,FRA,590,60,13,24,7,7,5,7,12,9,41,11,19,9
