Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 022  Q4,Středočeský kraj 022  Q4,Jihočeský kraj 022  Q4,Plzeňský kraj 022  Q4,Karlovarský kraj 022  Q4,Ústecký kraj 022  Q4,Liberecký kraj 022  Q4,Královéhradecký kraj 022  Q4,Pardubický kraj 022  Q4,Kraj Vysočina 022  Q4,Jihomoravský kraj 022  Q4,Olomoucký kraj 022  Q4,Moravskoslezský kraj 022  Q4,Zlínský kraj 022  Q4
Afghánistán,004,AF,AFG,23,6,0,0,2,7,3,0,0,3,11,4,5,0
Albánie,008,AL,ALB,19,9,2,1,1,6,1,1,1,2,2,0,4,4
Alžírsko,012,DZ,DZA,105,25,3,2,1,13,3,0,1,0,9,4,6,3
Angola,024,AO,AGO,14,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,102,11,3,1,5,4,0,1,1,1,2,3,1,0
Argentina,032,AR,ARG,28,5,2,0,0,1,0,1,1,0,7,1,0,0
Austrálie,036,AU,AUS,61,6,5,6,0,4,7,4,6,0,7,3,3,2
Rakousko,040,AT,AUT,144,20,92,4,21,32,7,3,5,9,116,14,8,22
Bangladéš,050,BD,BGD,14,1,0,1,2,0,0,0,0,0,0,0,3,2
Arménie,051,AM,ARM,182,41,2,4,6,27,8,4,5,21,70,2,11,2
Barbados,052,BB,BRB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgie,056,BE,BEL,81,31,7,5,4,7,5,7,2,2,8,1,3,2
Bolívie,068,BO,BOL,10,1,0,1,0,1,0,0,0,0,0,0,0,1
Bosna a Hercegovina,070,BA,BIH,149,40,5,2,6,16,11,6,4,0,44,8,9,3
Botswana,072,BW,BWA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazílie,076,BR,BRA,76,5,0,2,1,2,1,1,0,0,6,0,4,1
Britské Panenské ostrovy,092,VG,VGB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,17,11,2,3,6,5,0,3,3,4,7,4,6,0
Bulharsko,100,BG,BGR,884,286,57,130,46,138,54,33,32,23,130,86,77,28
Myanmar,104,MM,MMR,3,3,0,0,0,0,0,0,0,0,1,0,0,0
Burundi,108,BI,BDI,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bělorusko,112,BY,BLR,480,103,16,36,33,31,14,17,22,17,51,16,21,13
Kambodža,116,KH,KHM,3,1,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,20,3,1,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,121,11,8,3,2,1,3,4,6,0,5,3,8,6
Kapverdy,132,CV,CPV,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Šrí Lanka,144,LK,LKA,16,2,0,1,0,0,0,0,0,2,1,0,0,5
Čad,148,TD,TCD,32,13,4,10,3,6,4,12,3,3,18,4,4,1
Chile,152,CL,CHL,34,5,0,1,0,1,0,1,2,0,3,1,1,2
Čína,156,CN,CHN,196,38,5,4,3,21,0,3,4,4,11,5,9,2
Tchaj-wan,158,TW,TWN,18,0,1,1,0,0,1,0,0,0,0,0,0,1
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,37,7,0,2,0,1,0,1,1,0,2,2,2,2
Konžská republika,178,CG,COG,12,1,1,1,0,2,0,0,0,0,0,1,0,0
