Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 022  Q4,Středočeský kraj 022  Q4,Jihočeský kraj 022  Q4,Plzeňský kraj 022  Q4,Karlovarský kraj 022  Q4,Ústecký kraj 022  Q4,Liberecký kraj 022  Q4,Královéhradecký kraj 022  Q4,Pardubický kraj 022  Q4,Kraj Vysočina 022  Q4,Jihomoravský kraj 022  Q4,Olomoucký kraj 022  Q4,Moravskoslezský kraj 022  Q4,Zlínský kraj 022  Q4
Konžská demokratická republika,180,CD,COD,9,3,0,1,0,2,0,1,1,0,1,1,1,0
Kostarika,188,CR,CRI,5,2,0,0,0,0,0,0,0,0,1,0,0,0
Chorvatsko,191,HR,HRV,256,41,9,15,15,19,6,3,6,4,37,16,25,12
Kuba,192,CU,CUB,40,10,2,2,1,7,2,2,1,0,3,3,3,2
Kypr,196,CY,CYP,23,2,1,0,0,1,0,0,0,1,1,0,1,1
Česko,203,CZ,CZE,320020,271279,123906,105608,49508,127708,85833,106345,92275,88393,222696,108583,188312,109574
Benin,204,BJ,BEN,14,1,0,0,0,2,2,0,0,0,0,1,0,0
Dánsko,208,DK,DNK,61,10,2,1,0,3,7,0,0,1,3,0,5,1
Dominikánská republika,214,DO,DOM,8,2,1,0,0,0,1,1,0,0,0,0,0,0
Ekvádor,218,EC,ECU,6,4,0,1,0,0,0,0,1,0,3,1,1,0
Salvador,222,SV,SLV,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Etiopie,231,ET,ETH,15,2,0,0,0,0,0,0,0,0,1,0,0,0
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonsko,233,EE,EST,28,4,0,0,2,3,0,1,0,0,4,0,0,0
Finsko,246,FI,FIN,56,5,1,1,0,1,0,1,1,1,5,1,1,0
Alandy,248,AX,ALA,8,4,1,0,3,4,1,2,0,0,4,0,3,0
Francie,250,FR,FRA,569,61,17,24,7,7,5,7,12,9,40,12,19,10
Gruzie,268,GE,GEO,91,10,3,2,4,3,2,0,1,3,4,1,2,1
Gambie,270,GM,GMB,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Palestina,275,PS,PSE,7,3,0,0,0,1,1,0,0,0,0,1,0,0
Německo,276,DE,DEU,632,230,90,267,310,1235,67,48,32,29,110,62,58,22
Ghana,288,GH,GHA,46,5,0,1,0,7,2,1,6,0,8,1,0,1
Řecko,300,GR,GRC,141,16,3,3,5,7,6,3,4,4,33,20,39,1
Guatemala,320,GT,GTM,6,2,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,324,GN,GIN,16,3,0,0,0,0,0,0,0,0,2,0,1,0
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,340,HN,HND,10,0,0,0,0,0,0,0,1,0,0,0,0,1
Hongkong,344,HK,HKG,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maďarsko,348,HU,HUN,715,154,24,148,42,45,39,44,43,24,136,34,28,12
Island,352,IS,ISL,12,1,0,0,1,0,0,0,0,0,0,0,0,0
Indie,356,IN,IND,168,12,1,2,4,5,2,1,2,2,23,3,11,2
Indonésie,360,ID,IDN,12,1,0,0,0,0,0,1,1,0,2,0,4,0
Írán,364,IR,IRN,37,7,1,3,1,0,1,3,0,1,3,2,3,1
Irák,368,IQ,IRQ,35,6,0,2,1,8,1,1,5,1,14,0,3,1
Irsko,372,IE,IRL,182,19,9,6,4,6,8,1,3,4,16,5,7,6
Izrael,376,IL,ISR,99,24,2,1,2,7,0,4,2,0,7,1,3,1
Itálie,380,IT,ITA,792,108,21,34,18,44,14,12,14,5,89,30,54,40
Pobřeží slonoviny,384,CI,CIV,10,2,0,0,1,2,0,0,0,0,0,0,0,0
Jamajka,388,JM,JAM,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Japonsko,392,JP,JPN,73,10,0,0,0,2,1,2,2,0,5,2,2,0
Kazachstán,398,KZ,KAZ,505,115,3,5,30,63,11,7,2,3,31,8,4,3
Jordánsko,400,JO,JOR,25,4,0,0,1,4,0,0,2,0,3,0,3,1
Keňa,404,KE,KEN,4,1,0,0,1,2,0,0,0,0,1,0,1,1
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Korejská republika,410,KR,KOR,71,2,1,2,0,0,1,0,0,1,2,0,8,0
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Kyrgyzstán,417,KG,KGZ,75,15,0,1,21,7,2,0,0,0,1,1,0,2
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0
Libanon,422,LB,LBN,31,5,0,2,1,7,2,4,1,1,0,4,1,2
Lotyšsko,428,LV,LVA,85,21,9,7,3,5,0,1,0,10,6,1,2,3
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Libye,434,LY,LBY,9,2,0,0,0,0,1,0,0,0,5,0,2,0
Lichtenštejnsko,438,LI,LIE,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Litva,440,LT,LTU,75,20,4,13,4,5,6,3,2,17,21,1,1,0
Lucembursko,442,LU,LUX,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagaskar,450,MG,MDG,3,0,0,0,0,0,0,0,1,0,1,0,1,0
Malajsie,458,MY,MYS,5,0,0,0,0,2,0,0,0,0,0,0,0,0
Maledivy,462,MV,MDV,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,470,MT,MLT,17,0,2,0,0,1,0,1,0,0,0,1,1,0
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mauricius,480,MU,MUS,2,1,0,0,0,0,0,0,0,0,1,0,0,0
Mexiko,484,MX,MEX,63,13,2,1,0,1,0,4,3,0,6,1,2,3
Mongolsko,496,MN,MNG,111,19,3,18,14,59,39,19,11,16,36,10,3,15
Moldavsko,498,MD,MDA,314,174,24,64,16,46,48,31,17,24,58,29,6,19
Černá Hora,499,ME,MNE,19,5,0,3,2,3,1,1,0,0,1,2,1,0
Maroko,504,MA,MAR,40,7,0,1,0,7,3,1,0,1,6,1,4,2
Namibie,516,,NAM,3,1,0,0,0,0,0,0,0,0,1,0,1,0
Nepál,524,NP,NPL,5,2,0,3,0,0,1,0,0,0,1,0,0,0
Nizozemsko,528,NL,NLD,158,38,26,14,5,19,19,22,12,8,28,11,6,8
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nový Zéland,554,NZ,NZL,18,5,0,0,0,1,1,1,1,0,4,1,2,2
Nikaragua,558,NI,NIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,562,NE,NER,8,2,0,0,0,0,0,0,0,0,1,0,0,0
Nigérie,566,NG,NGA,156,13,1,0,0,12,1,1,3,0,7,0,2,1
Norsko,578,NO,NOR,19,2,1,0,0,3,2,1,0,1,2,0,1,2
Pákistán,586,PK,PAK,65,10,1,5,1,5,1,1,0,1,4,1,3,0
Panama,591,PA,PAN,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,600,PY,PRY,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,604,PE,PER,18,13,1,1,0,5,1,2,0,0,8,1,2,1
Filipíny,608,PH,PHL,62,7,2,1,1,6,0,2,0,2,2,1,4,4
Polsko,616,PL,POL,607,201,47,65,40,115,143,304,76,27,137,169,1026,41
Portugalsko,620,PT,PRT,95,9,2,6,2,3,5,2,0,2,13,1,11,1
Guinea-Bissau,624,GW,GNB,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rumunsko,642,RO,ROU,1184,341,84,369,52,197,80,56,69,24,182,81,22,71
Rusko,643,RU,RUS,3102,593,32,61,234,176,43,32,29,14,192,51,59,31
Rwanda,646,RW,RWA,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Tomáš a Princův ostrov,678,ST,STP,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Senegal,686,SN,SEN,16,5,0,0,0,1,0,0,0,0,0,0,0,0
Srbsko,688,RS,SRB,174,41,3,8,14,19,4,3,1,5,25,5,7,7
Sierra Leone,694,SL,SLE,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapur,702,SG,SGP,3,0,0,1,0,1,0,0,0,0,0,0,0,0
Slovensko,703,SK,SVK,9203,2923,585,822,295,730,484,468,504,343,3432,616,1599,979
Vietnam,704,VN,VNM,4382,1950,892,2177,2746,3307,676,533,512,373,1322,532,1052,291
Slovinsko,705,SI,SVN,50,9,3,2,3,2,0,2,2,0,11,1,7,1
Somálsko,706,SO,SOM,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Jižní Afrika,710,ZA,ZAF,32,8,3,1,2,1,1,1,0,0,9,4,1,4
Zimbabwe,716,ZW,ZWE,4,1,0,0,0,0,0,0,1,0,0,0,0,0
Španělsko,724,ES,ESP,410,24,10,6,4,7,7,7,7,1,40,11,12,4
Súdán,729,SD,SDN,4,0,0,1,0,2,0,0,0,0,0,0,0,0
Surinam,740,SR,SUR,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Švédsko,752,SE,SWE,138,19,2,19,1,14,1,0,1,4,8,3,7,0
Švýcarsko,756,CH,CHE,43,6,7,2,5,4,5,2,1,1,3,0,3,0
Sýrie,760,SY,SYR,65,16,4,14,11,21,6,8,6,1,26,6,18,6
Tádžikistán,762,TJ,TJK,20,1,0,0,0,0,0,0,0,0,2,0,0,0
Thajsko,764,TH,THA,164,18,5,12,4,10,2,0,3,0,7,2,4,3
Togo,768,TG,TGO,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Tonga,776,TO,TON,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Trinidad a Tobago,780,TT,TTO,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Spojené arabské emiráty,784,AE,ARE,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tunisko,788,TN,TUN,115,33,2,7,7,13,6,8,3,1,13,6,14,6
Turecko,792,TR,TUR,142,25,8,10,5,17,8,9,5,5,22,10,10,8
Turkmenistán,795,TM,TKM,9,0,0,0,0,1,0,0,0,0,0,0,0,0
Uganda,800,UG,UGA,3,2,1,0,0,0,0,2,0,0,0,0,0,0
Ukrajina,804,UA,UKR,14336,4824,799,1859,778,1442,841,962,1136,644,2018,527,485,327
Severní Makedonie,807,MK,MKD,138,29,10,9,3,56,3,9,6,4,25,22,35,9
Egypt,818,EG,EGY,63,18,2,3,5,11,5,4,12,3,15,7,17,3
Velká Británie,826,GB,GBR,912,215,45,49,16,36,37,31,43,20,130,37,63,49
Guernsey,831,GG,GGY,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tanzanie,834,TZ,TZA,4,0,0,0,0,0,0,0,0,0,1,0,1,0
Spojené státy,840,US,USA,1329,124,42,34,6,30,23,19,19,11,69,29,47,21
Burkina Faso,854,BF,BFA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Uruguay,858,UY,URY,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Uzbekistán,860,UZ,UZB,479,58,1,17,7,5,5,5,4,4,3,4,1,0
Venezuela,862,VE,VEN,24,0,0,0,0,0,0,2,0,0,6,0,1,1
Jemen,887,YE,YEM,8,3,0,2,0,8,1,1,1,0,2,1,2,0
Srbsko a Černá Hora,891,CS,SCG,193,36,12,12,7,21,8,4,1,2,15,6,12,6
Zambie,894,ZM,ZMB,1,2,0,0,0,0,0,0,0,0,0,0,0,0
