Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2023 Q4,Středočeský kraj 2023 Q4,Jihočeský kraj 2023 Q4,Plzeňský kraj 2023 Q4,Karlovarský kraj 2023 Q4,Ústecký kraj 2023 Q4,Liberecký kraj 2023 Q4,Královéhradecký kraj 2023 Q4,Pardubický kraj 2023 Q4,Kraj Vysočina 2023 Q4,Jihomoravský kraj 2023 Q4,Olomoucký kraj 2023 Q4,Moravskoslezský kraj 2023 Q4,Zlínský kraj 2023 Q4
Afghánistán,004,AF,AFG,25,9,0,1,2,7,3,0,0,3,13,3,5,0
Albánie,008,AL,ALB,20,11,2,2,1,6,1,1,2,2,2,1,3,5
Alžírsko,012,DZ,DZA,99,26,4,3,1,15,2,0,1,2,10,5,7,3
Angola,024,AO,AGO,12,2,1,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,121,16,2,4,5,6,1,1,1,1,6,3,1,0
Argentina,032,AR,ARG,31,5,1,0,0,1,0,2,2,0,7,1,0,0
Austrálie,036,AU,AUS,63,6,8,5,0,5,5,4,5,0,5,2,4,2
Rakousko,040,AT,AUT,142,19,81,4,25,33,7,3,5,9,119,13,7,19
Bangladéš,050,BD,BGD,17,2,0,1,3,0,0,0,0,0,1,0,3,0
Arménie,051,AM,ARM,201,48,2,4,3,25,9,3,3,22,70,2,11,3
Barbados,052,BB,BRB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgie,056,BE,BEL,90,32,7,5,3,6,5,7,2,2,10,1,3,2
Bolívie,068,BO,BOL,10,1,0,1,0,1,0,0,0,0,0,0,0,1
Bosna a Hercegovina,070,BA,BIH,152,37,4,2,6,15,11,6,5,0,42,8,9,3
Botswana,072,BW,BWA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazílie,076,BR,BRA,81,4,0,2,1,2,1,1,0,0,7,0,4,2
Britské indickooceánské území,086,IO,IOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Britské Panenské ostrovy,092,VG,VGB,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,25,9,1,2,7,5,0,5,5,4,10,4,5,0
Brunej,096,BN,BRN,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulharsko,100,BG,BGR,891,288,52,130,51,137,51,34,37,22,133,87,69,26
Myanmar,104,MM,MMR,2,3,0,0,0,0,0,0,0,0,1,0,0,0
Burundi,108,BI,BDI,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bělorusko,112,BY,BLR,544,105,20,38,32,38,13,18,23,15,55,17,24,11
Kambodža,116,KH,KHM,4,1,0,0,0,0,0,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,21,3,1,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,122,11,8,3,3,1,3,4,7,0,8,3,8,6
Šrí Lanka,144,LK,LKA,16,2,0,1,0,0,0,0,0,2,1,0,0,5
Čad,148,TD,TCD,30,17,5,9,3,7,3,12,2,3,19,3,5,1
Chile,152,CL,CHL,40,6,0,2,0,1,0,1,1,0,4,1,1,2
Čína,156,CN,CHN,211,39,6,4,2,21,1,2,4,4,13,6,9,2
Tchaj-wan,158,TW,TWN,17,1,1,1,0,0,1,1,0,0,0,0,0,1
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,46,4,0,2,0,2,1,1,1,0,3,2,2,2
Konžská republika,178,CG,COG,11,1,1,1,0,2,0,0,0,0,0,1,0,0
Konžská demokratická republika,180,CD,COD,10,2,0,1,0,2,0,0,1,0,1,1,0,0
Kostarika,188,CR,CRI,4,2,0,0,0,0,0,0,0,0,1,0,0,1
Chorvatsko,191,HR,HRV,254,43,10,16,13,19,5,3,6,3,35,16,29,13
Kuba,192,CU,CUB,38,10,2,2,1,9,2,2,1,0,3,1,3,1
Kypr,196,CY,CYP,24,2,1,0,0,1,0,0,0,1,0,0,1,1
Česko,203,CZ,CZE,295836,247837,107858,92314,42785,113247,75355,93285,81790,77816,201149,95006,169038,94945
Benin,204,BJ,BEN,14,1,0,0,0,2,2,0,0,0,0,0,0,0
Dánsko,208,DK,DNK,67,9,2,1,0,3,7,0,0,1,4,0,4,1
Dominikánská republika,214,DO,DOM,9,2,1,0,0,0,1,1,0,0,0,0,0,0
Ekvádor,218,EC,ECU,6,6,0,1,0,0,0,0,1,0,4,1,1,1
Salvador,222,SV,SLV,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Etiopie,231,ET,ETH,13,2,0,0,0,0,0,0,0,0,1,0,0,0
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonsko,233,EE,EST,32,6,0,0,2,2,1,1,1,0,4,0,0,0
Finsko,246,FI,FIN,63,7,1,2,2,1,0,1,1,1,8,1,2,0
Alandy,248,AX,ALA,6,4,1,0,1,4,1,1,0,0,4,0,3,0
Francie,250,FR,FRA,612,59,13,25,7,7,5,9,12,9,44,10,20,9
Gruzie,268,GE,GEO,101,13,3,2,4,4,1,0,1,2,5,1,2,1
Gambie,270,GM,GMB,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Palestina,275,PS,PSE,6,3,0,0,0,1,1,0,0,0,2,0,0,0
Německo,276,DE,DEU,697,229,92,254,406,1232,56,45,29,25,105,58,52,18
Ghana,288,GH,GHA,48,6,0,1,0,6,2,2,6,0,10,1,0,1
Řecko,300,GR,GRC,140,20,6,3,5,8,6,3,4,4,34,22,32,1
Guatemala,320,GT,GTM,7,2,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,324,GN,GIN,16,3,0,0,0,0,0,0,0,0,2,0,0,0
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,340,HN,HND,10,0,0,0,0,0,0,0,1,0,0,0,0,1
Hongkong,344,HK,HKG,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maďarsko,348,HU,HUN,789,185,35,163,45,46,37,42,48,27,149,37,23,13
Island,352,IS,ISL,12,1,0,0,1,0,0,0,0,0,0,0,0,0
Indie,356,IN,IND,190,17,2,2,3,4,3,1,3,3,25,3,12,2
Indonésie,360,ID,IDN,19,1,0,0,0,0,0,1,1,0,1,0,4,0
Írán,364,IR,IRN,38,5,1,2,1,0,1,3,0,1,5,3,3,1
Irák,368,IQ,IRQ,36,5,0,2,1,10,1,1,5,1,16,0,3,1
Irsko,372,IE,IRL,187,19,9,9,4,7,6,1,3,4,20,7,8,6
Izrael,376,IL,ISR,105,28,3,1,2,9,0,3,2,0,9,1,3,1
Itálie,380,IT,ITA,848,114,23,34,18,41,8,11,16,5,87,28,56,41
Pobřeží slonoviny,384,CI,CIV,11,2,0,0,1,2,0,0,0,0,0,0,0,0
Jamajka,388,JM,JAM,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Japonsko,392,JP,JPN,77,12,0,2,0,3,1,2,2,0,6,2,2,0
Kazachstán,398,KZ,KAZ,588,121,2,7,31,62,9,7,2,3,40,8,5,4
