Občanství,024  Q4
Afghánistán,85
Albánie,64
Antarktida,0
Alžírsko,189
Americká Samoa,0
Andorra,0
Angola,33
Antigua a Barbuda,0
Ázerbájdžán,218
Argentina,54
Austrálie,115
Rakousko,484
Bahamy,0
Bahrajn,1
Bangladéš,55
Arménie,418
Barbados,2
Belgie,176
Bermudy,0
Bhútán,0
Bolívie,13
Bosna a Hercegovina,305
Botswana,1
Bouvetův ostrov,0
Brazílie,108
Belize,0
Britské indickooceánské území,0
Šalomounovy ostrovy,0
Britské Panenské ostrovy,4
Kosovo,89
Brunej,1
Bulharsko,2073
Myanmar,9
Burundi,2
Bělorusko,1093
Kambodža,8
Kamerun,30
Kanada,198
Kapverdy,0
Kajmanské ostrovy,0
Středoafrická republika,0
Šrí Lanka,29
Čad,129
Chile,61
Čína,346
Tchaj-wan,23
Vánoční ostrov,1
Kokosové (Keelingovy) ostrovy,0
Kolumbie,68
Komory,0
Mayotte,0
Konžská republika,18
Konžská demokratická republika,18
Cookovy ostrovy,0
Kostarika,11
Chorvatsko,480
Kuba,75
Kypr,38
Česko,1795537
Benin,17
Dánsko,101
Dominika,0
Dominikánská republika,14
Ekvádor,22
Salvador,5
Rovníková Guinea,0
Etiopie,21
Eritrea,1
Estonsko,55
Faerské ostrovy,0
Falklandy (Malvíny),0
Jižní Georgie a Jižní Sandwichovy ostrovy,0
Fidži,2
Finsko,89
Alandy,25
Francie,917
Francouzská Guyana,0
Francouzská Polynésie,0
Francouzská jižní a antarktická území,0
Džibutsko,0
Gabon,0
Gruzie,148
Gambie,2
Palestina,14
Německo,3347
Ghana,103
Gibraltar,0
Kiribati,0
Řecko,305
Grónsko,0
Grenada,0
Guadeloupe,0
Guam,0
Guatemala,13
Guinea,26
Guyana,1
Haiti,0
Heardův ostrov a MacDonaldovy ostrovy,0
Vatikán,0
Honduras,14
Hongkong,3
Maďarsko,1864
Island,15
Indie,350
Indonésie,29
Írán,74
Irák,84
Irsko,307
Izrael,175
Itálie,1412
Pobřeží slonoviny,18
Jamajka,2
Japonsko,115
Kazachstán,997
Jordánsko,39
Keňa,15
Korejská lidově demokratická republika,4
Korejská republika,106
Kuvajt,5
Kyrgyzstán,169
Laos,7
Libanon,72
Lesotho,0
Lotyšsko,172
Libérie,1
Libye,19
Lichtenštejnsko,2
Litva,181
Lucembursko,11
Macao,0
Madagaskar,6
Malawi,0
Malajsie,11
Maledivy,3
Mali,5
Malta,29
Martinik,0
Mauritánie,1
Mauricius,6
Mexiko,134
Monako,0
Mongolsko,451
Moldavsko,938
Černá Hora,38
Montserrat,0
Maroko,78
Mosambik,0
Omán,0
Namibie,5
Nauru,0
Nepál,20
Nizozemské království,411
Nizozemské Antily,1
Curaçao,0
Aruba,0
Svatý Martin (NL),0
"Bonaire, Svatý Eustach a Saba",0
Nová Kaledonie,0
Vanuatu,0
Nový Zéland,40
Nikaragua,2
Niger,12
Nigérie,223
Niue,0
Norfolk,0
Norsko,41
Severní Mariany,0
Menší odlehlé ostrovy USA,0
Mikronésie,0
Marshallovy ostrovy,0
Palau,0
Pákistán,104
Panama,6
Papua Nová Guinea,0
Paraguay,2
Peru,67
Filipíny,140
Pitcairn,0
Polsko,3008
Portugalsko,199
Guinea-Bissau,3
Východní Timor,0
Portoriko,0
Katar,1
Réunion,0
Rumunsko,3367
Rusko,5529
Rwanda,1
Svatý Bartoloměj,0
Svatá Helena,0
Svatý Kryštof a Nevis,1
Anguilla,0
Svatá Lucie,1
Svatý Martin (FR),0
Saint Pierre a Miquelon,0
Svatý Vincenc a Grenadiny,0
San Marino,0
Svatý Tomáš a Princův ostrov,1
Saúdská Arábie,2
Senegal,21
Srbsko,374
Seychely,0
Sierra Leone,3
Singapur,8
Slovensko,25817
Vietnam,21145
Slovinsko,95
Somálsko,1
Jižní Afrika,74
Zimbabwe,13
Španělsko,620
Jižní Súdán,1
Súdán,9
Západní Sahara,0
Surinam,2
Špicberky a Jan Mayen,0
Svazijsko,0
Švédsko,245
Švýcarsko,89
Sýrie,222
Tádžikistán,34
Thajsko,268
Togo,4
Tokelau,0
Tonga,1
Trinidad a Tobago,1
Spojené arabské emiráty,3
Tunisko,277
Turecko,419
Turkmenistán,14
Turks a Caicos,0
Tuvalu,0
Uganda,11
Ukrajina,43305
Severní Makedonie,364
Egypt,198
Velká Británie a Severní Irsko,1706
Guernsey,1
Jersey,0
Man,0
Tanzanie,6
Spojené státy,1727
Americké Panenské ostrovy,0
Burkina Faso,2
Uruguay,4
Uzbekistán,781
Venezuela,44
Wallis a Futuna,0
Samoa,0
Jemen,32
Srbsko a Černá Hora,288
Zambie,7
