Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 017  Q1,Středočeský kraj 017  Q1,Jihočeský kraj 017  Q1,Plzeňský kraj 017  Q1,Karlovarský kraj 017  Q1,Ústecký kraj 017  Q1,Liberecký kraj 017  Q1,Královéhradecký kraj 017  Q1,Pardubický kraj 017  Q1,Kraj Vysočina 017  Q1,Jihomoravský kraj 017  Q1,Olomoucký kraj 017  Q1,Moravskoslezský kraj 017  Q1,Zlínský kraj 017  Q1
Afghánistán,004,AF,AFG,16,7,0,0,1,6,2,0,0,1,13,4,2,0
Albánie,008,AL,ALB,13,8,4,1,1,3,1,2,1,1,2,1,1,4
Alžírsko,012,DZ,DZA,94,22,3,0,1,7,2,1,1,1,9,2,2,0
Angola,024,AO,AGO,9,2,2,0,0,3,2,1,1,0,6,3,2,2
Ázerbájdžán,031,AZ,AZE,51,5,0,2,4,4,0,1,0,0,2,4,0,0
Argentina,032,AR,ARG,16,1,0,0,0,2,0,0,1,0,1,1,1,0
Austrálie,036,AU,AUS,47,3,5,3,0,5,4,4,6,0,6,2,2,3
Rakousko,040,AT,AUT,107,23,108,3,20,35,8,4,5,6,121,16,10,24
Bangladéš,050,BD,BGD,6,1,0,1,1,0,0,3,0,0,0,0,3,0
Arménie,051,AM,ARM,135,26,2,5,8,33,6,4,3,20,69,2,13,2
Belgie,056,BE,BEL,50,18,7,4,4,6,5,5,1,2,5,1,3,3
Bolívie,068,BO,BOL,4,2,0,0,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,132,35,7,0,4,15,9,7,5,0,46,6,10,1
Brazílie,076,BR,BRA,37,2,2,1,0,3,0,1,2,0,5,0,2,0
Britské Panenské ostrovy,092,VG,VGB,6,0,1,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,11,5,0,3,3,3,1,2,1,0,5,1,2,0
Bulharsko,100,BG,BGR,669,219,58,45,29,112,38,23,26,47,125,79,63,25
Myanmar,104,MM,MMR,2,1,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,286,62,14,33,24,48,10,14,15,14,32,12,16,11
Kambodža,116,KH,KHM,2,3,0,0,0,0,1,0,0,0,1,0,0,2
Kamerun,120,CM,CMR,12,1,0,0,0,3,1,0,0,0,1,0,0,0
Kanada,124,CA,CAN,94,10,7,4,1,1,3,3,5,0,5,4,6,5
Šrí Lanka,144,LK,LKA,9,1,0,0,1,0,0,0,0,1,1,0,0,0
Čad,148,TD,TCD,19,9,4,9,0,7,3,10,3,1,7,3,4,0
Chile,152,CL,CHL,16,2,0,1,0,1,0,0,1,0,1,2,0,1
Čína,156,CN,CHN,165,26,5,5,1,22,0,2,4,3,6,2,7,2
Tchaj-wan,158,TW,TWN,8,0,0,1,1,0,1,0,0,0,0,0,1,0
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,16,3,0,1,0,0,0,2,2,0,2,1,2,0
