Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2020 Q1,Středočeský kraj 2020 Q1,Jihočeský kraj 2020 Q1,Plzeňský kraj 2020 Q1,Karlovarský kraj 2020 Q1,Ústecký kraj 2020 Q1,Liberecký kraj 2020 Q1,Královéhradecký kraj 2020 Q1,Pardubický kraj 2020 Q1,Kraj Vysočina 2020 Q1,Jihomoravský kraj 2020 Q1,Olomoucký kraj 2020 Q1,Moravskoslezský kraj 2020 Q1,Zlínský kraj 2020 Q1
Afghánistán,004,AF,AFG,17,7,0,0,2,7,1,0,0,2,13,3,2,0
Albánie,008,AL,ALB,20,7,2,1,1,4,1,1,1,1,2,0,2,4
Alžírsko,012,DZ,DZA,105,25,3,1,0,10,3,0,1,1,10,2,3,4
Angola,024,AO,AGO,14,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,67,6,1,1,4,4,0,2,1,0,1,3,1,0
Argentina,032,AR,ARG,25,2,1,0,0,1,0,1,1,0,4,1,0,0
Austrálie,036,AU,AUS,59,5,5,4,1,3,4,4,7,0,7,2,3,3
Rakousko,040,AT,AUT,129,20,101,4,22,31,7,4,4,7,124,16,11,23
Bangladéš,050,BD,BGD,4,1,0,1,1,0,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,155,34,2,4,8,31,7,4,4,19,72,2,10,2
Belgie,056,BE,BEL,68,26,8,4,3,7,5,7,1,2,9,2,2,2
Bolívie,068,BO,BOL,8,2,0,1,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,134,37,5,2,4,17,10,7,4,0,43,7,10,1
Brazílie,076,BR,BRA,58,9,2,2,0,1,0,2,1,0,7,1,1,0
Britské Panenské ostrovy,092,VG,VGB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,11,8,1,3,6,5,0,1,4,1,5,1,6,0
Bulharsko,100,BG,BGR,819,255,55,87,35,130,48,27,26,44,134,84,77,27
Myanmar,104,MM,MMR,1,3,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,356,89,13,30,28,34,10,15,19,16,35,16,17,15
Kambodža,116,KH,KHM,2,1,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,17,2,0,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,115,12,8,4,2,1,3,4,6,0,4,4,7,6
Kapverdy,132,CV,CPV,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Šrí Lanka,144,LK,LKA,12,1,0,0,0,0,0,0,0,1,2,0,0,0
Čad,148,TD,TCD,19,11,2,9,1,6,4,10,2,3,11,4,4,1
Chile,152,CL,CHL,24,3,1,1,0,1,0,0,2,0,3,1,0,1
Čína,156,CN,CHN,182,30,6,4,2,24,1,2,3,4,12,4,9,2
Tchaj-wan,158,TW,TWN,16,0,1,1,1,1,1,0,0,0,0,0,0,0
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,31,3,0,1,0,0,0,1,1,0,1,1,1,1
Konžská republika,178,CG,COG,10,2,0,1,0,2,0,0,0,0,0,1,0,0
Demokratická republika Kongo,180,CD,COD,6,4,0,0,0,2,0,1,1,0,1,1,1,0
Kostarika,188,CR,CRI,4,3,0,0,0,0,0,0,0,0,1,0,0,0
Chorvatsko,191,HR,HRV,218,31,10,15,14,22,6,3,8,4,31,17,24,14
Kuba,192,CU,CUB,26,10,1,1,1,7,2,2,0,0,1,3,2,2
Kypr,196,CY,CYP,16,1,1,0,0,1,0,0,0,0,0,0,1,1
Česko,203,CZ,CZE,310180,260338,122384,104357,49527,125657,88941,105648,90661,86845,216821,107046,185649,108069
Benin,204,BJ,BEN,12,1,0,0,0,2,2,0,0,0,0,1,0,0
Dánsko,208,DK,DNK,55,7,0,1,1,4,4,0,0,2,3,0,4,1
Dominikánská republika,214,DO,DOM,4,4,1,0,0,0,0,0,0,0,0,0,0,0
Ekvádor,218,EC,ECU,3,4,0,0,0,0,0,1,0,0,3,1,1,0
Salvador,222,SV,SLV,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Etiopie,231,ET,ETH,13,1,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonsko,233,EE,EST,22,3,0,0,0,2,0,1,0,0,3,0,1,1
Finsko,246,FI,FIN,50,4,0,1,0,2,0,1,0,1,4,1,1,0
Alandy,248,AX,ALA,10,4,0,0,4,4,1,2,0,0,6,1,3,0
Francie,250,FR,FRA,471,59,17,17,4,6,4,6,11,7,34,9,21,11
Gabon,266,GA,GAB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gruzie,268,GE,GEO,73,11,2,6,5,2,1,0,1,0,5,1,2,0
Gambie,270,GM,GMB,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Palestina,275,PS,PSE,4,3,0,0,0,1,0,1,0,0,0,1,0,0
Německo,276,DE,DEU,534,231,96,258,231,1280,76,52,30,25,107,68,56,18
Ghana,288,GH,GHA,32,3,0,0,0,7,1,1,3,0,3,1,0,1
Řecko,300,GR,GRC,117,14,2,3,5,7,6,4,3,3,34,18,38,2
Guatemala,320,GT,GTM,4,2,0,0,0,0,0,0,0,1,0,0,0,0
Guinea,324,GN,GIN,16,3,0,0,0,1,0,0,0,0,1,0,1,0
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,340,HN,HND,7,1,0,0,0,0,0,0,1,0,0,0,0,0
Hongkong,344,HK,HKG,2,1,0,0,0,0,0,0,0,0,1,0,0,0
Maďarsko,348,HU,HUN,514,93,20,115,25,41,29,40,29,19,116,15,23,8
Island,352,IS,ISL,8,1,0,0,1,0,0,0,0,0,0,0,0,0
Indie,356,IN,IND,97,5,0,0,3,3,1,1,1,0,14,3,9,2
Indonésie,360,ID,IDN,5,1,0,0,0,0,1,0,1,0,0,0,1,0
Írán,364,IR,IRN,17,5,1,4,0,0,3,1,0,1,1,2,0,1
Irák,368,IQ,IRQ,26,9,0,2,1,8,1,1,4,1,10,0,4,0
Irsko,372,IE,IRL,136,15,5,13,4,5,2,1,3,3,15,3,8,6
Izrael,376,IL,ISR,61,20,2,0,2,3,0,3,1,0,4,1,1,1
Itálie,380,IT,ITA,662,87,26,32,17,41,13,8,15,6,93,30,50,38
Pobřeží slonoviny,384,CI,CIV,11,1,0,0,1,1,1,0,0,0,0,0,0,0
