Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet
Afghánistán,004,AF,AFG,17,7,0,0,2,7,1,0,0,1,13,3,2,0,53
Albánie,008,AL,ALB,14,7,4,1,1,3,1,2,1,1,2,1,2,4,44
Alžírsko,012,DZ,DZA,95,23,4,0,0,8,2,0,1,1,8,3,2,1,148
Angola,024,AO,AGO,11,2,2,0,0,2,3,1,1,0,6,3,1,2,34
Ázerbájdžán,031,AZ,AZE,54,4,1,1,3,4,0,1,0,0,2,4,0,0,74
Argentina,032,AR,ARG,23,2,0,0,0,1,0,0,1,0,2,1,1,0,31
Austrálie,036,AU,AUS,58,5,5,3,0,5,4,4,7,0,6,2,3,3,105
Rakousko,040,AT,AUT,125,25,109,5,20,34,6,4,4,7,124,18,10,24,515
Bangladéš,050,BD,BGD,5,1,0,1,1,0,0,0,0,0,0,0,3,0,11
Arménie,051,AM,ARM,145,31,2,4,8,30,6,4,3,19,74,2,11,2,341
Belgie,056,BE,BEL,62,22,7,4,3,7,5,6,1,2,6,1,2,3,131
Bolívie,068,BO,BOL,5,2,0,0,0,1,1,0,0,0,1,0,0,0,10
Bosna a Hercegovina,070,BA,BIH,132,34,5,1,4,16,11,7,5,0,44,7,10,1,277
Botswana,072,BW,BWA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Brazílie,076,BR,BRA,54,5,3,1,0,3,0,1,1,0,7,1,2,0,78
Britské Panenské ostrovy,092,VG,VGB,5,0,1,0,0,0,0,0,0,0,0,0,0,0,6
Kosovo,095,XK,XXK,10,7,0,4,6,4,0,1,3,1,4,1,2,0,43
Bulharsko,100,BG,BGR,763,236,53,74,31,117,40,25,23,42,119,80,70,27,1700
Myanmar,104,MM,MMR,1,2,0,0,0,0,0,0,1,0,1,0,0,0,5
Bělorusko,112,BY,BLR,315,70,13,27,29,41,10,15,18,15,30,13,18,13,627
Kambodža,116,KH,KHM,2,1,0,0,0,0,1,0,0,0,1,0,0,0,5
Kamerun,120,CM,CMR,13,1,0,1,0,1,2,0,0,0,0,0,0,0,18
Kanada,124,CA,CAN,109,12,8,4,1,1,3,4,5,0,5,4,6,5,167
Kapverdy,132,CV,CPV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Šrí Lanka,144,LK,LKA,10,1,0,0,1,0,0,0,0,1,2,0,0,0,15
Čad,148,TD,TCD,16,10,3,10,1,6,4,11,2,2,9,3,4,0,81
Chile,152,CL,CHL,21,1,1,1,0,1,0,0,1,0,2,2,0,1,31
Čína,156,CN,CHN,169,32,5,4,1,23,0,2,2,3,9,2,7,2,261
Tchaj-wan,158,TW,TWN,9,0,0,1,1,1,0,0,0,0,0,0,0,0,12
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kolumbie,170,CO,COL,29,2,0,1,0,0,0,1,1,0,2,1,2,0,39
Konžská republika,178,CG,COG,10,2,0,1,0,1,0,0,0,0,0,1,0,0,15
Demokratická republika Kongo,180,CD,COD,5,3,0,0,0,2,0,1,0,0,0,1,1,0,13
Kostarika,188,CR,CRI,5,2,0,0,0,0,0,0,0,0,1,0,0,0,8
Chorvatsko,191,HR,HRV,194,34,9,14,15,18,7,2,7,4,28,17,24,15,388
Kuba,192,CU,CUB,17,8,1,1,1,6,2,2,0,1,1,3,2,2,47
Kypr,196,CY,CYP,15,0,1,0,0,1,0,0,0,0,0,0,1,1,19
Česko,203,CZ,CZE,304240,254059,121355,103512,49840,124356,89409,104655,89270,85176,213709,105507,184073,107189,1936350
Benin,204,BJ,BEN,12,1,0,0,0,3,1,0,0,0,0,1,0,0,18
Dánsko,208,DK,DNK,46,7,0,1,1,4,2,0,0,2,3,0,4,1,71
Dominikánská republika,214,DO,DOM,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5
Ekvádor,218,EC,ECU,3,4,0,1,0,0,0,1,0,0,1,1,1,0,12
Salvador,222,SV,SLV,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Etiopie,231,ET,ETH,12,1,0,0,0,0,0,0,0,0,0,0,0,0,13
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Estonsko,233,EE,EST,19,3,0,0,0,2,0,1,0,0,2,0,1,1,29
Finsko,246,FI,FIN,48,3,0,0,0,2,0,1,0,1,4,1,0,0,60
Alandy,248,AX,ALA,10,5,0,0,4,5,1,2,0,0,6,1,3,0,37
Francie,250,FR,FRA,417,54,14,16,4,8,4,3,10,7,35,10,15,10,607
Gabon,266,GA,GAB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gruzie,268,GE,GEO,64,9,2,1,5,1,1,0,1,0,4,1,2,0,91
Gambie,270,GM,GMB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Palestina,275,PS,PSE,5,4,0,0,0,1,0,1,0,0,0,0,1,0,12
Německo,276,DE,DEU,494,223,97,261,335,1321,80,48,31,24,107,64,58,20,3163
Ghana,288,GH,GHA,25,4,0,0,0,7,1,1,3,0,4,2,0,1,48
Řecko,300,GR,GRC,102,9,1,2,3,7,6,4,3,2,31,15,37,1,223
Guatemala,320,GT,GTM,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Guinea,324,GN,GIN,13,3,0,0,0,0,0,0,0,0,1,0,1,0,18
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Honduras,340,HN,HND,6,0,0,0,0,0,0,0,1,0,0,0,0,0,7
Hongkong,344,HK,HKG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Maďarsko,348,HU,HUN,388,63,16,66,18,30,18,38,25,12,98,14,22,6,814
Island,352,IS,ISL,8,1,0,0,1,0,0,0,0,0,0,0,0,0,10
Indie,356,IN,IND,75,5,1,1,3,4,1,1,1,0,13,3,6,1,115
Indonésie,360,ID,IDN,4,0,0,0,0,0,1,0,1,0,0,0,1,0,7
Írán,364,IR,IRN,12,3,1,4,0,0,4,1,0,0,1,2,0,2,30
Irák,368,IQ,IRQ,27,9,0,1,1,7,1,1,4,1,9,0,3,0,64
Irsko,372,IE,IRL,124,14,5,13,4,4,0,3,3,3,10,2,6,3,194
Izrael,376,IL,ISR,59,11,1,0,3,3,1,2,1,0,3,1,1,1,87
Itálie,380,IT,ITA,581,73,26,27,19,41,11,7,14,5,88,31,48,38,1009
Pobřeží slonoviny,384,CI,CIV,12,1,0,0,1,1,1,0,0,0,0,0,0,0,16
Jamajka,388,JM,JAM,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
Japonsko,392,JP,JPN,48,8,0,0,0,3,0,2,2,0,5,2,1,1,72
Kazachstán,398,KZ,KAZ,338,93,2,5,27,48,10,7,3,3,9,8,4,1,558
Jordánsko,400,JO,JOR,16,4,0,0,2,4,1,0,2,0,2,0,3,1,35
Keňa,404,KE,KEN,2,1,0,0,0,2,1,0,0,0,1,0,2,0,9
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Korejská republika,410,KR,KOR,48,2,1,2,0,0,0,0,0,1,1,0,7,0,62
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4
Kyrgyzstán,417,KG,KGZ,41,8,1,1,18,5,1,0,0,0,2,1,0,1,79
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0,5
Libanon,422,LB,LBN,18,4,1,2,1,7,2,1,4,1,0,1,1,0,43
Lotyšsko,428,LV,LVA,52,9,10,5,1,4,1,1,0,9,3,0,1,2,98
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Libye,434,LY,LBY,7,1,0,0,0,0,0,1,0,0,5,0,1,0,15
Lichtenštejnsko,438,LI,LIE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Litva,440,LT,LTU,56,15,4,14,3,3,5,3,2,18,16,0,1,1,141
Lucembursko,442,LU,LUX,5,0,0,0,0,1,0,0,0,0,0,0,0,0,6
Madagaskar,450,MG,MDG,3,0,0,0,0,0,1,0,1,0,1,0,1,0,7
Malajsie,458,MY,MYS,7,0,0,0,0,2,0,0,1,0,0,0,0,0,10
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Malta,470,MT,MLT,6,1,1,0,0,1,0,1,0,0,0,0,1,0,11
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mauricius,480,MU,MUS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mexiko,484,MX,MEX,46,6,1,3,1,0,0,3,2,0,2,1,2,0,67
