Občanství,2020 Q2
Afghánistán,55
Albánie,47
Alžírsko,171
Angola,37
Ázerbájdžán,96
Argentina,36
Austrálie,110
Rakousko,502
Bangladéš,12
Arménie,357
Belgie,148
Bolívie,15
Bosna a Hercegovina,282
Brazílie,88
Britské Panenské ostrovy,5
Kosovo,53
Bulharsko,1873
Myanmar,6
Bělorusko,706
Kambodža,5
Kamerun,24
Kanada,173
Kapverdy,1
Šrí Lanka,15
Čad,91
Chile,36
Čína,283
Tchaj-wan,21
Vánoční ostrov,1
Kolumbie,44
Konžská republika,16
Demokratická republika Kongo,17
Kostarika,8
Chorvatsko,420
Kuba,61
Kypr,21
Česko,1968760
Benin,18
Dánsko,82
Dominikánská republika,9
Ekvádor,13
Salvador,2
Etiopie,14
Eritrea,1
Estonsko,34
Finsko,69
Alandy,35
Francie,697
Gabon,1
Gruzie,112
Gambie,2
Palestina,11
Německo,3060
Ghana,53
Řecko,263
Guatemala,7
Guinea,21
Guyana,1
Honduras,11
Hongkong,4
Maďarsko,1116
Island,10
Indie,139
Indonésie,11
Írán,34
Irák,67
Irsko,221
Izrael,102
Itálie,1122
Pobřeží slonoviny,15
Jamajka,1
Japonsko,79
Kazachstán,644
Jordánsko,43
Keňa,10
Korejská lidově demokratická republika,3
Korejská republika,87
Kuvajt,3
Kyrgyzstán,90
Laos,5
Libanon,46
Lotyšsko,122
Libérie,1
Libye,17
Lichtenštejnsko,3
Litva,155
Lucembursko,6
Madagaskar,7
Malajsie,10
Mali,2
Malta,17
Mauritánie,1
Mauricius,3
Mexiko,78
Mongolsko,278
Moldavsko,770
Černá Hora,32
Maroko,65
Namibie,4
Nepál,8
Nizozemsko,338
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,35
Niger,14
Nigérie,167
Norsko,31
Pákistán,82
Panama,5
Paraguay,3
Peru,50
Filipíny,54
Polsko,2688
Portugalsko,106
Guinea-Bissau,2
Katar,1
Rumunsko,2171
Rusko,3603
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,2
Saúdská Arábie,1
Senegal,18
Srbsko,250
Sierra Leone,4
Singapur,3
Slovensko,19680
Vietnam,20649
Slovinsko,83
Somálsko,2
Jižní Afrika,63
Zimbabwe,3
Španělsko,460
Súdán,7
Surinam,2
Švédsko,182
Švýcarsko,76
Sýrie,187
Tádžikistán,12
Thajsko,158
Togo,2
Trinidad a Tobago,2
Spojené arabské emiráty,1
Tunisko,183
Turecko,203
Turkmenistán,8
Uganda,4
Ukrajina,23495
Severní Makedonie,337
Egypt,125
Velká Británie,1929
Guernsey,1
Tanzanie,4
Spojené státy,1748
Burkina Faso,2
Uruguay,4
Uzbekistán,363
Venezuela,36
Jemen,26
Srbsko a Černá Hora,388
Zambie,5
