Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 021  Q1,Středočeský kraj 021  Q1,Jihočeský kraj 021  Q1,Plzeňský kraj 021  Q1,Karlovarský kraj 021  Q1,Ústecký kraj 021  Q1,Liberecký kraj 021  Q1,Královéhradecký kraj 021  Q1,Pardubický kraj 021  Q1,Kraj Vysočina 021  Q1,Jihomoravský kraj 021  Q1,Olomoucký kraj 021  Q1,Moravskoslezský kraj 021  Q1,Zlínský kraj 021  Q1
Afghánistán,004,AF,AFG,18,7,0,0,2,7,1,0,0,3,10,4,3,0
Albánie,008,AL,ALB,21,8,2,1,1,5,1,1,1,1,1,0,1,4
Alžírsko,012,DZ,DZA,109,27,3,0,1,11,3,0,1,0,10,2,4,4
Angola,024,AO,AGO,13,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,81,7,1,1,4,2,0,1,2,0,1,3,1,0
Argentina,032,AR,ARG,24,2,1,0,0,1,0,1,1,0,5,1,0,0
Austrálie,036,AU,AUS,65,5,5,3,1,4,4,4,7,0,7,2,4,3
Rakousko,040,AT,AUT,132,21,100,5,21,31,8,5,5,9,128,14,7,23
Bangladéš,050,BD,BGD,7,1,0,1,1,0,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,165,36,2,3,7,32,7,4,5,19,72,2,11,2
Belgie,056,BE,BEL,70,27,8,4,3,8,5,7,2,2,9,2,3,3
Bolívie,068,BO,BOL,9,1,0,1,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,141,36,5,2,4,15,10,6,4,0,44,8,10,3
Brazílie,076,BR,BRA,67,10,1,2,0,1,1,2,0,0,7,2,2,0
Britské Panenské ostrovy,092,VG,VGB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,14,6,1,3,6,5,0,2,4,3,5,1,6,0
Bulharsko,100,BG,BGR,857,267,59,95,39,126,54,30,29,47,133,86,78,26
Myanmar,104,MM,MMR,2,3,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,397,93,15,34,28,36,10,16,20,14,34,15,18,14
Kambodža,116,KH,KHM,2,1,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,17,3,1,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,120,12,9,2,2,1,3,4,7,0,3,3,7,6
Kapverdy,132,CV,CPV,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Šrí Lanka,144,LK,LKA,11,1,0,0,0,0,0,0,0,1,2,0,0,3
Čad,148,TD,TCD,23,9,3,10,3,6,4,11,2,3,12,4,4,2
Chile,152,CL,CHL,25,4,0,1,0,1,0,0,3,0,3,1,1,2
Čína,156,CN,CHN,183,32,5,4,3,24,1,2,3,4,10,4,9,2
Tchaj-wan,158,TW,TWN,18,0,1,1,0,1,1,0,0,0,0,0,0,0
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,36,4,0,1,0,0,0,1,1,0,1,1,1,1
Konžská republika,178,CG,COG,9,3,0,1,0,2,0,0,0,0,0,1,0,0
Demokratická republika Kongo,180,CD,COD,5,4,0,1,0,2,0,1,1,0,1,1,1,0
Kostarika,188,CR,CRI,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Chorvatsko,191,HR,HRV,230,35,9,15,15,22,8,3,7,4,33,17,26,14
Kuba,192,CU,CUB,29,10,1,1,1,7,2,2,1,0,2,3,2,2
Kypr,196,CY,CYP,16,1,1,0,0,1,0,0,0,0,0,0,1,1
Česko,203,CZ,CZE,314816,265471,123443,105368,49625,126953,89383,106676,91790,88028,219951,108278,187989,108952
Benin,204,BJ,BEN,12,1,0,0,0,2,2,0,0,0,0,1,0,0
Dánsko,208,DK,DNK,57,7,1,1,0,4,5,0,0,1,3,0,4,1
Dominikánská republika,214,DO,DOM,6,2,1,0,0,0,0,0,0,0,0,0,0,0
Ekvádor,218,EC,ECU,4,4,0,1,0,0,0,1,0,0,3,1,1,0
Salvador,222,SV,SLV,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Etiopie,231,ET,ETH,14,1,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonsko,233,EE,EST,22,3,0,0,1,2,0,1,0,0,2,0,0,1
Finsko,246,FI,FIN,57,4,0,1,0,1,0,1,0,1,6,1,1,0
Alandy,248,AX,ALA,9,4,1,0,4,4,1,2,0,0,5,0,3,0
Francie,250,FR,FRA,521,60,19,20,5,7,4,7,12,7,34,12,21,11
Gabon,266,GA,GAB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gruzie,268,GE,GEO,82,11,2,5,4,2,1,0,1,0,4,1,2,0
Gambie,270,GM,GMB,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Palestina,275,PS,PSE,5,3,0,0,0,1,0,1,0,0,0,1,0,0
Německo,276,DE,DEU,569,228,95,257,249,1255,76,51,30,27,110,69,57,19
Ghana,288,GH,GHA,35,5,0,1,0,7,1,1,3,0,2,1,0,1
Řecko,300,GR,GRC,124,15,3,3,4,7,6,4,3,3,37,19,38,2
Guatemala,320,GT,GTM,4,2,0,0,0,0,0,0,0,1,0,0,0,0
Guinea,324,GN,GIN,16,3,0,0,0,0,0,0,0,0,1,0,1,0
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,340,HN,HND,7,1,0,0,0,0,0,0,1,0,0,0,0,0
Hongkong,344,HK,HKG,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Maďarsko,348,HU,HUN,600,113,20,129,32,49,33,41,33,21,122,19,25,8
Island,352,IS,ISL,8,1,0,0,1,0,0,0,0,0,0,0,0,0
Indie,356,IN,IND,120,7,0,0,3,3,2,1,1,1,17,3,7,2
Indonésie,360,ID,IDN,10,1,0,0,0,0,1,0,1,0,1,0,3,0
Írán,364,IR,IRN,20,6,1,3,1,0,3,1,0,1,1,2,1,1
Irák,368,IQ,IRQ,28,9,0,2,1,8,1,1,4,1,10,0,4,1
Irsko,372,IE,IRL,152,17,7,13,4,5,6,1,3,3,15,3,9,5
Izrael,376,IL,ISR,78,18,2,0,2,4,0,3,1,0,7,2,2,1
Itálie,380,IT,ITA,701,91,23,32,17,43,12,10,14,6,94,32,50,39
Pobřeží slonoviny,384,CI,CIV,10,2,0,0,1,1,1,0,0,0,0,0,0,0
Jamajka,388,JM,JAM,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Japonsko,392,JP,JPN,58,12,0,0,0,2,1,2,2,0,6,1,2,1
Kazachstán,398,KZ,KAZ,434,107,1,5,30,65,9,7,3,3,18,8,3,2
Jordánsko,400,JO,JOR,24,5,0,0,2,4,1,0,2,0,3,0,4,1
Keňa,404,KE,KEN,3,1,0,0,0,2,1,0,0,0,1,0,2,1
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Korejská republika,410,KR,KOR,71,3,1,2,2,0,0,0,0,1,2,0,7,0
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstán,417,KG,KGZ,55,16,0,1,16,5,1,0,0,0,1,1,0,1
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0
Libanon,422,LB,LBN,22,5,0,2,1,7,2,3,1,1,0,4,1,1
Lotyšsko,428,LV,LVA,71,22,10,7,3,5,0,1,0,9,4,0,1,2
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Libye,434,LY,LBY,9,1,0,0,0,1,1,1,0,0,5,0,1,0
Lichtenštejnsko,438,LI,LIE,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Litva,440,LT,LTU,64,19,3,13,5,4,6,3,2,19,18,0,1,1
Lucembursko,442,LU,LUX,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagaskar,450,MG,MDG,3,0,0,0,0,0,1,0,1,0,1,0,1,0
Malajsie,458,MY,MYS,8,0,0,0,0,2,0,0,0,0,0,0,0,0
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,470,MT,MLT,10,1,2,0,0,1,0,1,0,0,0,1,1,0
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mauricius,480,MU,MUS,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Mexiko,484,MX,MEX,60,8,0,1,1,0,0,3,2,0,5,1,2,2
Mongolsko,496,MN,MNG,107,13,3,12,15,41,22,16,4,13,36,8,3,12
Moldavsko,498,MD,MDA,310,152,22,58,17,40,46,28,18,26,52,25,9,17
Černá Hora,499,ME,MNE,16,4,0,3,2,2,2,1,0,0,1,2,1,0
Maroko,504,MA,MAR,38,7,0,1,1,4,2,0,0,2,6,2,4,2
Namibie,516,,NAM,2,1,0,0,0,1,0,0,0,0,0,0,1,0
Nepál,524,NP,NPL,3,1,0,3,0,0,0,0,0,0,1,0,0,0
Nizozemsko,528,NL,NLD,139,36,25,15,5,19,22,22,11,9,27,10,5,6
