Občanství,024  Q1
Afghánistán,75
Albánie,59
Antarktida,0
Alžírsko,178
Americká Samoa,0
Andorra,0
Angola,34
Antigua a Barbuda,0
Ázerbájdžán,172
Argentina,55
Austrálie,115
Rakousko,484
Bahamy,0
Bahrajn,0
Bangladéš,32
Arménie,406
Barbados,1
Belgie,172
Bermudy,0
Bhútán,0
Bolívie,14
Bosna a Hercegovina,308
Botswana,1
Bouvetův ostrov,0
Brazílie,109
Belize,0
Britské indickooceánské území,1
Šalamounovy ostrovy,0
Britské Panenské ostrovy,4
Kosovo,83
Brunej,1
Bulharsko,2028
Myanmar,7
Burundi,2
Bělorusko,993
Kambodža,7
Kamerun,30
Kanada,190
Kapverdy,0
Kajmanské ostrovy,0
Středoafrická republika,0
Šrí Lanka,27
Čad,119
Chile,61
Čína,327
Tchaj-wan,24
Vánoční ostrov,1
Kokosové (Keelingovy) ostrovy,0
Kolumbie,69
Komory,0
Mayotte,0
Konžská republika,17
Konžská demokratická republika,19
Cookovy ostrovy,0
Kostarika,9
Chorvatsko,468
Kuba,76
Kypr,32
Česko,1789125
Benin,18
Dánsko,100
Dominika,0
Dominikánská republika,15
Ekvádor,22
Salvador,5
Rovníková Guinea,0
Etiopie,16
Eritrea,1
Estonsko,52
Faerské ostrovy,0
Falklandy (Malvíny),0
Jižní Georgie a Jižní Sandwichovy ostrovy,0
Fidži,0
Finsko,91
Alandy,25
Francie,862
Francouzská Guyana,0
Francouzská Polynésie,0
Francouzská jižní a antarktická území,0
Džibutsko,0
Gabon,0
Gruzie,140
Gambie,2
Palestina,14
Německo,3348
Ghana,89
Gibraltar,0
Kiribati,0
Řecko,291
Grónsko,0
Grenada,0
Guadeloupe,0
Guam,0
Guatemala,10
Guinea,22
Guyana,1
Haiti,0
Heardův ostrov a MacDonaldovy ostrovy,0
Vatikán,0
Honduras,12
Hongkong,1
Maďarsko,1715
Island,15
Indie,285
Indonésie,27
Írán,70
Irák,84
Irsko,293
Izrael,174
Itálie,1375
Pobřeží slonoviny,16
Jamajka,2
Japonsko,110
Kazachstán,914
Jordánsko,38
Keňa,15
Korejská lidově demokratická republika,4
Korejská republika,95
Kuvajt,4
Kyrgyzstán,155
Laos,6
Libanon,68
Lesotho,0
Lotyšsko,166
Libérie,1
Libye,19
Lichtenštejnsko,2
Litva,177
Lucembursko,10
Macao,0
Madagaskar,6
Malawi,0
Malajsie,10
Maledivy,2
Mali,3
Malta,27
Martinik,0
Mauritánie,1
Mauricius,5
Mexiko,119
Monako,0
Mongolsko,413
Moldavsko,911
Černá Hora,37
Montserrat,0
Maroko,79
Mosambik,0
Omán,0
Namibie,5
Nauru,0
Nepál,16
Nizozemsko,385
Nizozemské Antily,1
Curacao,0
Aruba,0
Svatý Martin (NL),0
"Bonaire, Svatý Eustach a Saba",0
Nová Kaledonie,0
Vanuatu,0
Nový Zéland,40
Nikaragua,2
Niger,11
Nigérie,217
Niue,0
Norfolk,0
Norsko,37
Severní Mariany,0
Menší odlehlé ostrovy USA,0
Mikronésie,0
Marshallovy ostrovy,0
Palau,0
Pákistán,101
Panama,6
Papua Nová Guinea,0
Paraguay,1
Peru,63
Filipíny,117
Pitcairn,0
Polsko,2968
Portugalsko,170
Guinea-Bissau,3
Východní Timor,0
Portoriko,0
Katar,1
Réunion,0
Rumunsko,3144
Rusko,5218
Rwanda,1
Svatý Bartoloměj,0
"Svatá Helena, Ascension a Tristan da Cunha",0
Svatý Kryštof a Nevis,1
Anguilla,0
Svatá Lucie,1
Svatý Martin (FR),0
Saint Pierre a Miquelon,0
Svatý Vincenc a Grenadiny,0
San Marino,0
Svatý Tomáš a Princův ostrov,1
Saúdská Arábie,1
Senegal,21
Srbsko,364
Seychely,0
Sierra Leone,3
Singapur,8
Slovensko,24556
Vietnam,20890
Slovinsko,99
Somálsko,2
Jižní Afrika,67
Zimbabwe,11
Španělsko,594
Jižní Súdán,0
Súdán,8
Západní Sahara,0
Surinam,2
Špicberky a Jan Mayen,0
Svazijsko,0
Švédsko,243
Švýcarsko,86
Sýrie,217
Tádžikistán,36
Thajsko,260
Togo,3
Tokelau,0
Tonga,1
Trinidad a Tobago,1
Spojené arabské emiráty,2
Tunisko,257
Turecko,378
Turkmenistán,12
Turks a Caicos,0
Tuvalu,0
Uganda,9
Ukrajina,33570
Severní Makedonie,350
Egypt,192
Velká Británie a Severní Irsko,1675
Guernsey,1
Jersey,0
Man,0
Tanzanie,5
Spojené státy,1796
Americké Panenské ostrovy,0
Burkina Faso,2
Uruguay,4
Uzbekistán,746
Venezuela,36
Wallis a Futuna,0
Samoa,0
Jemen,33
Srbsko a Černá Hora,309
Zambie,5
