Občanství,020  Q1
Afghánistán,54
Albánie,47
Alžírsko,168
Angola,37
Ázerbájdžán,91
Argentina,36
Austrálie,107
Rakousko,503
Bangladéš,10
Arménie,354
Belgie,146
Bolívie,14
Bosna a Hercegovina,281
Brazílie,84
Britské Panenské ostrovy,5
Kosovo,52
Bulharsko,1848
Myanmar,6
Bělorusko,693
Kambodža,5
Kamerun,23
Kanada,176
Kapverdy,1
Šrí Lanka,16
Čad,87
Chile,37
Čína,285
Tchaj-wan,21
Vánoční ostrov,1
Kolumbie,41
Konžská republika,16
Demokratická republika Kongo,17
Kostarika,8
Chorvatsko,417
Kuba,58
Kypr,21
Česko,1962123
Benin,18
Dánsko,82
Dominikánská republika,9
Ekvádor,13
Salvador,2
Etiopie,14
Eritrea,1
Estonsko,33
Finsko,65
Alandy,35
Francie,677
Gabon,1
Gruzie,109
Gambie,2
Palestina,10
Německo,3062
Ghana,52
Řecko,256
Guatemala,7
Guinea,22
Guyana,1
Honduras,9
Hongkong,4
Maďarsko,1087
Island,10
Indie,139
Indonésie,9
Írán,36
Irák,67
Irsko,219
Izrael,99
Itálie,1118
Pobřeží slonoviny,15
Jamajka,1
Japonsko,80
Kazachstán,631
Jordánsko,41
Keňa,11
Korejská lidově demokratická republika,3
Korejská republika,92
Kuvajt,3
Kyrgyzstán,88
Laos,5
Libanon,46
Lotyšsko,119
Libérie,1
Libye,17
Lichtenštejnsko,2
Litva,154
Lucembursko,6
Madagaskar,7
Malajsie,12
Mali,2
Malta,16
Mauritánie,1
Mauricius,3
Mexiko,77
Mongolsko,275
Moldavsko,758
Černá Hora,32
Maroko,64
Namibie,4
Nepál,7
Nizozemsko,335
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,33
Niger,14
Nigérie,169
Norsko,30
Pákistán,78
Panama,4
Paraguay,3
Peru,49
Filipíny,54
Polsko,2672
Portugalsko,105
Guinea-Bissau,2
Katar,1
Rumunsko,2116
Rusko,3527
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,2
Saúdská Arábie,1
Senegal,18
Srbsko,246
Sierra Leone,4
Singapur,3
Slovensko,19381
Vietnam,20662
Slovinsko,81
Somálsko,2
Jižní Afrika,59
Zimbabwe,3
Španělsko,456
Súdán,7
Surinam,2
Švédsko,175
Švýcarsko,77
Sýrie,184
Tádžikistán,13
Thajsko,155
Togo,2
Trinidad a Tobago,2
Spojené arabské emiráty,1
Tunisko,174
Turecko,196
Turkmenistán,8
Uganda,4
Ukrajina,23220
Severní Makedonie,333
Egypt,122
Velká Británie,1925
Guernsey,1
Tanzanie,4
Spojené státy,1735
Burkina Faso,2
Uruguay,4
Uzbekistán,355
Venezuela,34
Jemen,26
Srbsko a Černá Hora,392
Zambie,5
