Občanství,Kód,Kód zn.,Kód zn..1,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet,Rok,Q
Hongkong,344,HK,HKG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,2
Maďarsko,348,HU,HUN,310,52,14,53,17,28,15,37,21,12,81,14,23,6,683,2017,2
Island,352,IS,ISL,9,1,0,0,1,0,0,0,0,0,0,0,0,0,11,2017,2
Indie,356,IN,IND,76,6,1,0,3,4,2,1,1,0,9,2,6,1,112,2017,2
Indonésie,360,ID,IDN,4,1,0,0,0,0,1,0,1,0,0,0,1,0,8,2017,2
Írán,364,IR,IRN,10,3,1,4,0,0,4,1,0,0,1,2,0,1,27,2017,2
Irák,368,IQ,IRQ,25,9,1,1,1,7,1,1,2,0,8,0,3,0,59,2017,2
Irsko,372,IE,IRL,121,15,6,12,3,3,0,3,3,3,9,3,5,3,189,2017,2
Izrael,376,IL,ISR,56,11,1,0,3,4,1,3,1,0,5,1,1,1,88,2017,2
Itálie,380,IT,ITA,527,66,24,26,18,43,11,8,14,5,85,32,46,40,945,2017,2
Pobřeží slonoviny,384,CI,CIV,11,1,0,0,1,1,1,0,0,0,0,0,0,0,15,2017,2
Jamajka,388,JM,JAM,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2017,2
Japonsko,392,JP,JPN,46,8,0,0,0,3,0,2,2,1,6,1,1,1,71,2017,2
Kazachstán,398,KZ,KAZ,330,86,2,4,27,47,9,7,2,4,8,8,3,1,538,2017,2
Jordánsko,400,JO,JOR,14,4,0,0,2,3,1,0,2,0,2,0,1,1,30,2017,2
Keňa,404,KE,KEN,2,1,0,0,0,2,1,1,0,0,1,0,2,0,10,2017,2
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2017,2
Korejská republika,410,KR,KOR,38,1,1,2,0,0,0,0,0,1,1,1,7,0,52,2017,2
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2017,2
Kyrgyzstán,417,KG,KGZ,38,6,1,1,18,5,1,0,0,0,2,1,0,1,74,2017,2
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0,5,2017,2
Libanon,422,LB,LBN,17,2,1,2,1,6,2,1,4,1,0,2,1,0,40,2017,2
Lotyšsko,428,LV,LVA,51,8,10,5,1,4,1,1,0,8,3,0,1,1,94,2017,2
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2017,2
Libye,434,LY,LBY,8,1,0,0,0,0,0,1,0,0,5,0,1,0,16,2017,2
Litva,440,LT,LTU,54,16,4,11,3,3,4,3,2,18,15,0,1,1,135,2017,2
Lucembursko,442,LU,LUX,5,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2017,2
