Občanství,2020 Q4
Afghánistán,54
Albánie,47
Alžírsko,168
Angola,36
Ázerbájdžán,95
Argentina,37
Austrálie,112
Rakousko,503
Bangladéš,14
Arménie,360
Belgie,148
Bolívie,14
Bosna a Hercegovina,288
Brazílie,89
Britské Panenské ostrovy,5
Kosovo,55
Bulharsko,1898
Myanmar,6
Bělorusko,723
Kambodža,5
Kamerun,24
Kanada,179
Kapverdy,1
Šrí Lanka,17
Čad,93
Chile,41
Čína,276
Tchaj-wan,20
Vánoční ostrov,1
Kolumbie,43
Konžská republika,16
Demokratická republika Kongo,17
Kostarika,8
Chorvatsko,435
Kuba,64
Kypr,21
Česko,1978207
Benin,18
Dánsko,83
Dominikánská republika,10
Ekvádor,15
Salvador,2
Etiopie,13
Eritrea,1
Estonsko,32
Finsko,73
Alandy,33
Francie,727
Gabon,1
Gruzie,115
Gambie,2
Palestina,11
Německo,3075
Ghana,50
Řecko,268
Guatemala,7
Guinea,19
Guyana,1
Honduras,10
Hongkong,4
Maďarsko,1206
Island,10
Indie,158
Indonésie,17
Írán,41
Irák,69
Irsko,233
Izrael,116
Itálie,1147
Pobřeží slonoviny,15
Jamajka,2
Japonsko,84
Kazachstán,668
Jordánsko,44
Keňa,10
Korejská lidově demokratická republika,3
Korejská republika,92
Kuvajt,3
Kyrgyzstán,93
Laos,5
Libanon,50
Lotyšsko,134
Libérie,1
Libye,18
Lichtenštejnsko,3
Litva,156
Lucembursko,6
Madagaskar,7
Malajsie,10
Mali,2
Malta,17
Mauritánie,1
Mauricius,4
Mexiko,76
Mongolsko,292
Moldavsko,806
Černá Hora,34
Maroko,67
Namibie,4
Nepál,8
Nizozemsko,346
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,35
Niger,12
Nigérie,172
Norsko,32
Pákistán,83
Panama,5
Paraguay,3
Peru,52
Filipíny,62
Polsko,2742
Portugalsko,109
Guinea-Bissau,2
Katar,1
Rumunsko,2298
Rusko,3764
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,1
Saúdská Arábie,1
Senegal,19
Srbsko,258
Sierra Leone,4
Singapur,4
Slovensko,20253
Vietnam,20505
Slovinsko,84
Somálsko,2
Jižní Afrika,65
Zimbabwe,4
Španělsko,481
Súdán,7
Surinam,2
Švédsko,198
Švýcarsko,78
Sýrie,193
Tádžikistán,13
Thajsko,174
Togo,2
Tonga,1
Trinidad a Tobago,2
Spojené arabské emiráty,1
Tunisko,190
Turecko,225
Turkmenistán,6
Uganda,5
Ukrajina,24155
Severní Makedonie,343
Egypt,128
Velká Británie,1967
Guernsey,1
Tanzanie,5
Spojené státy,1685
Burkina Faso,2
Uruguay,4
Uzbekistán,375
Venezuela,34
Jemen,26
Srbsko a Černá Hora,379
Zambie,4
