Počty podnikatelů dle občanství podnikajících v České republice,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
Období:,stav k 31. 12. 2016,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet
Island,352,IS,ISL,8,1,0,0,0,0,0,0,0,0,0,0,0,0,9
Indie,356,IN,IND,66,7,0,2,3,3,2,1,1,0,8,0,6,1,100
Indonésie,360,ID,IDN,2,0,0,0,0,1,1,0,1,0,0,0,0,0,5
Írán,364,IR,IRN,13,3,1,3,0,0,3,1,0,0,1,2,0,1,28
Irák,368,IQ,IRQ,23,9,1,1,1,8,1,1,0,0,8,0,3,0,56
Irsko,372,IE,IRL,112,13,6,12,3,3,0,4,3,2,9,3,6,2,178
Izrael,376,IL,ISR,51,9,0,2,4,4,1,3,1,0,4,0,1,1,81
Itálie,380,IT,ITA,451,64,20,27,21,43,11,9,14,5,81,31,57,39,873
Pobřeží slonoviny,384,CI,CIV,9,1,0,0,1,1,1,0,0,0,0,1,0,0,14
Jamajka,388,JM,JAM,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
Japonsko,392,JP,JPN,50,6,0,0,0,2,0,2,2,1,6,1,1,1,72
Kazachstán,398,KZ,KAZ,330,87,3,5,24,42,10,6,2,4,7,7,3,1,531
Jordánsko,400,JO,JOR,14,5,0,0,1,3,1,0,2,0,2,0,1,1,30
Keňa,404,KE,KEN,2,0,0,0,0,2,0,1,0,0,0,0,2,0,7
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Korejská republika,410,KR,KOR,36,1,1,1,0,0,0,0,0,0,2,1,10,0,52
Kuvajt,414,KW,KWT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Kyrgyzstán,417,KG,KGZ,35,5,1,1,16,4,1,0,0,0,3,1,0,1,68
Laos,418,LA,LAO,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4
Libanon,422,LB,LBN,19,1,1,2,1,6,2,1,3,1,0,2,0,0,39
Lotyšsko,428,LV,LVA,41,8,11,5,2,4,1,1,0,8,20,0,1,1,103
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Libye,434,LY,LBY,8,1,0,0,0,0,0,1,0,0,5,0,1,0,16
Litva,440,LT,LTU,45,14,4,9,3,3,4,3,2,23,16,0,1,1,128
Lucembursko,442,LU,LUX,5,1,0,0,0,1,0,0,0,0,0,0,0,0,7
Madagaskar,450,MG,MDG,3,0,0,0,0,0,1,0,1,0,1,0,1,0,7
Malajsie,458,MY,MYS,5,0,0,0,0,1,0,1,0,0,0,0,0,0,7
Mali,466,ML,MLI,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Malta,470,MT,MLT,4,1,1,0,0,1,0,1,0,0,0,0,1,0,9
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mauricius,480,MU,MUS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexiko,484,MX,MEX,41,2,1,2,1,0,0,2,2,0,3,1,2,0,57
Monako,492,MC,MCO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mongolsko,496,MN,MNG,65,10,1,12,12,11,11,13,2,9,40,10,3,12,211
Moldavsko,498,MD,MDA,248,113,21,57,15,39,36,22,11,27,52,28,7,14,690
Černá Hora,499,ME,MNE,13,2,0,2,3,2,1,1,0,0,2,2,1,0,29
Maroko,504,MA,MAR,33,7,0,0,0,2,2,0,0,0,1,1,2,1,49
Namibie,516,,NAM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Nepál,524,NP,NPL,3,1,0,4,0,3,0,1,0,0,3,0,0,0,15
Nizozemsko,528,NL,NLD,93,29,24,12,6,18,19,14,7,7,22,9,4,8,272
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Curacao,531,CW,CUW,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Nový Zéland,554,NZ,NZL,13,3,0,0,0,2,3,1,0,0,2,0,1,1,26
Niger,562,NE,NER,11,2,0,0,0,0,0,0,0,0,1,0,0,0,14
Nigérie,566,NG,NGA,111,6,1,0,2,12,1,1,1,0,3,0,2,1,141
Norsko,578,NO,NOR,11,3,2,0,0,1,2,0,0,0,0,0,0,1,20
Pákistán,586,PK,PAK,41,10,0,5,0,5,0,2,0,1,3,1,1,0,69
Panama,591,PA,PAN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Paraguay,600,PY,PRY,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Peru,604,PE,PER,15,10,0,0,0,5,0,1,0,0,8,1,2,1,43
Filipíny,608,PH,PHL,26,2,0,1,0,6,0,0,0,0,0,0,0,1,36
Polsko,616,PL,POL,365,169,40,53,30,117,139,274,64,23,114,129,718,33,2268
Portugalsko,620,PT,PRT,37,6,0,3,2,1,2,1,1,1,6,1,5,0,66
Guinea-Bissau,624,GW,GNB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Portoriko,630,PR,PRI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rumunsko,642,RO,ROU,471,126,32,198,28,75,21,33,46,17,113,39,14,41,1254
Rusko,643,RU,RUS,1717,332,19,40,185,124,39,20,18,15,96,31,45,19,2700
Rwanda,646,RW,RWA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Svatý Kryštof a Nevis,659,KN,KNA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
