Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 022  Q3,Středočeský kraj 022  Q3,Jihočeský kraj 022  Q3,Plzeňský kraj 022  Q3,Karlovarský kraj 022  Q3,Ústecký kraj 022  Q3,Liberecký kraj 022  Q3,Královéhradecký kraj 022  Q3,Pardubický kraj 022  Q3,Kraj Vysočina 022  Q3,Jihomoravský kraj 022  Q3,Olomoucký kraj 022  Q3,Moravskoslezský kraj 022  Q3,Zlínský kraj 022  Q3
Afghánistán,004,AF,AFG,24,6,0,0,2,7,2,0,0,3,11,4,5,0
Albánie,008,AL,ALB,21,7,2,1,1,6,1,1,1,2,2,0,4,4
Alžírsko,012,DZ,DZA,106,25,3,1,1,12,3,0,1,0,9,2,6,3
Angola,024,AO,AGO,14,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,103,9,3,1,4,4,0,1,1,1,1,3,1,0
Argentina,032,AR,ARG,27,4,2,0,0,1,0,1,1,0,7,1,0,0
Austrálie,036,AU,AUS,60,5,5,6,0,4,6,4,6,0,7,3,3,2
Rakousko,040,AT,AUT,143,19,90,5,20,32,7,4,5,9,123,14,8,22
Bangladéš,050,BD,BGD,12,1,0,1,2,0,0,0,0,0,0,0,3,1
Arménie,051,AM,ARM,174,40,2,4,6,28,8,4,5,20,68,2,11,2
Barbados,052,BB,BRB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgie,056,BE,BEL,78,31,7,5,3,7,4,7,2,2,9,1,3,2
Bolívie,068,BO,BOL,9,1,0,1,0,1,1,0,0,0,0,0,0,0
Bosna a Hercegovina,070,BA,BIH,144,40,5,2,5,16,11,6,4,0,44,8,9,3
Brazílie,076,BR,BRA,73,5,1,2,1,3,1,1,0,0,7,0,4,1
Britské Panenské ostrovy,092,VG,VGB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,16,10,2,3,6,5,0,3,3,4,8,4,6,0
Bulharsko,100,BG,BGR,880,284,57,128,47,138,56,34,31,25,131,86,77,29
Myanmar,104,MM,MMR,2,3,0,0,0,0,0,0,1,0,1,0,0,0
Burundi,108,BI,BDI,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bělorusko,112,BY,BLR,462,106,15,37,33,31,12,15,23,16,48,16,22,13
Kambodža,116,KH,KHM,3,1,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,19,3,1,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,119,11,8,3,2,1,3,4,6,0,5,3,7,6
