Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 022  Q2,Středočeský kraj 022  Q2,Jihočeský kraj 022  Q2,Plzeňský kraj 022  Q2,Karlovarský kraj 022  Q2,Ústecký kraj 022  Q2,Liberecký kraj 022  Q2,Královéhradecký kraj 022  Q2,Pardubický kraj 022  Q2,Kraj Vysočina 022  Q2,Jihomoravský kraj 022  Q2,Olomoucký kraj 022  Q2,Moravskoslezský kraj 022  Q2,Zlínský kraj 022  Q2
Afghánistán,004,AF,AFG,23,7,0,0,2,6,2,0,0,3,11,4,4,0
Albánie,008,AL,ALB,22,7,2,1,1,5,1,1,1,2,3,0,3,4
Alžírsko,012,DZ,DZA,108,24,3,0,1,13,3,0,1,0,10,2,6,3
Angola,024,AO,AGO,14,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,102,9,2,1,4,4,0,1,1,1,2,3,1,0
Argentina,032,AR,ARG,29,4,2,0,0,1,0,1,1,0,7,1,0,0
Austrálie,036,AU,AUS,59,5,5,5,0,4,5,4,6,0,7,3,4,3
Rakousko,040,AT,AUT,141,19,96,4,20,32,7,5,5,9,123,14,8,22
Bangladéš,050,BD,BGD,12,1,0,1,2,0,0,0,0,0,0,0,3,1
Arménie,051,AM,ARM,168,36,2,5,7,28,8,4,5,20,68,2,11,2
Barbados,052,BB,BRB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgie,056,BE,BEL,77,30,7,5,3,6,5,7,2,2,9,1,3,2
Bolívie,068,BO,BOL,9,1,0,1,0,1,1,0,0,0,0,0,0,0
Bosna a Hercegovina,070,BA,BIH,143,38,5,2,5,16,11,6,4,0,45,8,9,3
Brazílie,076,BR,BRA,75,7,1,2,1,3,1,2,0,0,7,0,4,0
Britské Panenské ostrovy,092,VG,VGB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,19,10,2,3,6,5,0,3,3,4,6,3,6,0
Bulharsko,100,BG,BGR,876,285,57,121,45,136,55,34,30,26,133,86,76,29
Myanmar,104,MM,MMR,3,3,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,467,108,14,37,31,35,11,16,23,16,46,16,20,12
Kambodža,116,KH,KHM,3,1,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,18,3,1,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,121,11,9,3,2,1,3,4,6,0,4,3,7,6
Kapverdy,132,CV,CPV,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Šrí Lanka,144,LK,LKA,15,2,0,1,0,0,0,0,0,2,1,0,0,4
Čad,148,TD,TCD,28,11,4,10,3,6,4,12,2,3,16,5,4,1
Chile,152,CL,CHL,29,5,0,1,0,1,0,0,2,0,2,1,1,3
Čína,156,CN,CHN,194,36,5,4,3,21,0,2,4,4,10,5,9,2
Tchaj-wan,158,TW,TWN,19,0,1,1,0,0,1,0,0,0,0,0,0,1
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,42,5,0,1,0,1,0,1,1,0,2,1,2,1
Konžská republika,178,CG,COG,11,1,1,1,0,2,0,0,0,0,0,1,0,0
Konžská demokratická republika,180,CD,COD,7,3,0,1,0,2,0,1,1,0,1,1,1,0
Kostarika,188,CR,CRI,6,3,0,0,0,0,0,0,0,0,1,0,0,0
Chorvatsko,191,HR,HRV,250,40,9,15,15,19,7,3,7,4,37,16,27,13
Kuba,192,CU,CUB,35,10,2,2,1,7,1,2,1,0,4,3,2,2
Kypr,196,CY,CYP,21,2,1,0,0,1,0,0,0,1,0,0,1,1
Česko,203,CZ,CZE,320643,272123,124759,106359,49839,128753,87712,107597,93005,89402,223544,109876,190770,110092
Benin,204,BJ,BEN,13,1,0,0,0,2,2,0,0,0,0,1,0,0
Dánsko,208,DK,DNK,57,9,2,1,0,3,7,0,0,1,3,0,5,1
Dominikánská republika,214,DO,DOM,7,2,1,0,0,0,1,1,0,0,0,0,0,0
Ekvádor,218,EC,ECU,7,4,0,1,0,0,0,1,1,0,3,1,1,0
Salvador,222,SV,SLV,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Etiopie,231,ET,ETH,16,2,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonsko,233,EE,EST,25,4,0,0,1,3,0,1,0,0,4,0,0,0
Finsko,246,FI,FIN,56,5,1,1,0,1,0,1,1,1,5,1,1,0
Alandy,248,AX,ALA,8,4,1,0,3,4,1,2,0,0,5,0,3,0
Francie,250,FR,FRA,562,60,18,23,7,8,5,7,12,9,37,12,20,10
Gruzie,268,GE,GEO,89,11,2,2,4,3,1,0,1,4,4,1,2,1
Gambie,270,GM,GMB,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Palestina,275,PS,PSE,5,3,0,0,0,2,1,0,0,0,0,1,0,0
Německo,276,DE,DEU,608,232,92,262,260,1250,72,48,32,28,110,67,55,21
Ghana,288,GH,GHA,44,4,0,1,0,7,2,1,5,0,5,1,0,1
Řecko,300,GR,GRC,136,16,3,3,6,8,6,3,4,3,33,20,39,1
Guatemala,320,GT,GTM,6,2,0,0,0,0,0,0,0,1,0,0,0,0
Guinea,324,GN,GIN,16,3,0,0,0,0,0,0,0,0,2,0,1,0
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,340,HN,HND,11,0,0,0,0,0,0,0,1,0,0,0,0,0
Maďarsko,348,HU,HUN,688,144,23,139,37,53,38,34,45,23,131,32,27,10
Island,352,IS,ISL,12,1,0,0,1,0,0,0,0,0,0,0,0,0
Indie,356,IN,IND,170,12,1,2,4,5,3,1,2,2,23,3,10,2
Indonésie,360,ID,IDN,10,1,0,0,0,0,0,1,1,0,2,1,4,0
Írán,364,IR,IRN,31,7,1,3,1,0,1,2,0,1,2,2,3,1
Irák,368,IQ,IRQ,29,7,0,2,1,8,1,1,4,1,14,0,3,1
Irsko,372,IE,IRL,173,19,8,6,4,6,6,1,3,4,18,3,7,6
Izrael,376,IL,ISR,85,22,1,1,2,6,0,5,1,0,7,2,3,1
Itálie,380,IT,ITA,768,102,22,33,17,45,12,12,14,5,93,30,55,40
Pobřeží slonoviny,384,CI,CIV,10,2,0,0,1,2,0,0,0,0,0,0,0,0
Jamajka,388,JM,JAM,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Japonsko,392,JP,JPN,70,9,0,0,0,2,1,2,2,0,5,1,2,0
Kazachstán,398,KZ,KAZ,482,116,3,3,31,65,9,7,3,3,27,8,4,3
Jordánsko,400,JO,JOR,25,4,0,0,2,4,0,0,3,0,3,0,2,1
Keňa,404,KE,KEN,4,1,0,0,1,2,0,0,0,0,1,0,1,1
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Korejská republika,410,KR,KOR,72,2,1,2,1,0,1,0,0,1,2,0,7,0
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Kyrgyzstán,417,KG,KGZ,73,15,0,1,18,5,1,0,0,0,1,1,0,1
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0
Libanon,422,LB,LBN,28,6,0,2,1,6,2,3,1,1,0,4,1,2
Lotyšsko,428,LV,LVA,80,21,10,7,3,5,0,1,0,10,6,1,1,3
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Libye,434,LY,LBY,11,1,0,0,0,0,1,1,0,0,5,0,2,0
Lichtenštejnsko,438,LI,LIE,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Litva,440,LT,LTU,72,21,5,13,4,5,6,3,2,17,20,1,1,0
Lucembursko,442,LU,LUX,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagaskar,450,MG,MDG,3,0,0,0,0,0,0,0,1,0,1,0,1,0
Malajsie,458,MY,MYS,5,0,0,0,0,2,0,0,0,0,0,0,0,0
Maledivy,462,MV,MDV,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,470,MT,MLT,11,1,2,0,0,1,0,1,0,0,0,1,1,0
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mauricius,480,MU,MUS,2,1,0,0,0,0,0,0,0,0,1,0,0,0
Mexiko,484,MX,MEX,62,14,2,1,0,0,0,4,3,0,6,1,2,3
Mongolsko,496,MN,MNG,107,18,3,17,14,53,32,18,6,16,36,9,3,14
Moldavsko,498,MD,MDA,313,170,23,60,16,45,48,31,17,25,54,27,7,18
Černá Hora,499,ME,MNE,18,6,0,3,2,2,1,1,0,0,1,2,1,0
Maroko,504,MA,MAR,38,7,0,1,0,6,3,1,0,1,5,1,4,2
Namibie,516,,NAM,3,1,0,0,0,0,0,0,0,0,0,0,1,0
Nepál,524,NP,NPL,5,1,0,3,0,0,0,0,0,0,1,0,0,0
Nizozemsko,528,NL,NLD,149,39,24,15,5,19,19,21,11,8,29,10,5,8
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nový Zéland,554,NZ,NZL,19,5,0,0,0,1,1,1,1,0,4,1,1,2
Niger,562,NE,NER,8,2,0,0,0,0,0,0,0,0,1,0,0,0
Nigérie,566,NG,NGA,156,13,0,0,0,11,1,1,2,0,6,0,1,1
Norsko,578,NO,NOR,17,3,1,0,0,3,2,1,0,0,2,1,1,2
Pákistán,586,PK,PAK,62,10,1,5,1,5,1,1,0,1,4,1,3,0
Panama,591,PA,PAN,6,2,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,600,PY,PRY,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,604,PE,PER,18,13,1,1,0,6,0,2,0,0,8,1,2,0
Filipíny,608,PH,PHL,50,6,2,1,1,6,0,2,0,1,2,2,4,3
Polsko,616,PL,POL,604,200,48,64,41,122,148,305,75,27,140,165,1017,42
Portugalsko,620,PT,PRT,92,9,2,7,2,3,4,2,0,2,14,1,11,2
Guinea-Bissau,624,GW,GNB,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rumunsko,642,RO,ROU,1140,316,84,359,49,180,70,53,67,21,180,76,20,71
Rusko,643,RU,RUS,2978,559,30,55,228,169,42,30,26,14,182,51,58,29
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Tomáš a Princův ostrov,678,ST,STP,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Senegal,686,SN,SEN,16,5,0,0,0,1,0,0,0,0,0,0,0,0
Srbsko,688,RS,SRB,169,34,3,7,14,19,5,4,0,5,27,5,6,7
Sierra Leone,694,SL,SLE,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapur,702,SG,SGP,2,0,0,1,0,1,0,0,0,0,0,0,0,0
Slovensko,703,SK,SVK,8886,2880,582,793,294,714,483,465,502,345,3275,599,1554,952
Vietnam,704,VN,VNM,4364,1904,898,2171,2742,3313,677,524,511,370,1325,537,1062,292
Slovinsko,705,SI,SVN,47,8,4,2,2,2,0,2,2,0,10,1,7,1
Somálsko,706,SO,SOM,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Jižní Afrika,710,ZA,ZAF,30,8,3,0,2,2,1,1,0,0,8,4,1,2
Zimbabwe,716,ZW,ZWE,5,1,0,0,0,0,0,0,1,0,0,0,0,0
Španělsko,724,ES,ESP,378,24,9,6,4,8,7,6,7,2,38,9,11,4
Súdán,729,SD,SDN,4,0,0,1,0,1,0,0,0,0,0,0,0,0
