Občanství,023  Q4
Afghánistán,71
Albánie,59
Alžírsko,178
Angola,34
Ázerbájdžán,168
Argentina,50
Austrálie,114
Rakousko,486
Bangladéš,27
Arménie,406
Barbados,1
Belgie,175
Bolívie,14
Bosna a Hercegovina,300
Botswana,1
Brazílie,105
Britské indickooceánské území,1
Britské Panenské ostrovy,4
Kosovo,82
Brunej,1
Bulharsko,2008
Myanmar,6
Burundi,1
Bělorusko,953
Kambodža,6
Kamerun,29
Kanada,187
Šrí Lanka,27
Čad,119
Chile,59
Čína,324
Tchaj-wan,23
Vánoční ostrov,1
Kolumbie,66
Konžská republika,17
Konžská demokratická republika,18
Kostarika,8
Chorvatsko,465
Kuba,75
Kypr,31
Česko,1788261
Benin,19
Dánsko,99
Dominikánská republika,14
Ekvádor,21
Salvador,4
Etiopie,16
Eritrea,1
Estonsko,49
Finsko,90
Alandy,25
Francie,841
Gruzie,140
Gambie,2
Palestina,13
Německo,3298
Ghana,83
Řecko,288
Guatemala,9
Guinea,21
Guyana,1
Honduras,12
Hongkong,1
Maďarsko,1639
Island,14
Indie,270
Indonésie,27
Írán,64
Irák,82
Irsko,290
Izrael,167
Itálie,1330
Pobřeží slonoviny,16
Jamajka,2
Japonsko,109
Kazachstán,889
Jordánsko,40
Keňa,15
Korejská lidově demokratická republika,4
Korejská republika,96
Kuvajt,4
Kyrgyzstán,152
Laos,6
Libanon,68
Lotyšsko,162
Libérie,1
Libye,19
Lichtenštejnsko,2
Litva,177
Lucembursko,10
Madagaskar,6
Malajsie,10
Maledivy,3
Mali,3
Malta,25
Mauritánie,1
Mauricius,5
Mexiko,114
Mongolsko,407
Moldavsko,905
Černá Hora,35
Maroko,77
Namibie,5
Nepál,15
Nizozemsko,380
Nizozemské Antily,1
Vanuatu,1
Nový Zéland,38
Nikaragua,2
Niger,11
Nigérie,214
Norsko,35
Pákistán,98
Panama,6
Paraguay,1
Peru,59
Filipíny,113
Polsko,2948
Portugalsko,167
Guinea-Bissau,3
Katar,1
Rumunsko,3044
Rusko,5118
Rwanda,1
Svatý Kryštof a Nevis,1
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,1
Saúdská Arábie,1
Senegal,21
Srbsko,352
Sierra Leone,3
Singapur,8
Slovensko,24058
Vietnam,20812
Slovinsko,97
Somálsko,2
Jižní Afrika,65
Zimbabwe,9
Španělsko,583
Súdán,7
Surinam,2
Švédsko,240
Švýcarsko,85
Sýrie,216
Tádžikistán,33
Thajsko,253
Togo,3
Tonga,1
Trinidad a Tobago,1
Spojené arabské emiráty,2
Tunisko,257
Turecko,357
Turkmenistán,11
Uganda,8
Ukrajina,34497
Severní Makedonie,355
Egypt,183
Velká Británie a Severní Irsko,1676
Guernsey,1
Tanzanie,5
Spojené státy,1805
Burkina Faso,2
Uruguay,4
Uzbekistán,729
Venezuela,32
Jemen,32
Srbsko a Černá Hora,314
Zambie,4
