Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2024 Q4,Středočeský kraj 2024 Q4,Jihočeský kraj 2024 Q4,Plzeňský kraj 2024 Q4,Karlovarský kraj 2024 Q4,Ústecký kraj 2024 Q4,Liberecký kraj 2024 Q4,Královéhradecký kraj 2024 Q4,Pardubický kraj 2024 Q4,Kraj Vysočina 2024 Q4,Jihomoravský kraj 2024 Q4,Olomoucký kraj 2024 Q4,Moravskoslezský kraj 2024 Q4,Zlínský kraj 2024 Q4
Afghánistán,004,AF,AFG,29,16,0,2,2,7,3,0,0,3,15,3,5,0
Albánie,008,AL,ALB,24,10,1,1,1,4,2,1,2,4,4,2,3,5
Antarktida,010,AQ,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alžírsko,012,DZ,DZA,103,26,4,4,1,16,2,2,1,5,11,6,6,2
Americká Samoa,016,AS,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,020,AD,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,024,AO,AGO,10,3,1,0,0,2,3,1,1,0,7,2,1,2
Antigua a Barbuda,028,AG,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ázerbájdžán,031,AZ,AZE,161,18,2,5,5,7,0,1,4,2,7,3,3,0
Argentina,032,AR,ARG,30,7,1,0,0,2,0,1,2,0,8,1,2,0
Austrálie,036,AU,AUS,67,7,5,5,0,5,4,2,4,0,6,2,6,2
Rakousko,040,AT,AUT,145,18,80,5,26,33,6,3,5,8,118,10,7,20
Bahamy,044,BS,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrajn,048,BH,BHR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladéš,050,BD,BGD,37,4,0,1,1,0,0,0,0,0,9,0,3,0
Arménie,051,AM,ARM,211,46,2,5,4,28,7,3,3,24,69,2,11,3
Barbados,052,BB,BRB,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgie,056,BE,BEL,89,35,7,4,3,4,4,8,2,2,10,3,3,2
Bermudy,060,BM,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhútán,064,BT,BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolívie,068,BO,BOL,10,1,0,1,0,1,0,0,0,0,0,0,0,0
Bosna a Hercegovina,070,BA,BIH,152,37,5,2,6,16,13,7,5,0,42,8,10,2
Botswana,072,BW,BWA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvetův ostrov,074,BV,BVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazílie,076,BR,BRA,78,4,0,4,1,3,1,1,0,1,8,1,4,2
Belize,084,BZ,BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britské indickooceánské území,086,IO,IOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Šalomounovy ostrovy,090,SB,SLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britské Panenské ostrovy,092,VG,VGB,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,26,8,1,4,10,5,1,6,7,3,9,4,4,1
Brunej,096,BN,BRN,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulharsko,100,BG,BGR,935,294,51,132,67,135,51,34,38,22,137,84,67,26
Myanmar,104,MM,MMR,2,3,0,0,0,0,0,0,0,0,4,0,0,0
Burundi,108,BI,BDI,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Bělorusko,112,BY,BLR,636,122,20,46,32,42,14,18,24,16,62,21,26,14
