Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 021  Q2,Středočeský kraj 021  Q2,Jihočeský kraj 021  Q2,Plzeňský kraj 021  Q2,Karlovarský kraj 021  Q2,Ústecký kraj 021  Q2,Liberecký kraj 021  Q2,Královéhradecký kraj 021  Q2,Pardubický kraj 021  Q2,Kraj Vysočina 021  Q2,Jihomoravský kraj 021  Q2,Olomoucký kraj 021  Q2,Moravskoslezský kraj 021  Q2,Zlínský kraj 021  Q2
Afghánistán,004,AF,AFG,18,7,0,0,2,7,1,0,0,3,10,4,3,0
Albánie,008,AL,ALB,22,7,2,1,1,5,1,1,1,1,1,0,1,4
Alžírsko,012,DZ,DZA,107,27,3,0,1,12,3,0,1,0,9,2,4,4
Angola,024,AO,AGO,13,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,83,7,1,1,4,2,0,1,2,0,1,3,0,0
Argentina,032,AR,ARG,26,3,1,0,0,1,0,1,1,0,5,1,0,0
Austrálie,036,AU,AUS,65,6,5,3,0,4,5,4,7,0,8,2,5,3
Rakousko,040,AT,AUT,131,21,100,5,21,31,8,5,5,9,127,14,7,23
Bangladéš,050,BD,BGD,8,1,0,1,1,0,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,162,35,2,3,7,30,7,4,5,18,72,2,11,2
Barbados,052,BB,BRB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgie,056,BE,BEL,68,29,8,5,3,8,5,7,2,2,9,2,3,3
Bolívie,068,BO,BOL,10,1,0,1,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,143,36,5,2,4,15,10,6,4,0,44,8,10,3
Brazílie,076,BR,BRA,68,9,0,2,0,2,1,2,0,0,7,2,3,0
Britské Panenské ostrovy,092,VG,VGB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,15,7,1,3,6,5,0,2,4,3,5,1,6,0
Bulharsko,100,BG,BGR,846,274,60,97,39,128,54,32,31,27,133,87,80,26
Myanmar,104,MM,MMR,2,3,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,402,98,15,37,29,36,10,13,21,15,34,15,18,14
Kambodža,116,KH,KHM,2,1,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,17,3,1,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,120,12,9,2,2,1,3,4,7,0,3,3,7,6
Kapverdy,132,CV,CPV,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Šrí Lanka,144,LK,LKA,13,1,0,0,0,0,0,0,0,1,1,0,0,4
Čad,148,TD,TCD,23,9,3,10,3,6,4,11,2,3,12,5,4,2
Chile,152,CL,CHL,27,4,0,1,0,1,0,0,3,0,2,1,1,2
Čína,156,CN,CHN,185,34,5,4,3,22,1,2,3,4,8,4,9,2
Tchaj-wan,158,TW,TWN,19,0,1,1,0,1,1,0,0,0,0,0,0,0
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,37,4,0,1,0,0,0,1,1,0,1,1,2,1
Konžská republika,178,CG,COG,10,3,0,1,0,2,0,0,0,0,0,1,0,0
Demokratická republika Kongo,180,CD,COD,7,3,0,1,0,2,0,1,1,0,1,1,1,0
Kostarika,188,CR,CRI,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Chorvatsko,191,HR,HRV,231,36,9,15,15,21,7,3,6,4,35,17,26,13
Kuba,192,CU,CUB,30,10,1,1,1,7,1,2,1,0,2,3,2,2
Kypr,196,CY,CYP,18,2,1,0,0,1,0,0,0,0,0,0,1,1
Česko,203,CZ,CZE,315807,266736,123681,105461,49578,127218,89164,106750,91978,88344,220671,108594,188750,109186
Benin,204,BJ,BEN,12,1,0,0,0,2,2,0,0,0,0,1,0,0
Dánsko,208,DK,DNK,56,7,1,1,0,4,5,0,0,1,3,0,5,1
Dominikánská republika,214,DO,DOM,5,2,1,0,0,0,0,0,0,0,0,0,0,0
Ekvádor,218,EC,ECU,4,4,0,1,0,0,0,1,0,0,3,1,1,0
Salvador,222,SV,SLV,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Etiopie,231,ET,ETH,15,1,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonsko,233,EE,EST,21,3,0,0,1,2,0,1,0,0,2,0,0,1
Finsko,246,FI,FIN,57,4,0,1,0,1,0,1,0,1,5,1,1,0
Alandy,248,AX,ALA,9,4,1,0,4,4,1,2,0,0,5,0,3,0
Francie,250,FR,FRA,529,60,18,20,5,6,5,7,12,8,33,11,21,11
Gabon,266,GA,GAB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gruzie,268,GE,GEO,82,11,2,1,4,2,1,0,1,0,4,1,2,0
