Občanství,Kód,Kód zn.,Kód zn..1,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet,Rok,Q
Afghánistán,004,AF,AFG,17,7,0,0,2,7,1,0,0,1,12,3,2,0,52,2018,2
Albánie,008,AL,ALB,16,6,4,1,1,3,1,2,1,1,2,0,2,4,44,2018,2
Alžírsko,012,DZ,DZA,97,25,3,0,0,8,2,0,1,1,8,3,2,1,151,2018,2
Angola,024,AO,AGO,11,2,2,0,0,2,3,1,1,0,6,3,1,2,34,2018,2
Ázerbájdžán,031,AZ,AZE,57,4,1,1,4,4,0,1,1,0,1,4,0,0,78,2018,2
Argentina,032,AR,ARG,23,2,0,0,0,1,0,0,1,0,3,1,1,0,32,2018,2
Austrálie,036,AU,AUS,59,5,5,3,0,4,4,4,8,0,7,2,3,3,107,2018,2
Rakousko,040,AT,AUT,125,25,108,5,20,33,6,4,4,7,125,18,10,24,514,2018,2
Bangladéš,050,BD,BGD,5,1,0,1,1,1,0,0,0,0,0,0,3,0,12,2018,2
Arménie,051,AM,ARM,147,31,2,4,8,31,7,4,3,19,74,2,11,2,345,2018,2
Belgie,056,BE,BEL,63,24,7,4,3,7,5,6,1,2,6,1,2,3,134,2018,2
Bolívie,068,BO,BOL,6,2,0,0,0,1,1,0,0,0,1,0,0,0,11,2018,2
Bosna a Hercegovina,070,BA,BIH,133,35,4,1,4,16,11,7,5,0,43,7,10,1,277,2018,2
Botswana,072,BW,BWA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2018,2
Brazílie,076,BR,BRA,52,5,2,2,0,2,0,1,1,0,7,1,1,0,74,2018,2
Britské Panenské ostrovy,092,VG,VGB,5,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2018,2
Kosovo,095,XK,XXK,9,7,0,4,6,4,0,1,3,1,4,1,3,0,43,2018,2
Bulharsko,100,BG,BGR,778,242,53,75,30,118,40,24,25,43,124,80,71,27,1730,2018,2
Myanmar,104,MM,MMR,2,2,0,0,0,0,0,0,1,0,1,0,0,0,6,2018,2
Bělorusko,112,BY,BLR,325,71,14,26,29,44,10,15,19,16,28,13,18,14,642,2018,2
Kambodža,116,KH,KHM,2,1,0,0,0,0,1,0,0,0,1,0,0,0,5,2018,2
