Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2019 Q4,Středočeský kraj 2019 Q4,Jihočeský kraj 2019 Q4,Plzeňský kraj 2019 Q4,Karlovarský kraj 2019 Q4,Ústecký kraj 2019 Q4,Liberecký kraj 2019 Q4,Královéhradecký kraj 2019 Q4,Pardubický kraj 2019 Q4,Kraj Vysočina 2019 Q4,Jihomoravský kraj 2019 Q4,Olomoucký kraj 2019 Q4,Moravskoslezský kraj 2019 Q4,Zlínský kraj 2019 Q4
Afghánistán,004,AF,AFG,16,6,1,0,2,7,1,0,0,2,13,3,2,0
Albánie,008,AL,ALB,18,7,2,1,1,4,1,1,1,1,2,0,2,4
Alžírsko,012,DZ,DZA,100,28,3,0,0,10,2,0,1,1,10,3,3,2
Angola,024,AO,AGO,14,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,66,5,1,1,4,4,0,2,1,0,1,3,1,0
Argentina,032,AR,ARG,24,2,1,0,0,1,0,1,1,0,4,1,0,0
Austrálie,036,AU,AUS,58,6,5,3,1,4,4,4,7,0,6,2,3,3
Rakousko,040,AT,AUT,128,21,101,4,22,31,7,4,4,7,120,17,10,23
Bangladéš,050,BD,BGD,4,1,0,1,1,0,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,152,35,2,4,8,31,7,4,5,19,71,2,10,2
Belgie,056,BE,BEL,64,24,7,4,3,7,5,6,1,2,9,2,2,3
Bolívie,068,BO,BOL,8,2,0,1,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,133,36,5,2,4,17,10,7,4,0,43,7,10,1
Brazílie,076,BR,BRA,55,7,2,2,0,1,0,2,1,0,9,2,1,0
Britské Panenské ostrovy,092,VG,VGB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,10,7,1,3,7,5,0,1,4,1,4,1,4,0
Bulharsko,100,BG,BGR,814,251,53,87,33,127,47,27,25,46,131,84,74,27
Myanmar,104,MM,MMR,1,3,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,359,84,14,29,28,36,10,16,19,16,31,16,17,15
Kambodža,116,KH,KHM,2,1,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,17,1,0,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,119,13,8,4,2,1,3,4,7,0,4,4,8,6
Kapverdy,132,CV,CPV,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Šrí Lanka,144,LK,LKA,11,1,0,0,0,0,0,0,0,1,2,0,0,0
Čad,148,TD,TCD,19,11,2,9,1,6,4,10,2,3,11,4,4,1
Chile,152,CL,CHL,26,2,1,1,0,1,0,0,2,0,2,1,0,1
Čína,156,CN,CHN,180,31,6,4,2,24,1,2,2,5,10,4,9,2
Tchaj-wan,158,TW,TWN,17,0,1,1,1,1,0,0,0,0,0,0,0,0
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
