Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 019  Q1,Středočeský kraj 019  Q1,Jihočeský kraj 019  Q1,Plzeňský kraj 019  Q1,Karlovarský kraj 019  Q1,Ústecký kraj 019  Q1,Liberecký kraj 019  Q1,Královéhradecký kraj 019  Q1,Pardubický kraj 019  Q1,Kraj Vysočina 019  Q1,Jihomoravský kraj 019  Q1,Olomoucký kraj 019  Q1,Moravskoslezský kraj 019  Q1,Zlínský kraj 019  Q1
Afghánistán,004,AF,AFG,16,6,1,0,2,7,1,0,0,2,12,3,2,0
Albánie,008,AL,ALB,17,6,2,1,1,3,1,2,1,1,2,0,2,4
Alžírsko,012,DZ,DZA,99,26,3,0,0,9,2,0,1,1,9,3,2,1
Angola,024,AO,AGO,12,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,61,4,1,1,4,4,0,1,1,0,1,4,0,0
Argentina,032,AR,ARG,25,2,0,0,0,1,0,0,1,0,3,1,1,0
Austrálie,036,AU,AUS,60,6,5,3,0,4,4,4,8,0,7,2,3,3
Rakousko,040,AT,AUT,127,21,103,5,20,33,7,4,4,7,124,18,10,24
Bangladéš,050,BD,BGD,6,1,0,1,1,1,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,153,31,2,4,8,31,7,4,3,19,71,2,11,2
Belgie,056,BE,BEL,63,23,7,4,3,7,5,6,1,2,7,1,2,3
Bolívie,068,BO,BOL,7,2,0,0,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,130,36,4,2,4,17,10,7,4,0,43,7,10,1
Botswana,072,BW,BWA,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brazílie,076,BR,BRA,54,5,2,2,0,2,0,1,1,0,7,1,1,0
Britské Panenské ostrovy,092,VG,VGB,5,0,1,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,9,8,1,4,7,5,0,1,3,1,4,1,3,0
Bulharsko,100,BG,BGR,793,242,52,79,30,123,41,26,26,44,128,80,71,27
Myanmar,104,MM,MMR,2,2,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,331,77,15,29,28,41,10,16,20,15,27,14,17,14
Kambodža,116,KH,KHM,2,1,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,15,1,0,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,115,12,8,5,1,2,3,4,6,0,4,4,6,5
Kapverdy,132,CV,CPV,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Šrí Lanka,144,LK,LKA,11,1,0,0,0,0,0,0,0,1,2,0,0,0
Čad,148,TD,TCD,18,10,3,9,1,6,4,11,2,2,10,4,4,1
Chile,152,CL,CHL,23,1,1,1,0,1,0,0,1,0,2,1,0,1
