Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet
Šalamounovy ostrovy,090,SB,SLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britské Panenské ostrovy,092,VG,VGB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Kosovo,095,XK,XXK,25,8,1,2,10,5,1,5,6,3,9,4,5,1,85
Brunej,096,BN,BRN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bulharsko,100,BG,BGR,918,288,48,129,60,138,53,34,36,20,137,87,67,26,2041
Myanmar,104,MM,MMR,7,3,0,0,0,0,0,0,0,0,4,0,0,0,14
Burundi,108,BI,BDI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Bělorusko,112,BY,BLR,597,120,19,40,30,40,14,19,23,16,61,18,24,14,1035
Kambodža,116,KH,KHM,4,2,0,0,0,0,0,0,0,0,1,0,0,0,7
Kamerun,120,CM,CMR,21,2,1,0,0,1,2,0,0,0,1,0,0,0,28
Kanada,124,CA,CAN,120,10,9,3,3,1,3,4,7,0,11,3,8,7,189
Kapverdy,132,CV,CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kajmanské ostrovy,136,KY,CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Středoafrická republika,140,CF,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Šrí Lanka,144,LK,LKA,17,3,0,1,0,0,0,0,0,2,1,0,0,5,29
Čad,148,TD,TCD,32,16,4,9,2,7,2,13,2,3,20,2,7,1,120
Chile,152,CL,CHL,40,7,0,2,0,1,0,1,1,1,3,1,0,2,59
Čína,156,CN,CHN,223,37,5,4,2,23,2,3,4,4,15,6,10,2,340
Tchaj-wan,158,TW,TWN,18,1,1,1,0,0,1,1,0,0,0,0,0,1,24
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kokosové (Keelingovy) ostrovy,166,CC,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,49,5,0,2,0,2,1,1,1,0,3,2,3,3,72
Komory,174,KM,COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte,175,YT,MYT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konžská republika,178,CG,COG,11,1,1,1,0,2,0,0,0,0,0,1,0,0,17
Konžská demokratická republika,180,CD,COD,10,2,0,1,0,2,0,0,1,0,1,1,0,0,18
Cookovy ostrovy,184,CK,COK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kostarika,188,CR,CRI,6,2,0,0,0,0,0,0,0,0,1,0,0,1,10
Chorvatsko,191,HR,HRV,256,44,12,16,14,19,6,4,5,3,33,16,28,12,468
Kuba,192,CU,CUB,39,10,2,1,1,8,2,2,1,0,3,1,3,1,74
Kypr,196,CY,CYP,26,3,1,0,0,1,0,0,0,1,0,1,1,1,35
Česko,203,CZ,CZE,295883,248108,107250,91546,42067,112828,74669,92685,81467,77147,200808,94346,168517,94217,1781538
Benin,204,BJ,BEN,14,1,0,0,0,0,2,0,0,0,0,0,0,0,17
Dánsko,208,DK,DNK,71,9,2,1,0,3,7,0,0,1,4,0,6,1,105
Dominika,212,DM,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominikánská republika,214,DO,DOM,10,2,1,0,0,0,1,1,0,0,0,0,0,0,15
Ekvádor,218,EC,ECU,10,6,0,1,0,0,0,0,1,0,5,1,1,1,26
Salvador,222,SV,SLV,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4
Rovníková Guinea,226,GQ,GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etiopie,231,ET,ETH,14,2,0,0,0,0,0,0,0,0,1,0,0,0,17
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Estonsko,233,EE,EST,36,6,0,0,2,2,1,1,1,0,4,0,0,0,53
Faerské ostrovy,234,FO,FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falklandy (Malvíny),238,FK,FLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jižní Georgie a Jižní Sandwichovy ostrovy,239,GS,SGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fidži,242,FJ,FJI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Finsko,246,FI,FIN,63,7,1,2,2,1,0,1,1,0,9,1,2,0,90
Alandy,248,AX,ALA,6,4,1,0,1,4,1,1,0,0,4,0,3,0,25
Francie,250,FR,FRA,643,59,13,27,6,8,5,8,13,10,49,11,20,9,881
Francouzská Guyana,254,GF,GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francouzská Polynésie,258,PF,PYF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francouzská jižní a antarktická území,260,TF,ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Džibutsko,262,DJ,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,266,GA,GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gruzie,268,GE,GEO,100,18,3,1,4,3,1,1,2,4,4,1,2,1,145
Gambie,270,GM,GMB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Palestina,275,PS,PSE,7,3,0,0,0,1,1,0,0,0,2,0,0,0,14
Německo,276,DE,DEU,754,226,95,238,443,1231,56,44,29,26,100,57,50,18,3367
Ghana,288,GH,GHA,53,6,0,2,0,6,1,2,5,0,12,1,0,1,89
Gibraltar,292,GI,GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,296,KI,KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Řecko,300,GR,GRC,148,18,5,3,5,7,5,3,4,5,35,22,31,2,293
Grónsko,304,GL,GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,308,GD,GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,312,GP,GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,316,GU,GUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,320,GT,GTM,7,4,0,0,0,0,0,0,0,0,0,0,0,0,11
Guinea,324,GN,GIN,17,5,0,0,0,0,0,0,0,0,2,0,0,0,24
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Haiti,332,HT,HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heardův ostrov a MacDonaldovy ostrovy,334,HM,HMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vatikán,336,VA,VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,340,HN,HND,11,0,0,0,0,0,0,0,1,0,0,0,0,1,13
Hongkong,344,HK,HKG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Maďarsko,348,HU,HUN,850,199,39,171,46,46,41,51,55,29,153,39,24,18,1761
Island,352,IS,ISL,13,1,0,0,1,0,0,0,0,0,0,0,0,0,15
Indie,356,IN,IND,217,18,3,3,3,5,3,1,3,3,32,3,18,2,314
Indonésie,360,ID,IDN,19,2,0,0,1,0,0,1,1,0,0,0,4,0,28
Írán,364,IR,IRN,42,7,1,2,1,0,1,3,0,1,7,3,4,1,73
Irák,368,IQ,IRQ,34,6,0,2,1,8,1,1,6,1,18,0,3,2,83
Irsko,372,IE,IRL,192,20,8,9,3,7,6,1,3,5,21,7,9,6,297
Izrael,376,IL,ISR,111,26,2,1,2,11,0,3,2,0,9,1,3,2,173
Itálie,380,IT,ITA,905,114,24,34,20,39,8,10,15,6,90,25,54,39,1383
Pobřeží slonoviny,384,CI,CIV,12,2,0,0,1,2,0,0,0,0,0,0,0,0,17
Jamajka,388,JM,JAM,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Japonsko,392,JP,JPN,81,13,0,2,0,3,1,2,2,0,8,1,2,0,115
Kazachstán,398,KZ,KAZ,654,126,3,8,27,70,10,7,5,4,45,7,5,4,975
Jordánsko,400,JO,JOR,21,2,0,0,1,4,0,0,3,0,2,0,3,1,37
Keňa,404,KE,KEN,5,4,0,1,1,2,0,0,0,0,1,0,1,1,16
Korejská lidově demokratická republika,408,KP,PRK,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Korejská republika,410,KR,KOR,79,4,1,2,1,0,0,0,0,1,2,0,10,0,100
Kuvajt,414,KW,KWT,3,1,0,0,0,0,0,1,0,0,0,0,0,0,5
Kyrgyzstán,417,KG,KGZ,111,15,1,1,21,8,3,0,0,0,6,1,0,2,169
Laos,418,LA,LAO,4,1,0,0,0,0,0,0,0,0,2,0,0,0,7
Libanon,422,LB,LBN,37,7,0,2,1,11,2,2,1,1,0,5,1,1,71
Lesotho,426,LS,LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lotyšsko,428,LV,LVA,97,22,4,8,5,5,0,1,0,13,5,1,4,3,168
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Libye,434,LY,LBY,9,2,0,0,0,0,1,0,0,0,5,0,2,0,19
Lichtenštejnsko,438,LI,LIE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Litva,440,LT,LTU,83,14,3,12,4,5,5,2,3,17,20,2,3,1,174
Lucembursko,442,LU,LUX,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Macao,446,MO,MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagaskar,450,MG,MDG,3,0,0,0,0,0,0,0,1,0,1,0,1,0,6
Malawi,454,MW,MWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malajsie,458,MY,MYS,7,0,0,0,0,2,0,1,0,0,0,0,0,0,10
Maledivy,462,MV,MDV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Mali,466,ML,MLI,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4
Malta,470,MT,MLT,20,2,2,0,0,0,0,1,0,0,0,1,1,0,27
Martinik,474,MQ,MTQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mauricius,480,MU,MUS,3,0,0,0,0,0,0,0,0,0,1,1,0,0,5
Mexiko,484,MX,MEX,78,16,4,1,0,1,0,4,3,0,11,1,4,5,128
Monako,492,MC,MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolsko,496,MN,MNG,119,24,6,16,14,86,43,19,15,17,33,11,3,19,425
Moldavsko,498,MD,MDA,322,197,29,63,17,47,48,28,15,26,68,24,7,20,911
Černá Hora,499,ME,MNE,21,4,0,2,2,3,2,1,0,0,0,2,1,0,38
Montserrat,500,MS,MSR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maroko,504,MA,MAR,42,9,1,1,0,7,3,1,0,1,6,2,4,2,79
Mosambik,508,MZ,MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omán,512,OM,OMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibie,516,,NAM,2,1,0,0,0,0,0,0,0,0,1,0,1,0,5
Nauru,520,NR,NRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepál,524,NP,NPL,7,3,0,6,0,0,0,0,0,0,3,0,0,0,19
Nizozemsko,528,NL,NLD,171,40,23,15,4,22,19,24,13,10,25,10,5,6,387
Nizozemské Antily,530,AN,ANT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Curacao,531,CW,CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,533,AW,ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Martin (NL),534,SX,SXM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonaire, Svatý Eustach a Saba",535,BQ,BES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nová Kaledonie,540,NC,NCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nový Zéland,554,NZ,NZL,21,5,0,0,0,1,1,1,1,0,5,1,1,2,39
Nikaragua,558,NI,NIC,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Niger,562,NE,NER,8,2,0,0,0,0,0,0,0,0,1,0,0,0,11
Nigérie,566,NG,NGA,167,13,2,1,0,13,3,1,2,2,12,0,5,3,224
Niue,570,NU,NIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk,574,NF,NFK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norsko,578,NO,NOR,20,2,1,0,0,3,1,1,1,1,5,0,1,2,38
Severní Mariany,580,MP,MNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menší odlehlé ostrovy USA,581,UM,UMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikronésie,583,FM,FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshallovy ostrovy,584,MH,MHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau,585,PW,PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pákistán,586,PK,PAK,67,8,1,5,3,5,1,1,0,2,6,1,3,0,103
Panama,591,PA,PAN,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6
Papua Nová Guinea,598,PG,PNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,600,PY,PRY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Peru,604,PE,PER,26,16,1,1,0,5,1,2,1,0,7,1,2,0,63
Filipíny,608,PH,PHL,77,15,4,1,2,7,0,3,0,2,6,1,6,4,128
Pitcairn,612,PN,PCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polsko,616,PL,POL,650,190,38,62,40,103,130,284,69,29,130,168,1028,39,2960
Portugalsko,620,PT,PRT,119,12,1,5,3,4,7,4,0,2,15,2,9,1,184
Guinea-Bissau,624,GW,GNB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Východní Timor,626,TL,TLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portoriko,630,PR,PRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Réunion,638,RE,REU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rumunsko,642,RO,ROU,1358,412,104,403,57,212,107,52,75,30,223,84,30,85,3232
Rusko,643,RU,RUS,3698,653,34,60,244,191,45,37,37,12,228,51,64,33,5387
Rwanda,646,RW,RWA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Svatý Bartoloměj,652,BL,BLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Svatá Helena, Ascension a Tristan da Cunha",654,SH,SHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Kryštof a Nevis,659,KN,KNA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anguilla,660,AI,AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Svatý Martin (FR),663,MF,MAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre a Miquelon,666,PM,SPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Vincenc a Grenadiny,670,VC,VCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,674,SM,SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Tomáš a Princův ostrov,678,ST,STP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Senegal,686,SN,SEN,16,4,0,0,0,1,0,0,0,0,0,0,0,0,21
Srbsko,688,RS,SRB,196,51,2,9,14,26,6,4,2,6,31,6,6,8,367
Seychely,690,SC,SYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,694,SL,SLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Singapur,702,SG,SGP,5,0,0,1,0,1,0,0,0,0,1,0,0,0,8
Slovensko,703,SK,SVK,10251,3080,583,833,295,773,500,470,525,344,3914,628,1709,1018,24923
Vietnam,704,VN,VNM,4465,2022,905,2211,2726,3261,662,538,539,364,1365,557,1054,308,20977
Slovinsko,705,SI,SVN,53,9,2,2,3,2,0,2,2,1,13,1,6,1,97
Somálsko,706,SO,SOM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Jižní Afrika,710,ZA,ZAF,35,6,1,1,2,1,1,0,1,0,9,4,1,5,67
Zimbabwe,716,ZW,ZWE,7,1,0,0,0,1,0,0,1,0,1,0,0,0,11
Španělsko,724,ES,ESP,450,24,11,8,5,8,5,6,7,1,47,13,14,5,604
Jižní Súdán,728,SS,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Súdán,729,SD,SDN,5,1,0,1,0,1,0,0,0,0,0,0,0,0,8
Západní Sahara,732,EH,ESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surinam,740,SR,SUR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Špicberky a Jan Mayen,744,SJ,SJM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svazijsko,748,SZ,SWZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Švédsko,752,SE,SWE,159,23,2,20,1,13,0,0,1,5,10,2,5,1,242
Švýcarsko,756,CH,CHE,47,6,9,3,4,5,5,2,1,2,3,0,2,0,89
Sýrie,760,SY,SYR,69,17,4,15,9,21,5,8,5,2,30,8,19,6,218
Tádžikistán,762,TJ,TJK,25,6,0,0,1,0,0,0,0,0,3,0,0,0,35
Thajsko,764,TH,THA,177,23,8,15,6,12,2,0,4,2,6,5,3,2,265
Togo,768,TG,TGO,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3
Tokelau,772,TK,TKL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,776,TO,TON,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Trinidad a Tobago,780,TT,TTO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spojené arabské emiráty,784,AE,ARE,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
Tunisko,788,TN,TUN,114,40,2,9,8,18,7,8,3,1,17,9,19,6,261
Turecko,792,TR,TUR,213,33,10,12,5,19,12,13,9,3,28,11,16,10,394
Turkmenistán,795,TM,TKM,12,0,0,0,0,1,0,0,0,0,0,0,0,0,13
Turks a Caicos,796,TC,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,798,TV,TUV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,800,UG,UGA,3,2,1,0,0,1,0,2,0,0,0,0,0,0,9
Ukrajina,804,UA,UKR,17523,5882,988,2068,932,1755,1034,1287,1491,863,2596,656,664,405,38144
Severní Makedonie,807,MK,MKD,141,27,13,9,2,54,4,8,8,3,27,20,34,9,359
Egypt,818,EG,EGY,76,16,2,3,5,13,5,5,13,2,22,6,20,4,192
Velká Británie a Severní Irsko,826,GB,GBR,923,220,46,31,12,38,36,32,43,17,135,39,69,49,1690
Guernsey,831,GG,GGY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Jersey,832,JE,JEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man,833,IM,IMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzanie,834,TZ,TZA,3,0,0,0,0,0,0,0,0,0,1,0,1,0,5
Spojené státy,840,US,USA,1308,124,43,32,10,31,21,18,16,12,65,28,45,22,1775
Americké Panenské ostrovy,850,VI,VIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,854,BF,BFA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Uruguay,858,UY,URY,1,1,0,1,0,0,0,0,1,0,0,0,0,0,4
Uzbekistán,860,UZ,UZB,628,69,2,19,8,6,4,5,4,4,9,7,1,0,766
Venezuela,862,VE,VEN,27,1,0,0,0,0,0,2,0,0,6,0,1,1,38
Wallis a Futuna,876,WF,WLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,882,WS,WSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jemen,887,YE,YEM,8,4,0,1,0,9,1,1,2,0,2,2,2,0,32
Srbsko a Černá Hora,891,CS,SCG,171,32,11,11,7,16,7,3,1,2,14,6,11,5,297
Zambie,894,ZM,ZMB,2,2,0,0,0,0,0,1,0,0,0,0,0,0,5
Součet,SUM1,,,349123,263235,110570,98286,47285,121495,77694,95833,84651,79141,211216,97090,173881,96540,1906040
Z toho cizinci,SUM2,,,53240,15127,3320,6740,5218,8667,3025,3148,3184,1994,10408,2744,5364,2323,124502
