Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet
Afghánistán,004,AF,AFG,26,12,0,2,2,8,3,0,0,3,14,3,6,0,79
Albánie,008,AL,ALB,21,9,1,2,1,3,2,1,2,3,4,1,3,5,58
Antarktida,010,AQ,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alžírsko,012,DZ,DZA,101,25,4,4,1,16,2,1,1,3,9,6,6,3,182
Americká Samoa,016,AS,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,020,AD,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,024,AO,AGO,11,2,1,0,0,2,3,1,1,0,6,2,1,2,32
Antigua a Barbuda,028,AG,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ázerbájdžán,031,AZ,AZE,141,14,2,4,5,5,1,2,2,2,7,4,2,0,191
Argentina,032,AR,ARG,31,8,1,0,0,2,0,2,2,0,8,1,2,0,57
Austrálie,036,AU,AUS,66,7,7,5,0,4,5,3,4,0,6,2,4,2,115
Rakousko,040,AT,AUT,143,19,81,4,25,33,6,4,5,9,119,12,7,20,487
Bahamy,044,BS,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrajn,048,BH,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladéš,050,BD,BGD,27,3,0,1,3,0,0,0,0,0,2,0,3,0,39
Arménie,051,AM,ARM,201,47,2,5,4,25,7,3,3,22,70,2,11,3,405
Barbados,052,BB,BRB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Belgie,056,BE,BEL,91,31,7,4,3,6,5,8,2,2,10,1,3,2,175
Bermudy,060,BM,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhútán,064,BT,BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolívie,068,BO,BOL,11,1,0,1,0,1,0,0,0,0,0,0,0,0,14
Bosna a Hercegovina,070,BA,BIH,154,39,4,2,6,15,11,7,5,0,41,8,10,3,305
Botswana,072,BW,BWA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bouvetův ostrov,074,BV,BVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazílie,076,BR,BRA,81,4,0,2,1,3,1,1,0,1,7,1,4,2,108
Belize,084,BZ,BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britské indickooceánské území,086,IO,IOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
