Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2018 Q4,Středočeský kraj 2018 Q4,Jihočeský kraj 2018 Q4,Plzeňský kraj 2018 Q4,Karlovarský kraj 2018 Q4,Ústecký kraj 2018 Q4,Liberecký kraj 2018 Q4,Královéhradecký kraj 2018 Q4,Pardubický kraj 2018 Q4,Kraj Vysočina 2018 Q4,Jihomoravský kraj 2018 Q4,Olomoucký kraj 2018 Q4,Moravskoslezský kraj 2018 Q4,Zlínský kraj 2018 Q4
Afghánistán,004,AF,AFG,17,7,0,0,2,7,1,0,0,1,12,3,2,0
Albánie,008,AL,ALB,16,6,4,1,1,3,1,2,1,1,2,0,2,4
Alžírsko,012,DZ,DZA,97,25,3,0,0,8,2,0,1,1,8,3,2,1
Angola,024,AO,AGO,11,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,57,4,1,1,4,4,0,1,1,0,1,4,0,0
Argentina,032,AR,ARG,23,2,0,0,0,1,0,0,1,0,3,1,1,0
Austrálie,036,AU,AUS,59,5,5,3,0,4,4,4,8,0,7,2,3,3
Rakousko,040,AT,AUT,125,25,108,5,20,33,6,4,4,7,125,18,10,24
Bangladéš,050,BD,BGD,5,1,0,1,1,1,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,147,31,2,4,8,31,7,4,3,19,74,2,11,2
Belgie,056,BE,BEL,63,24,7,4,3,7,5,6,1,2,6,1,2,3
Bolívie,068,BO,BOL,6,2,0,0,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,133,35,4,1,4,16,11,7,5,0,43,7,10,1
Botswana,072,BW,BWA,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brazílie,076,BR,BRA,52,5,2,2,0,2,0,1,1,0,7,1,1,0
Britské Panenské ostrovy,092,VG,VGB,5,0,1,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,9,7,0,4,6,4,0,1,3,1,4,1,3,0
Bulharsko,100,BG,BGR,778,242,53,75,30,118,40,24,25,43,124,80,71,27
Myanmar,104,MM,MMR,2,2,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,325,71,14,26,29,44,10,15,19,16,28,13,18,14
Kambodža,116,KH,KHM,2,1,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,14,1,0,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,110,12,8,4,1,1,3,4,6,0,4,4,6,5
Kapverdy,132,CV,CPV,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Šrí Lanka,144,LK,LKA,11,1,0,0,0,0,0,0,0,1,2,0,0,0
Čad,148,TD,TCD,17,10,3,10,1,6,4,11,2,2,9,3,4,0
Chile,152,CL,CHL,21,1,1,1,0,1,0,0,1,0,2,1,0,1
Čína,156,CN,CHN,171,33,5,4,1,23,0,2,2,3,9,2,7,2
Tchaj-wan,158,TW,TWN,9,0,0,1,1,1,0,0,0,0,0,0,0,0
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,29,2,0,1,0,0,0,1,1,0,2,1,2,0
Konžská republika,178,CG,COG,10,2,0,1,0,2,0,0,0,0,0,1,0,0
Demokratická republika Kongo,180,CD,COD,5,3,0,0,0,2,0,1,0,0,0,1,1,0
Kostarika,188,CR,CRI,4,2,0,0,0,0,0,0,0,0,1,0,0,0
Chorvatsko,191,HR,HRV,200,34,9,14,15,18,7,2,7,4,29,18,24,15
Kuba,192,CU,CUB,17,8,1,1,1,6,2,2,0,1,1,3,2,2
Kypr,196,CY,CYP,15,0,1,0,0,1,0,0,0,0,0,0,1,1
Česko,203,CZ,CZE,305065,254814,121448,103623,49726,124437,89339,104655,89347,85306,213957,105715,183986,107235
Benin,204,BJ,BEN,12,1,0,0,0,3,1,0,0,0,0,1,0,0
Dánsko,208,DK,DNK,47,7,0,1,1,4,4,0,0,2,3,0,4,1
Dominikánská republika,214,DO,DOM,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Ekvádor,218,EC,ECU,3,4,0,1,0,0,0,1,0,0,1,1,1,0
Salvador,222,SV,SLV,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Etiopie,231,ET,ETH,12,1,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonsko,233,EE,EST,19,3,0,0,0,2,0,1,0,0,2,0,1,1
Finsko,246,FI,FIN,49,3,0,1,0,2,0,1,0,1,4,1,1,0
Alandy,248,AX,ALA,10,5,0,0,4,5,1,2,0,0,6,1,3,0
Francie,250,FR,FRA,432,54,15,16,4,8,4,5,10,7,32,10,17,10
Gabon,266,GA,GAB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gruzie,268,GE,GEO,68,10,2,1,5,1,1,0,1,0,4,1,2,0
Gambie,270,GM,GMB,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Palestina,275,PS,PSE,6,3,0,0,0,1,0,1,0,0,0,0,1,0
Německo,276,DE,DEU,505,225,100,253,336,1309,81,47,32,25,105,64,58,21
Ghana,288,GH,GHA,25,4,0,0,0,7,1,1,3,0,3,1,0,1
Řecko,300,GR,GRC,104,9,1,2,3,7,6,4,3,2,31,16,38,1
Guatemala,320,GT,GTM,6,1,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,324,GN,GIN,13,3,0,0,0,0,0,0,0,0,1,0,1,0
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,340,HN,HND,6,0,0,0,0,0,0,0,1,0,0,0,0,0
Hongkong,344,HK,HKG,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maďarsko,348,HU,HUN,401,71,16,72,18,31,21,38,27,12,105,13,22,6
Island,352,IS,ISL,8,1,0,0,1,0,0,0,0,0,0,0,0,0
Indie,356,IN,IND,77,5,1,1,3,4,1,1,1,0,12,2,6,2
Indonésie,360,ID,IDN,4,0,0,0,0,0,1,0,1,0,0,0,1,0
Írán,364,IR,IRN,14,4,1,4,0,0,5,1,0,0,1,2,0,2
Irák,368,IQ,IRQ,26,9,0,2,1,7,1,1,4,1,9,0,2,0
Irsko,372,IE,IRL,129,14,5,13,4,4,0,3,3,3,10,2,6,3
Izrael,376,IL,ISR,64,11,1,0,2,3,0,2,1,0,3,1,1,1
Itálie,380,IT,ITA,595,78,25,27,20,42,11,7,14,5,89,31,48,38
Pobřeží slonoviny,384,CI,CIV,12,1,0,0,1,1,1,0,0,0,0,0,0,0
Jamajka,388,JM,JAM,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Japonsko,392,JP,JPN,47,8,0,0,0,3,0,2,2,0,6,2,1,1
Kazachstán,398,KZ,KAZ,350,92,2,5,28,48,10,7,3,3,9,8,4,1
Jordánsko,400,JO,JOR,16,4,0,0,2,4,1,0,2,0,2,0,3,1
Keňa,404,KE,KEN,2,1,0,0,0,2,1,0,0,0,1,0,2,0
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Korejská republika,410,KR,KOR,55,2,1,2,0,0,0,0,0,1,2,0,8,0
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,0,0,0,1,0,0,0
Kyrgyzstán,417,KG,KGZ,40,10,1,1,18,5,1,0,0,0,2,1,0,1
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0
Libanon,422,LB,LBN,17,4,1,2,1,7,2,1,4,1,0,2,1,0
Lotyšsko,428,LV,LVA,54,8,10,5,1,4,0,1,1,9,3,0,1,2
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Libye,434,LY,LBY,7,1,0,0,0,0,0,1,0,0,5,0,1,0
Lichtenštejnsko,438,LI,LIE,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Litva,440,LT,LTU,56,15,4,13,3,3,5,3,2,18,16,0,1,1
Lucembursko,442,LU,LUX,5,0,0,0,0,1,0,0,0,0,0,0,0,0
Madagaskar,450,MG,MDG,3,0,0,0,0,0,1,0,1,0,1,0,1,0
Malajsie,458,MY,MYS,7,0,0,0,0,2,0,0,1,0,0,0,0,0
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,470,MT,MLT,7,1,2,0,0,1,0,1,0,0,0,0,1,0
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mauricius,480,MU,MUS,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexiko,484,MX,MEX,47,7,1,3,1,0,0,3,2,0,2,1,2,0
Mongolsko,496,MN,MNG,84,12,2,11,12,11,13,13,4,12,36,10,3,13
Moldavsko,498,MD,MDA,265,116,21,56,18,37,44,25,18,25,53,27,7,13
Černá Hora,499,ME,MNE,16,2,0,2,2,2,1,1,0,0,1,2,1,0
Maroko,504,MA,MAR,38,6,0,0,0,3,3,0,0,0,1,1,3,1
Namibie,516,,NAM,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Nepál,524,NP,NPL,4,1,0,3,0,0,0,0,0,0,1,0,0,0
Nizozemsko,528,NL,NLD,112,34,23,14,6,19,19,19,11,7,22,9,5,6
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nový Zéland,554,NZ,NZL,15,4,0,0,0,2,3,1,2,0,3,0,1,1
