Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet
Madagaskar,450,MG,MDG,3,0,0,0,0,0,1,0,1,0,1,0,1,0,7
Malajsie,458,MY,MYS,5,0,0,0,0,1,0,0,0,0,0,0,0,0,6
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Malta,470,MT,MLT,5,1,1,0,0,1,0,1,0,0,0,0,1,0,10
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mauricius,480,MU,MUS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexiko,484,MX,MEX,43,2,1,2,1,0,0,2,2,0,3,1,2,0,59
Mongolsko,496,MN,MNG,62,10,1,12,11,9,11,14,3,9,39,10,4,12,207
Moldavsko,498,MD,MDA,256,119,21,58,16,38,37,23,16,28,51,29,8,13,713
Černá Hora,499,ME,MNE,13,3,0,2,3,2,1,1,0,0,1,2,1,0,29
Maroko,504,MA,MAR,36,7,0,0,0,2,2,0,0,0,1,1,2,1,52
Namibie,516,,NAM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Nepál,524,NP,NPL,3,1,0,4,0,3,0,1,0,0,2,0,0,0,14
Nizozemsko,528,NL,NLD,95,30,23,12,6,18,20,14,7,7,21,9,4,8,274
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Curacao,531,CW,CUW,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Nový Zéland,554,NZ,NZL,14,3,0,0,0,2,3,1,1,0,2,0,1,1,28
Niger,562,NE,NER,11,2,0,0,0,0,0,0,0,0,1,0,0,0,14
Nigérie,566,NG,NGA,115,6,1,0,2,12,1,1,1,0,3,0,2,1,145
Norsko,578,NO,NOR,12,3,2,0,0,1,2,0,0,0,0,0,0,1,21
Pákistán,586,PK,PAK,43,10,0,5,0,6,0,2,0,1,2,1,1,0,71
Panama,591,PA,PAN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Paraguay,600,PY,PRY,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Peru,604,PE,PER,17,9,0,0,0,5,0,1,0,0,8,1,2,0,43
Filipíny,608,PH,PHL,28,4,0,2,0,6,0,0,0,0,0,0,0,2,42
Polsko,616,PL,POL,375,170,40,56,29,115,138,288,64,22,116,133,764,35,2345
Portugalsko,620,PT,PRT,42,5,0,4,2,1,2,1,1,1,6,1,5,0,71
Guinea-Bissau,624,GW,GNB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Portoriko,630,PR,PRI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rumunsko,642,RO,ROU,512,132,37,203,27,78,21,34,48,18,122,40,13,42,1327
Rusko,643,RU,RUS,1750,339,21,41,188,123,38,19,19,14,104,35,46,19,2756
Rwanda,646,RW,RWA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Svatý Kryštof a Nevis,659,KN,KNA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Svatý Tomáš a Princův ostrov,678,ST,STP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Senegal,686,SN,SEN,9,5,0,0,0,1,0,0,0,0,0,0,0,0,15
Srbsko,688,RS,SRB,105,18,0,9,11,11,4,6,0,1,17,4,8,4,198
Sierra Leone,694,SL,SLE,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Singapur,702,SG,SGP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Slovensko,703,SK,SVK,5698,2106,457,611,252,542,398,395,378,299,2061,458,1243,824,15722
Vietnam,704,VN,VNM,4223,1994,1013,2500,3145,3646,815,573,532,453,1430,557,1122,300,22303
Slovinsko,705,SI,SVN,34,6,2,0,2,2,2,1,1,0,8,1,5,2,66
Somálsko,706,SO,SOM,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Jižní Afrika,710,ZA,ZAF,24,4,4,0,1,2,1,1,0,0,8,2,1,2,50
Zimbabwe,716,ZW,ZWE,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3
Španělsko,724,ES,ESP,220,16,5,4,2,4,5,4,6,1,24,8,9,2,310
Súdán,729,SD,SDN,5,1,0,0,0,1,0,0,0,0,0,0,0,0,7
Surinam,740,SR,SUR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Švédsko,752,SE,SWE,52,10,2,2,1,12,2,0,0,3,8,0,3,1,96
Švýcarsko,756,CH,CHE,30,7,3,1,5,1,4,1,1,1,5,0,3,1,63
Sýrie,760,SY,SYR,40,14,2,11,3,16,7,8,1,1,31,6,17,3,160
Tádžikistán,762,TJ,TJK,8,0,0,0,0,0,0,0,0,0,1,0,0,0,9
Thajsko,764,TH,THA,84,8,4,9,3,2,1,2,1,0,4,1,1,2,122
Spojené arabské emiráty,784,AE,ARE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Tunisko,788,TN,TUN,67,15,6,4,2,5,2,4,0,0,7,1,5,1,119
Turecko,792,TR,TUR,54,14,5,5,4,17,5,6,3,3,6,4,8,5,139
Turkmenistán,795,TM,TKM,4,1,0,0,0,0,0,0,0,0,1,0,0,0,6
Uganda,800,UG,UGA,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3
Ukrajina,804,UA,UKR,9889,2931,678,1309,605,1151,717,850,812,435,1828,392,272,267,22136
Makedonie,807,MK,MKD,127,33,7,7,0,49,1,6,1,2,23,14,33,7,310
Egypt,818,EG,EGY,26,11,3,2,3,7,4,4,3,1,7,9,5,3,88
Velká Británie,826,GB,GBR,921,168,44,52,19,30,63,30,42,24,119,39,64,41,1656
Guernsey,831,GG,GGY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Tanzanie,834,TZ,TZA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Spojené státy,840,US,USA,1050,86,42,17,6,23,22,17,13,10,65,24,30,19,1424
Burkina Faso,854,BF,BFA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Uruguay,858,UY,URY,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4
Uzbekistán,860,UZ,UZB,288,11,1,13,5,1,1,7,4,3,7,1,1,0,343
Venezuela,862,VE,VEN,16,2,0,0,0,0,0,1,0,0,4,0,0,0,23
Jemen,887,YE,YEM,10,1,0,2,0,3,1,0,0,1,3,1,1,0,23
Srbsko a Černá Hora,891,CS,SCG,259,54,16,15,10,24,11,5,1,2,21,8,15,7,448
Zambie,894,ZM,ZMB,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
Součet,SUM1,,,328403,257904,123176,108217,55388,131755,91623,106193,90211,85226,218492,106506,187649,108161,1998904
Z toho cizinci,SUM2,,,31712,9528,2852,5507,4934,7874,2598,2546,2160,1532,7097,2118,4124,1814,86396
