Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet
Afghánistán,004,AF,AFG,16,7,0,0,1,6,2,0,0,1,13,4,2,0,52
Albánie,008,AL,ALB,13,8,4,1,1,3,1,2,1,1,2,1,1,4,43
Alžírsko,012,DZ,DZA,94,22,3,0,1,7,2,1,1,1,9,2,2,0,145
Angola,024,AO,AGO,9,2,2,0,0,3,2,1,1,0,6,3,2,2,33
Ázerbájdžán,031,AZ,AZE,51,5,0,2,4,4,0,1,0,0,2,4,0,0,73
Argentina,032,AR,ARG,16,1,0,0,0,2,0,0,1,0,1,1,1,0,23
Austrálie,036,AU,AUS,47,3,5,3,0,5,4,4,6,0,6,2,2,3,90
Rakousko,040,AT,AUT,107,23,108,3,20,35,8,4,5,6,121,16,10,24,490
Bangladéš,050,BD,BGD,6,1,0,1,1,0,0,3,0,0,0,0,3,0,15
Arménie,051,AM,ARM,135,26,2,5,8,33,6,4,3,20,69,2,13,2,328
Belgie,056,BE,BEL,50,18,7,4,4,6,5,5,1,2,5,1,3,3,114
Bolívie,068,BO,BOL,4,2,0,0,0,1,1,0,0,0,1,0,0,0,9
Bosna a Hercegovina,070,BA,BIH,132,35,7,0,4,15,9,7,5,0,46,6,10,1,277
Brazílie,076,BR,BRA,37,2,2,1,0,3,0,1,2,0,5,0,2,0,55
Britské Panenské ostrovy,092,VG,VGB,6,0,1,0,0,0,0,0,0,0,0,0,0,0,7
Kosovo,095,XK,XXK,11,5,0,3,3,3,1,2,1,0,5,1,2,0,37
Bulharsko,100,BG,BGR,669,219,58,45,29,112,38,23,26,47,125,79,63,25,1558
Myanmar,104,MM,MMR,2,1,0,0,0,0,0,0,1,0,1,0,0,0,5
Bělorusko,112,BY,BLR,286,62,14,33,24,48,10,14,15,14,32,12,16,11,591
Kambodža,116,KH,KHM,2,3,0,0,0,0,1,0,0,0,1,0,0,2,9
Kamerun,120,CM,CMR,12,1,0,0,0,3,1,0,0,0,1,0,0,0,18
Kanada,124,CA,CAN,94,10,7,4,1,1,3,3,5,0,5,4,6,5,148
Šrí Lanka,144,LK,LKA,9,1,0,0,1,0,0,0,0,1,1,0,0,0,13
Čad,148,TD,TCD,19,9,4,9,0,7,3,10,3,1,7,3,4,0,79
Chile,152,CL,CHL,16,2,0,1,0,1,0,0,1,0,1,2,0,1,25
Čína,156,CN,CHN,165,26,5,5,1,22,0,2,4,3,6,2,7,2,250
Tchaj-wan,158,TW,TWN,8,0,0,1,1,0,1,0,0,0,0,0,1,0,12
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kolumbie,170,CO,COL,16,3,0,1,0,0,0,2,2,0,2,1,2,0,29
Konžská republika,178,CG,COG,10,2,0,1,0,2,0,0,0,0,0,1,0,0,16
Demokratická republika Kongo,180,CD,COD,3,2,0,0,0,2,0,1,0,0,0,0,1,0,9
Kostarika,188,CR,CRI,1,2,0,0,0,0,0,0,0,0,1,0,0,0,4
Chorvatsko,191,HR,HRV,171,31,5,15,18,18,7,2,8,3,29,18,25,14,364
Kuba,192,CU,CUB,16,7,1,1,0,5,2,3,0,1,2,3,2,3,46
Kypr,196,CY,CYP,14,0,2,0,0,0,0,0,0,0,0,0,1,0,17
Česko,203,CZ,CZE,296691,248376,120324,102710,50454,123881,89025,103647,88051,83694,211395,104388,183525,106347,1912508
Benin,204,BJ,BEN,9,1,0,0,0,4,1,0,0,0,0,1,0,1,17
Dánsko,208,DK,DNK,47,6,0,1,1,4,1,0,0,1,3,1,4,1,70
Dominikánská republika,214,DO,DOM,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5
Ekvádor,218,EC,ECU,2,3,0,1,0,0,0,1,0,0,1,1,1,0,10
Salvador,222,SV,SLV,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Etiopie,231,ET,ETH,11,1,0,0,0,0,0,0,0,0,0,0,0,0,12
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Estonsko,233,EE,EST,14,3,0,0,0,2,0,1,0,0,2,0,1,0,23
Finsko,246,FI,FIN,38,3,0,0,0,2,0,1,0,1,3,2,0,0,50
Alandy,248,AX,ALA,11,6,0,0,6,4,1,2,0,0,6,1,4,0,41
Francie,250,FR,FRA,351,49,14,14,5,7,4,2,11,7,31,10,14,10,529
Francouzská Guyana,254,GF,GUF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Gruzie,268,GE,GEO,63,7,2,2,6,2,1,0,1,0,3,0,3,0,90
Gambie,270,GM,GMB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Palestina,275,PS,PSE,3,4,1,0,0,0,0,0,0,0,0,0,1,0,9
Německo,276,DE,DEU,442,212,92,256,329,1360,77,48,33,25,94,62,53,21,3104
Ghana,288,GH,GHA,26,3,0,0,0,7,1,1,3,0,3,1,0,1,46
Řecko,300,GR,GRC,74,10,0,1,4,7,6,4,4,2,28,14,41,1,196
Guatemala,320,GT,GTM,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Guinea,324,GN,GIN,11,2,0,0,0,0,0,0,0,0,1,0,1,0,15
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Honduras,340,HN,HND,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3
Hongkong,344,HK,HKG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Maďarsko,348,HU,HUN,270,46,14,46,16,23,14,32,22,11,71,14,23,2,604
Island,352,IS,ISL,7,1,0,0,1,0,0,0,0,0,0,0,0,0,9
Indie,356,IN,IND,68,7,0,1,3,3,3,1,1,0,9,1,6,1,104
Indonésie,360,ID,IDN,3,0,0,0,0,0,1,0,1,0,0,0,0,0,5
Írán,364,IR,IRN,11,3,1,4,0,0,4,1,0,0,1,2,0,1,28
Irák,368,IQ,IRQ,24,9,1,1,1,7,1,1,0,0,9,0,3,0,57
Irsko,372,IE,IRL,112,14,6,12,3,3,0,4,3,2,9,3,6,2,179
Izrael,376,IL,ISR,50,11,1,1,3,4,1,3,1,0,3,0,1,1,80
Itálie,380,IT,ITA,467,66,20,27,20,42,10,8,13,5,87,31,55,38,889
Pobřeží slonoviny,384,CI,CIV,9,1,0,0,1,1,1,0,0,0,0,1,0,0,14
Jamajka,388,JM,JAM,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
Japonsko,392,JP,JPN,48,6,0,0,0,2,0,2,2,1,6,1,1,1,70
Kazachstán,398,KZ,KAZ,350,85,4,5,25,44,10,6,2,4,7,7,4,1,554
Jordánsko,400,JO,JOR,14,4,0,0,1,3,1,0,2,0,2,0,1,1,29
Keňa,404,KE,KEN,2,0,0,0,0,2,0,1,0,0,0,0,2,0,7
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Korejská republika,410,KR,KOR,39,2,1,1,0,0,0,0,0,0,1,1,10,0,55
Kuvajt,414,KW,KWT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Kyrgyzstán,417,KG,KGZ,36,5,1,1,16,4,1,0,0,0,3,1,0,1,69
Laos,418,LA,LAO,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4
Libanon,422,LB,LBN,19,1,1,2,1,6,2,1,4,1,0,2,1,0,41
Lotyšsko,428,LV,LVA,44,8,10,5,2,4,1,1,0,8,13,0,1,1,98
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Libye,434,LY,LBY,8,1,0,0,0,0,0,1,0,0,5,0,1,0,16
Litva,440,LT,LTU,46,15,4,9,3,3,4,3,2,23,16,0,1,1,130
Lucembursko,442,LU,LUX,5,1,0,0,0,1,0,0,0,0,0,0,0,0,7
