Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2023 Q3,Středočeský kraj 2023 Q3,Jihočeský kraj 2023 Q3,Plzeňský kraj 2023 Q3,Karlovarský kraj 2023 Q3,Ústecký kraj 2023 Q3,Liberecký kraj 2023 Q3,Královéhradecký kraj 2023 Q3,Pardubický kraj 2023 Q3,Kraj Vysočina 2023 Q3,Jihomoravský kraj 2023 Q3,Olomoucký kraj 2023 Q3,Moravskoslezský kraj 2023 Q3,Zlínský kraj 2023 Q3
Afghánistán,004,AF,AFG,22,6,0,1,2,7,3,0,0,3,13,3,5,0
Albánie,008,AL,ALB,19,11,2,2,1,6,2,1,1,2,2,0,3,5
Alžírsko,012,DZ,DZA,102,24,4,3,1,14,2,0,1,1,10,5,6,3
Angola,024,AO,AGO,12,2,1,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,114,15,2,2,6,5,1,1,1,1,6,3,1,0
Argentina,032,AR,ARG,29,5,1,0,0,1,0,2,2,0,7,1,0,0
Austrálie,036,AU,AUS,61,5,6,5,0,4,5,4,5,0,5,2,4,2
Rakousko,040,AT,AUT,143,20,79,4,22,34,7,3,5,9,115,13,7,20
Bangladéš,050,BD,BGD,20,2,0,1,3,0,0,0,0,0,0,0,3,1
Arménie,051,AM,ARM,193,44,2,4,3,25,9,3,3,22,70,2,11,2
Barbados,052,BB,BRB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgie,056,BE,BEL,89,31,7,5,3,6,5,7,2,2,10,1,3,2
Bolívie,068,BO,BOL,10,1,0,1,0,1,0,0,0,0,0,0,0,1
Bosna a Hercegovina,070,BA,BIH,145,39,4,2,6,15,11,6,5,0,43,8,10,3
Botswana,072,BW,BWA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazílie,076,BR,BRA,78,3,0,2,1,2,1,1,0,0,6,0,4,2
Britské Panenské ostrovy,092,VG,VGB,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,23,10,1,2,7,5,0,5,3,4,9,5,5,0
Brunej,096,BN,BRN,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulharsko,100,BG,BGR,897,287,50,132,49,137,52,33,35,22,134,86,71,26
Myanmar,104,MM,MMR,2,3,0,0,0,0,0,0,0,0,1,0,0,0
Burundi,108,BI,BDI,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bělorusko,112,BY,BLR,529,107,17,36,34,36,13,18,22,15,53,17,24,10
Kambodža,116,KH,KHM,3,1,0,0,0,0,0,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,21,3,1,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,125,9,8,3,3,1,3,4,7,0,8,3,8,6
Šrí Lanka,144,LK,LKA,16,2,0,1,0,0,0,0,0,2,1,0,0,5
Čad,148,TD,TCD,30,14,5,9,3,7,3,12,2,3,19,3,5,1
Chile,152,CL,CHL,37,6,0,2,0,1,0,1,1,0,4,1,1,2
Čína,156,CN,CHN,203,38,6,4,2,21,0,3,4,4,13,6,9,2
Tchaj-wan,158,TW,TWN,18,1,1,1,0,0,1,0,0,0,0,0,0,1
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,45,4,0,2,0,2,1,1,1,0,3,2,1,3
Konžská republika,178,CG,COG,12,1,1,1,0,2,0,0,0,0,0,1,0,0
Konžská demokratická republika,180,CD,COD,10,3,0,1,0,2,0,0,1,0,1,1,0,0
Kostarika,188,CR,CRI,4,3,0,0,0,0,0,0,0,0,1,0,0,1
Chorvatsko,191,HR,HRV,255,43,10,16,13,19,5,3,6,3,36,17,27,13
Kuba,192,CU,CUB,39,10,2,2,1,8,2,2,1,0,3,1,3,1
Kypr,196,CY,CYP,24,2,1,0,0,1,0,0,0,1,0,0,1,1
Česko,203,CZ,CZE,295275,247351,107990,92374,42935,113318,75707,93347,81771,77909,200783,95052,168840,95059
Benin,204,BJ,BEN,14,1,0,0,0,2,2,0,0,0,0,0,0,0
Dánsko,208,DK,DNK,69,9,2,1,0,3,7,0,0,1,4,0,4,1
Dominikánská republika,214,DO,DOM,9,1,1,0,0,0,1,1,0,0,0,0,0,0
Ekvádor,218,EC,ECU,6,4,0,1,0,0,0,0,1,0,3,1,1,1
Salvador,222,SV,SLV,3,1,0,0,0,0,0,0,0,0,0,1,0,0
Etiopie,231,ET,ETH,13,3,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonsko,233,EE,EST,30,5,0,0,2,2,1,1,1,0,4,0,0,0
