Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 017  Q2,Středočeský kraj 017  Q2,Jihočeský kraj 017  Q2,Plzeňský kraj 017  Q2,Karlovarský kraj 017  Q2,Ústecký kraj 017  Q2,Liberecký kraj 017  Q2,Královéhradecký kraj 017  Q2,Pardubický kraj 017  Q2,Kraj Vysočina 017  Q2,Jihomoravský kraj 017  Q2,Olomoucký kraj 017  Q2,Moravskoslezský kraj 017  Q2,Zlínský kraj 017  Q2
Afghánistán,004,AF,AFG,16,7,0,0,2,6,2,0,0,1,12,4,2,0
Albánie,008,AL,ALB,14,7,4,1,1,3,1,2,1,1,2,1,1,4
Alžírsko,012,DZ,DZA,93,19,4,0,1,7,2,1,1,1,8,3,2,1
Angola,024,AO,AGO,10,2,2,0,0,3,2,1,1,0,6,3,2,2
Ázerbájdžán,031,AZ,AZE,58,4,1,1,4,4,0,1,0,0,2,3,0,0
Argentina,032,AR,ARG,18,1,0,0,0,2,0,0,1,0,2,1,1,0
Austrálie,036,AU,AUS,48,3,5,3,0,5,4,4,6,0,6,2,2,3
Rakousko,040,AT,AUT,110,22,111,4,21,36,8,4,5,6,121,17,12,24
Bangladéš,050,BD,BGD,6,1,0,1,1,0,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,134,25,2,5,8,33,6,4,2,21,73,2,12,2
Belgie,056,BE,BEL,52,19,7,4,4,6,5,5,1,2,5,1,3,3
Bolívie,068,BO,BOL,4,2,0,0,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,131,35,7,0,4,15,9,7,5,0,46,7,10,1
Brazílie,076,BR,BRA,43,2,2,1,0,3,0,1,2,0,6,0,2,0
Britské Panenské ostrovy,092,VG,VGB,6,0,1,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,12,5,0,3,4,3,0,2,1,0,4,1,2,0
Bulharsko,100,BG,BGR,691,231,58,58,29,111,38,22,27,47,121,78,62,25
Myanmar,104,MM,MMR,2,1,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,294,63,14,33,24,57,10,14,15,15,30,12,16,12
Kambodža,116,KH,KHM,2,3,0,0,0,0,1,0,0,0,1,0,0,2
Kamerun,120,CM,CMR,13,1,0,0,0,2,1,0,0,0,1,0,0,0
Kanada,124,CA,CAN,100,10,7,4,1,1,3,4,5,0,6,4,5,5
Šrí Lanka,144,LK,LKA,9,1,0,0,1,0,0,0,0,1,1,0,0,0
Čad,148,TD,TCD,19,9,4,9,0,6,3,11,3,1,8,3,4,0
Chile,152,CL,CHL,18,1,0,1,0,1,0,0,0,0,1,2,0,1
Čína,156,CN,CHN,168,27,5,5,1,22,0,2,4,3,6,2,6,2
Tchaj-wan,158,TW,TWN,7,0,0,1,1,1,1,0,0,0,0,0,0,0
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,16,3,0,1,0,0,0,2,2,0,3,1,2,0
Konžská republika,178,CG,COG,10,2,0,1,0,1,0,0,0,0,0,1,0,0
Demokratická republika Kongo,180,CD,COD,3,2,0,0,0,2,0,1,0,0,0,0,1,0
Kostarika,188,CR,CRI,2,2,0,0,0,0,0,0,0,0,1,0,0,0
