Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 018  Q1,Středočeský kraj 018  Q1,Jihočeský kraj 018  Q1,Plzeňský kraj 018  Q1,Karlovarský kraj 018  Q1,Ústecký kraj 018  Q1,Liberecký kraj 018  Q1,Královéhradecký kraj 018  Q1,Pardubický kraj 018  Q1,Kraj Vysočina 018  Q1,Jihomoravský kraj 018  Q1,Olomoucký kraj 018  Q1,Moravskoslezský kraj 018  Q1,Zlínský kraj 018  Q1
Afghánistán,004,AF,AFG,17,7,0,0,2,7,2,0,0,1,13,3,2,0
Albánie,008,AL,ALB,15,8,4,1,1,3,1,2,1,1,2,1,2,4
Alžírsko,012,DZ,DZA,92,21,4,0,0,7,2,0,1,1,8,3,2,1
Angola,024,AO,AGO,10,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,61,5,1,1,3,4,0,1,0,0,2,4,0,0
Argentina,032,AR,ARG,20,2,0,0,0,2,0,0,1,0,2,1,1,0
Austrálie,036,AU,AUS,62,3,5,3,0,5,4,4,8,0,5,2,3,3
Rakousko,040,AT,AUT,125,24,111,5,20,35,6,4,4,7,120,16,11,24
Bangladéš,050,BD,BGD,7,1,0,1,1,0,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,138,30,2,5,8,31,6,4,3,19,74,2,12,2
Belgie,056,BE,BEL,55,20,7,4,4,6,5,5,1,2,5,1,2,3
Bolívie,068,BO,BOL,4,2,0,0,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,129,34,7,1,4,16,11,7,5,0,44,7,9,1
Botswana,072,BW,BWA,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brazílie,076,BR,BRA,52,2,3,1,0,3,0,1,1,0,6,0,1,0
Britské Panenské ostrovy,092,VG,VGB,5,0,1,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,11,6,0,4,5,4,0,2,2,1,4,1,2,0
Bulharsko,100,BG,BGR,743,236,55,69,28,112,40,25,26,43,121,80,64,26
Myanmar,104,MM,MMR,2,1,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,310,63,13,27,29,55,10,15,18,15,30,12,16,12
Kambodža,116,KH,KHM,2,2,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,13,1,0,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,107,12,7,4,1,1,3,4,5,0,5,4,6,5
Kapverdy,132,CV,CPV,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Šrí Lanka,144,LK,LKA,10,1,0,0,1,0,0,0,0,1,1,0,0,0
Čad,148,TD,TCD,20,9,4,9,0,6,3,11,2,2,9,3,4,0
Chile,152,CL,CHL,18,1,1,1,0,1,0,0,1,0,1,2,0,1
Čína,156,CN,CHN,163,32,5,4,1,23,0,2,2,3,9,2,7,2
Tchaj-wan,158,TW,TWN,6,0,0,1,1,1,1,0,0,0,0,0,0,0
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,22,2,0,1,0,0,0,2,1,0,2,1,2,0
Konžská republika,178,CG,COG,10,2,0,1,0,1,0,0,0,0,0,1,0,0
Demokratická republika Kongo,180,CD,COD,5,3,0,0,0,2,0,1,0,0,0,0,1,0
Kostarika,188,CR,CRI,3,2,0,0,0,0,0,0,0,0,1,0,0,0
Chorvatsko,191,HR,HRV,190,32,8,14,17,19,8,2,7,4,25,17,23,15
Kuba,192,CU,CUB,16,8,1,1,0,6,2,2,0,1,1,4,2,2
Kypr,196,CY,CYP,15,0,1,0,0,0,0,0,0,0,0,0,1,1
Česko,203,CZ,CZE,301670,251868,120871,103074,50050,123863,89415,104164,88721,84415,212842,104852,183700,106888
Benin,204,BJ,BEN,10,1,0,0,0,4,1,0,0,0,0,1,0,1
Dánsko,208,DK,DNK,44,6,0,1,1,4,2,0,0,1,3,0,4,1
Dominikánská republika,214,DO,DOM,3,3,0,0,0,0,0,0,0,0,0,0,0,0
