Občanství,023  Q2
Afghánistán,64
Albánie,57
Alžírsko,174
Angola,33
Ázerbájdžán,146
Argentina,47
Austrálie,111
Rakousko,478
Bangladéš,27
Arménie,394
Barbados,1
Belgie,169
Bolívie,14
Bosna a Hercegovina,295
Botswana,1
Brazílie,94
Britské Panenské ostrovy,4
Kosovo,75
Brunej,1
Bulharsko,1993
Myanmar,6
Burundi,1
Bělorusko,921
Kambodža,4
Kamerun,30
Kanada,186
Šrí Lanka,27
Čad,116
Chile,52
Čína,312
Tchaj-wan,23
Vánoční ostrov,1
Kolumbie,65
Konžská republika,18
Konžská demokratická republika,20
Kostarika,10
Chorvatsko,462
Kuba,77
Kypr,30
Česko,1788680
Benin,19
Dánsko,95
Dominikánská republika,13
Ekvádor,18
Salvador,5
Etiopie,17
Eritrea,1
Estonsko,45
Finsko,80
Alandy,27
Francie,814
Gruzie,130
Gambie,2
Palestina,13
Německo,3213
Ghana,81
Řecko,284
Guatemala,8
Guinea,21
Guyana,1
Honduras,12
Hongkong,1
Maďarsko,1568
Island,14
Indie,260
Indonésie,26
Írán,65
Irák,78
Irsko,282
Izrael,163
Itálie,1303
Pobřeží slonoviny,16
Jamajka,2
Japonsko,100
Kazachstán,849
Jordánsko,41
Keňa,11
Korejská lidově demokratická republika,3
Korejská republika,87
Kuvajt,4
Kyrgyzstán,137
Laos,5
Libanon,63
Lotyšsko,153
Libérie,1
Libye,20
Lichtenštejnsko,2
Litva,169
Lucembursko,10
Madagaskar,6
Malajsie,9
Maledivy,1
Mali,2
Malta,26
Mauritánie,1
Mauricius,5
Mexiko,104
Mongolsko,393
Moldavsko,877
Černá Hora,36
Maroko,76
Namibie,5
Nepál,13
Nizozemsko,374
Nizozemské Antily,1
Vanuatu,1
Nový Zéland,38
Nikaragua,1
Niger,11
Nigérie,207
Norsko,34
Pákistán,100
Panama,6
Paraguay,1
Peru,56
Filipíny,109
Polsko,2923
Portugalsko,161
Guinea-Bissau,3
Katar,1
Rumunsko,2924
Rusko,4924
Rwanda,1
Svatý Kryštof a Nevis,1
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,1
Saúdská Arábie,1
Senegal,20
Srbsko,336
Sierra Leone,3
Singapur,5
Slovensko,23375
Vietnam,20723
Slovinsko,91
Somálsko,2
Jižní Afrika,65
Zimbabwe,7
Španělsko,552
Súdán,7
Surinam,2
Švédsko,226
Švýcarsko,81
Sýrie,218
Tádžikistán,28
Thajsko,243
Togo,3
Tonga,1
Trinidad a Tobago,1
Spojené arabské emiráty,1
Tunisko,247
Turecko,332
Turkmenistán,11
Uganda,8
Ukrajina,31955
Severní Makedonie,346
Egypt,174
Velká Británie a Severní Irsko,1674
Guernsey,1
Tanzanie,5
Spojené státy,1806
Burkina Faso,2
Uruguay,3
Uzbekistán,687
Venezuela,34
Jemen,30
Srbsko a Černá Hora,315
Zambie,3
