Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet
Írán,364,IR,IRN,16,5,1,4,0,0,3,1,0,1,2,2,0,1,36
Irák,368,IQ,IRQ,27,8,0,2,1,8,1,1,4,1,9,0,4,0,66
Irsko,372,IE,IRL,130,16,5,13,4,4,2,1,3,3,12,2,8,5,208
Izrael,376,IL,ISR,67,14,1,0,2,3,0,3,1,0,3,1,1,1,97
Itálie,380,IT,ITA,637,83,27,32,18,43,12,8,14,6,90,31,49,37,1087
Pobřeží slonoviny,384,CI,CIV,12,1,0,0,1,1,1,0,0,0,0,0,0,0,16
Jamajka,388,JM,JAM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Japonsko,392,JP,JPN,51,10,1,0,0,3,0,2,2,0,5,2,1,1,78
Kazachstán,398,KZ,KAZ,372,95,2,4,27,55,10,7,3,3,10,8,4,1,601
Jordánsko,400,JO,JOR,17,4,0,0,3,4,0,0,2,0,2,0,4,1,37
Keňa,404,KE,KEN,4,1,0,0,0,2,1,0,0,0,1,0,2,0,11
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Korejská republika,410,KR,KOR,69,4,1,2,0,0,0,0,0,1,2,0,8,0,87
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Kyrgyzstán,417,KG,KGZ,45,10,1,1,17,5,1,0,0,0,2,2,0,1,85
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0,5
Libanon,422,LB,LBN,19,4,1,2,1,7,2,3,3,1,0,2,1,0,46
Lotyšsko,428,LV,LVA,57,18,10,7,3,4,0,1,1,9,3,0,1,2,116
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Libye,434,LY,LBY,7,1,0,0,0,0,0,1,0,0,5,0,1,0,15
Lichtenštejnsko,438,LI,LIE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Litva,440,LT,LTU,57,18,4,14,4,3,6,3,2,19,16,0,1,1,148
Lucembursko,442,LU,LUX,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Madagaskar,450,MG,MDG,3,0,0,0,0,0,1,0,1,0,1,0,1,0,7
Malajsie,458,MY,MYS,9,0,0,0,0,2,0,0,1,0,0,0,0,0,12
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Malta,470,MT,MLT,10,1,2,0,0,1,0,1,0,0,0,0,1,0,16
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mauricius,480,MU,MUS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Mexiko,484,MX,MEX,51,7,1,2,0,0,0,3,2,0,3,1,2,1,73
Mongolsko,496,MN,MNG,89,13,3,11,13,14,14,14,4,11,38,8,3,12,247
Moldavsko,498,MD,MDA,279,117,21,57,18,36,45,25,17,26,50,26,8,12,737
Černá Hora,499,ME,MNE,17,3,0,2,2,2,1,1,0,0,1,2,1,0,32
Maroko,504,MA,MAR,42,6,0,0,0,4,2,0,0,1,3,2,3,2,65
Namibie,516,,NAM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Nepál,524,NP,NPL,2,2,0,3,0,0,0,0,0,0,1,0,0,0,8
Nizozemsko,528,NL,NLD,126,36,23,14,5,17,20,20,11,7,24,9,5,6,323
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Nový Zéland,554,NZ,NZL,17,4,0,0,0,1,1,1,1,0,3,0,1,1,30
Niger,562,NE,NER,12,2,0,0,0,0,0,0,0,0,1,0,0,0,15
Nigérie,566,NG,NGA,121,8,1,0,1,12,1,1,1,0,4,0,2,1,153
Norsko,578,NO,NOR,16,5,1,0,0,3,2,0,0,0,1,0,1,1,30
Pákistán,586,PK,PAK,47,11,0,5,1,4,0,1,0,1,5,1,2,0,78
Panama,591,PA,PAN,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Paraguay,600,PY,PRY,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Peru,604,PE,PER,18,10,0,0,0,6,1,1,0,0,8,1,2,0,47
Filipíny,608,PH,PHL,33,4,1,2,0,6,1,0,0,1,1,0,0,2,51
Polsko,616,PL,POL,482,177,39,62,34,108,153,301,69,21,127,153,869,38,2633
Portugalsko,620,PT,PRT,62,5,1,5,2,2,2,2,0,2,11,1,5,1,101
Guinea-Bissau,624,GW,GNB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rumunsko,642,RO,ROU,814,210,64,269,36,120,44,41,54,34,171,61,17,59,1994
Rusko,643,RU,RUS,2148,430,20,42,196,147,43,27,23,12,124,37,49,24,3322
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Svatý Tomáš a Princův ostrov,678,ST,STP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Senegal,686,SN,SEN,10,4,0,0,0,1,0,0,0,0,0,0,0,0,15
Srbsko,688,RS,SRB,131,23,1,8,14,12,4,3,0,1,16,5,8,6,232
Sierra Leone,694,SL,SLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Singapur,702,SG,SGP,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3
Slovensko,703,SK,SVK,7283,2459,505,692,267,616,458,425,435,313,2607,511,1356,861,18788
Vietnam,704,VN,VNM,4134,1873,921,2204,2862,3471,713,533,495,385,1306,544,1056,292,20789
Slovinsko,705,SI,SVN,40,8,3,1,3,2,2,2,2,0,7,1,7,2,80
Somálsko,706,SO,SOM,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Jižní Afrika,710,ZA,ZAF,31,9,3,0,2,2,1,0,0,0,10,2,1,2,63
