Občanství,2022 Q1
Afghánistán,59
Albánie,51
Alžírsko,171
Angola,36
Ázerbájdžán,129
Argentina,44
Austrálie,111
Rakousko,505
Bangladéš,17
Arménie,369
Barbados,1
Belgie,153
Bolívie,14
Bosna a Hercegovina,292
Brazílie,99
Britské Panenské ostrovy,5
Kosovo,63
Bulharsko,1973
Myanmar,8
Bělorusko,819
Kambodža,6
Kamerun,26
Kanada,183
Kapverdy,1
Šrí Lanka,24
Čad,107
Chile,41
Čína,292
Tchaj-wan,22
Vánoční ostrov,1
Kolumbie,52
Konžská republika,17
Konžská demokratická republika,18
Kostarika,8
Chorvatsko,455
Kuba,69
Kypr,28
Česko,2009876
Benin,18
Dánsko,87
Dominikánská republika,11
Ekvádor,17
Salvador,4
Etiopie,18
Eritrea,1
Estonsko,38
Finsko,74
Alandy,31
Francie,773
Gruzie,118
Gambie,3
Palestina,13
Německo,3123
Ghana,65
Řecko,280
Guatemala,9
Guinea,22
Guyana,1
Honduras,10
Maďarsko,1391
Island,14
Indie,214
Indonésie,20
Írán,50
Irák,71
Irsko,259
Izrael,132
Itálie,1239
Pobřeží slonoviny,15
Jamajka,2
Japonsko,91
Kazachstán,736
Jordánsko,43
Keňa,11
Korejská lidově demokratická republika,3
Korejská republika,84
Kuvajt,3
Kyrgyzstán,110
Laos,5
Libanon,54
Lotyšsko,146
Libérie,1
Libye,20
Lichtenštejnsko,2
Litva,170
Lucembursko,7
Madagaskar,6
Malajsie,7
Maledivy,1
Mali,2
Malta,18
Mauritánie,1
Mauricius,4
Mexiko,96
Mongolsko,334
Moldavsko,851
Černá Hora,35
Maroko,69
Namibie,4
Nepál,11
Nizozemsko,359
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,36
Niger,10
Nigérie,189
Norsko,33
Pákistán,94
Panama,8
Paraguay,2
Peru,53
Filipíny,80
Polsko,2970
Portugalsko,146
Guinea-Bissau,3
Katar,1
Rumunsko,2620
Rusko,4303
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,1
Saúdská Arábie,1
Senegal,22
Srbsko,293
Sierra Leone,4
Singapur,4
Slovensko,21971
Vietnam,20645
Slovinsko,87
Somálsko,2
Jižní Afrika,65
Zimbabwe,6
Španělsko,507
Súdán,6
Surinam,2
Švédsko,209
Švýcarsko,80
Sýrie,206
Tádžikistán,21
Thajsko,203
Togo,2
Tonga,1
Trinidad a Tobago,2
Spojené arabské emiráty,1
Tunisko,224
Turecko,254
Turkmenistán,10
Uganda,7
Ukrajina,26013
Severní Makedonie,349
Egypt,150
Velká Británie,1722
Guernsey,1
Tanzanie,5
Spojené státy,1707
Burkina Faso,2
Uruguay,4
Uzbekistán,502
Venezuela,34
Jemen,28
Srbsko a Černá Hora,346
Zambie,3
