Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 023  Q1,Středočeský kraj 023  Q1,Jihočeský kraj 023  Q1,Plzeňský kraj 023  Q1,Karlovarský kraj 023  Q1,Ústecký kraj 023  Q1,Liberecký kraj 023  Q1,Královéhradecký kraj 023  Q1,Pardubický kraj 023  Q1,Kraj Vysočina 023  Q1,Jihomoravský kraj 023  Q1,Olomoucký kraj 023  Q1,Moravskoslezský kraj 023  Q1,Zlínský kraj 023  Q1
Afghánistán,004,AF,AFG,24,6,0,1,2,7,3,0,0,3,12,4,5,0
Albánie,008,AL,ALB,18,11,2,1,1,6,2,1,1,2,2,0,4,4
Alžírsko,012,DZ,DZA,102,24,4,2,1,13,2,0,1,1,9,5,6,4
Angola,024,AO,AGO,12,2,1,0,0,2,3,1,1,0,6,3,1,1
Ázerbájdžán,031,AZ,AZE,107,13,3,2,5,4,0,1,1,1,4,3,1,0
Argentina,032,AR,ARG,28,5,1,0,0,1,0,2,2,0,7,1,0,0
Austrálie,036,AU,AUS,60,6,5,6,0,4,7,4,5,0,6,3,4,2
Rakousko,040,AT,AUT,140,20,83,4,21,33,7,3,5,9,117,14,7,20
Bangladéš,050,BD,BGD,16,1,0,1,3,0,0,0,0,0,0,0,3,2
Arménie,051,AM,ARM,193,42,2,4,3,27,8,3,4,21,67,2,11,2
Barbados,052,BB,BRB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgie,056,BE,BEL,81,32,7,5,3,6,5,7,2,2,8,1,3,2
Bolívie,068,BO,BOL,10,1,0,1,0,1,0,0,0,0,0,0,0,1
Bosna a Hercegovina,070,BA,BIH,151,39,4,2,6,15,11,6,5,0,43,8,9,3
Botswana,072,BW,BWA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazílie,076,BR,BRA,75,5,0,2,1,2,1,1,0,0,6,0,4,1
Britské Panenské ostrovy,092,VG,VGB,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,17,11,2,2,7,5,0,3,2,4,9,4,5,0
