Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 023  Q1,Středočeský kraj 023  Q1,Jihočeský kraj 023  Q1,Plzeňský kraj 023  Q1,Karlovarský kraj 023  Q1,Ústecký kraj 023  Q1,Liberecký kraj 023  Q1,Královéhradecký kraj 023  Q1,Pardubický kraj 023  Q1,Kraj Vysočina 023  Q1,Jihomoravský kraj 023  Q1,Olomoucký kraj 023  Q1,Moravskoslezský kraj 023  Q1,Zlínský kraj 023  Q1
Brunej,096,BN,BRN,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulharsko,100,BG,BGR,877,285,53,128,50,136,51,31,30,21,132,86,74,27
Myanmar,104,MM,MMR,3,3,0,0,0,0,0,0,0,0,1,0,0,0
Burundi,108,BI,BDI,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bělorusko,112,BY,BLR,506,105,17,34,33,31,14,17,22,15,56,17,22,11
Kambodža,116,KH,KHM,2,1,0,0,0,0,0,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,21,3,1,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,125,9,9,3,2,1,3,4,7,0,6,3,9,6
Kapverdy,132,CV,CPV,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Šrí Lanka,144,LK,LKA,16,2,0,1,0,0,0,0,0,2,1,0,0,5
Čad,148,TD,TCD,32,15,4,10,3,7,3,12,3,3,19,3,6,1
Chile,152,CL,CHL,35,5,0,1,0,1,0,1,1,0,3,1,1,2
Čína,156,CN,CHN,198,35,6,4,3,21,0,3,4,4,12,5,9,2
Tchaj-wan,158,TW,TWN,19,1,1,1,0,0,1,0,0,0,0,0,0,1
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,39,6,0,2,0,2,1,1,1,0,2,2,2,2
Konžská republika,178,CG,COG,12,1,1,1,0,2,0,0,0,0,0,1,0,0
Konžská demokratická republika,180,CD,COD,9,3,0,1,0,2,0,1,1,0,1,1,1,0
Kostarika,188,CR,CRI,5,3,0,0,0,0,0,0,0,0,1,0,0,1
Chorvatsko,191,HR,HRV,258,42,10,15,13,19,5,3,6,3,35,17,25,12
Kuba,192,CU,CUB,39,10,2,2,1,8,2,2,1,0,3,2,3,2
Kypr,196,CY,CYP,24,2,1,0,0,1,0,0,0,1,1,0,1,1
Česko,203,CZ,CZE,301299,251396,111985,95104,44345,115666,77613,95150,83527,79151,207053,97758,171860,97967
Benin,204,BJ,BEN,14,1,0,0,0,2,2,0,0,0,0,0,0,0
Dánsko,208,DK,DNK,64,8,2,1,0,3,7,0,0,1,3,0,5,1
Dominikánská republika,214,DO,DOM,9,1,1,0,0,0,1,1,0,0,0,0,0,0
Ekvádor,218,EC,ECU,6,4,0,1,0,0,0,0,1,0,3,1,1,0
Salvador,222,SV,SLV,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Etiopie,231,ET,ETH,14,3,0,0,0,0,0,0,0,0,1,0,0,0
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonsko,233,EE,EST,29,5,0,0,2,2,1,1,1,0,4,0,0,0
Finsko,246,FI,FIN,53,6,1,2,0,1,0,1,1,1,6,1,1,0
Alandy,248,AX,ALA,7,4,1,0,2,4,1,2,0,0,4,0,3,0
Francie,250,FR,FRA,580,60,16,24,7,7,5,7,12,9,41,12,18,9
Gruzie,268,GE,GEO,92,11,3,2,4,3,1,0,1,4,4,1,2,1
Gambie,270,GM,GMB,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Palestina,275,PS,PSE,6,3,0,0,0,1,1,0,0,0,2,1,0,0
Německo,276,DE,DEU,643,227,87,256,343,1229,61,46,29,28,107,61,55,19
Ghana,288,GH,GHA,49,4,0,1,0,7,2,1,6,0,8,1,0,1
Řecko,300,GR,GRC,141,18,5,3,5,7,6,3,4,4,32,20,36,1
Guatemala,320,GT,GTM,6,2,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,324,GN,GIN,17,2,0,0,0,0,0,0,0,0,2,0,1,0
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,340,HN,HND,10,0,0,0,0,0,0,0,1,0,0,0,0,1
Hongkong,344,HK,HKG,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maďarsko,348,HU,HUN,752,158,28,151,42,42,38,45,44,25,137,32,26,13
Island,352,IS,ISL,12,1,0,0,1,0,0,0,0,0,0,0,0,0
Indie,356,IN,IND,174,13,1,3,3,5,2,1,3,2,22,2,11,2
Indonésie,360,ID,IDN,15,1,0,0,0,0,0,1,1,0,2,0,4,0
Írán,364,IR,IRN,36,6,1,3,1,0,1,2,0,1,4,2,3,1
Irák,368,IQ,IRQ,34,5,0,2,1,8,1,1,5,1,15,0,3,1
Irsko,372,IE,IRL,184,19,9,7,4,6,7,1,3,4,18,6,7,6
Izrael,376,IL,ISR,104,25,2,1,2,7,0,3,2,0,7,1,3,1
Itálie,380,IT,ITA,808,112,23,33,19,43,10,11,15,5,88,29,52,39
Pobřeží slonoviny,384,CI,CIV,10,2,0,0,1,2,0,0,0,0,0,0,0,0
Jamajka,388,JM,JAM,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Japonsko,392,JP,JPN,73,11,0,0,0,2,1,2,2,0,5,2,2,0
Kazachstán,398,KZ,KAZ,535,120,2,4,31,62,8,7,2,3,35,8,4,4
Jordánsko,400,JO,JOR,22,4,0,0,1,4,0,0,3,0,3,0,3,1
Keňa,404,KE,KEN,4,1,0,0,1,2,0,0,0,0,1,0,1,1
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Korejská republika,410,KR,KOR,69,2,1,2,0,0,1,0,0,1,2,0,8,0
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Kyrgyzstán,417,KG,KGZ,85,15,0,1,19,6,2,0,0,0,2,1,0,2
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0
Libanon,422,LB,LBN,31,6,0,2,1,8,2,2,1,1,0,4,1,2
Lotyšsko,428,LV,LVA,86,20,8,7,3,5,0,1,0,10,5,1,2,3
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Libye,434,LY,LBY,10,2,0,0,0,0,1,0,0,0,5,0,2,0
Lichtenštejnsko,438,LI,LIE,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Litva,440,LT,LTU,76,19,4,13,4,5,6,2,1,17,22,1,2,0
Lucembursko,442,LU,LUX,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagaskar,450,MG,MDG,3,0,0,0,0,0,0,0,1,0,1,0,1,0
Malajsie,458,MY,MYS,5,0,0,0,0,2,0,0,0,0,0,0,0,0
Maledivy,462,MV,MDV,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,470,MT,MLT,19,0,2,0,0,1,0,1,0,0,0,1,1,0
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mauricius,480,MU,MUS,2,1,0,0,0,0,0,0,0,0,1,0,0,0
Mexiko,484,MX,MEX,60,14,2,1,0,1,0,4,3,0,7,1,2,3
Mongolsko,496,MN,MNG,113,22,3,17,13,61,38,19,12,18,37,10,3,16
Moldavsko,498,MD,MDA,319,177,24,58,16,45,49,29,17,25,62,24,5,19
Černá Hora,499,ME,MNE,18,5,0,3,2,3,1,1,0,0,1,2,1,0
Maroko,504,MA,MAR,41,7,0,1,0,7,3,2,0,1,6,1,4,2
Namibie,516,,NAM,3,1,0,0,0,0,0,0,0,0,1,0,1,0
Nepál,524,NP,NPL,5,2,0,3,0,0,1,0,0,0,1,0,0,0
Nizozemsko,528,NL,NLD,165,38,24,14,4,21,18,21,12,8,26,10,5,8
Nizozemské Antily,530,AN,ANT,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nový Zéland,554,NZ,NZL,18,5,0,0,0,1,1,1,1,0,4,1,2,2
Niger,562,NE,NER,8,2,0,0,0,0,0,0,0,0,1,0,0,0
Nigérie,566,NG,NGA,157,13,2,0,0,12,1,1,3,0,9,0,2,1
Norsko,578,NO,NOR,18,2,1,0,0,3,1,1,0,1,3,0,1,2
Pákistán,586,PK,PAK,63,10,1,5,1,5,1,1,0,1,4,2,4,0
Panama,591,PA,PAN,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,600,PY,PRY,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,604,PE,PER,20,13,1,1,0,5,1,2,0,0,8,1,2,1
Filipíny,608,PH,PHL,66,7,3,1,1,6,0,2,0,2,3,1,4,4
Polsko,616,PL,POL,597,197,43,65,40,105,132,292,73,30,132,168,1021,40
Portugalsko,620,PT,PRT,100,12,2,6,2,3,5,2,0,2,13,1,11,1
Guinea-Bissau,624,GW,GNB,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rumunsko,642,RO,ROU,1218,349,85,377,53,201,81,60,67,24,191,82,20,75
Rusko,643,RU,RUS,3181,603,30,64,233,178,41,32,33,13,213,51,57,29
Rwanda,646,RW,RWA,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Tomáš a Princův ostrov,678,ST,STP,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Senegal,686,SN,SEN,15,4,0,0,0,1,0,0,0,0,0,0,0,0
Srbsko,688,RS,SRB,179,43,3,9,13,23,4,3,1,6,24,6,7,7
Sierra Leone,694,SL,SLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapur,702,SG,SGP,3,0,0,1,0,1,0,0,0,0,0,0,0,0
Slovensko,703,SK,SVK,9328,2938,569,819,284,721,477,452,498,336,3518,614,1596,968
Vietnam,704,VN,VNM,4387,1965,882,2166,2739,3295,663,533,518,375,1322,538,1049,298
Slovinsko,705,SI,SVN,49,9,3,2,3,2,0,2,2,0,11,1,7,1
Somálsko,706,SO,SOM,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Jižní Afrika,710,ZA,ZAF,31,8,2,1,2,1,1,1,0,0,9,4,1,4
Zimbabwe,716,ZW,ZWE,4,1,0,0,0,0,0,0,1,0,0,0,0,0
Španělsko,724,ES,ESP,413,23,11,7,4,7,5,5,7,1,40,12,11,4
Súdán,729,SD,SDN,4,0,0,1,0,2,0,0,0,0,0,0,0,0
Surinam,740,SR,SUR,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Švédsko,752,SE,SWE,144,19,2,19,0,14,1,0,1,4,7,3,7,0
Švýcarsko,756,CH,CHE,44,6,8,2,5,4,5,2,1,1,3,0,3,0
Sýrie,760,SY,SYR,70,13,4,14,12,21,6,8,5,2,27,6,19,6
Tádžikistán,762,TJ,TJK,22,1,0,0,0,0,0,0,0,0,2,0,0,0
Thajsko,764,TH,THA,162,17,8,14,4,11,2,0,3,0,6,2,3,3
Togo,768,TG,TGO,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Tonga,776,TO,TON,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Trinidad a Tobago,780,TT,TTO,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Spojené arabské emiráty,784,AE,ARE,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tunisko,788,TN,TUN,114,36,3,7,7,13,6,8,3,1,12,6,15,6
Turecko,792,TR,TUR,164,23,9,12,5,16,12,8,7,5,23,10,10,8
Turkmenistán,795,TM,TKM,9,0,0,0,0,1,0,0,0,0,0,0,0,0
Uganda,800,UG,UGA,3,2,1,0,0,0,0,2,0,0,0,0,0,0
Ukrajina,804,UA,UKR,14172,4735,761,1768,766,1333,816,886,1107,607,1966,499,445,306
Severní Makedonie,807,MK,MKD,133,26,10,9,3,54,3,9,6,3,26,23,36,9
Egypt,818,EG,EGY,61,19,2,3,5,12,6,5,12,2,15,8,18,4
Velká Británie a Severní Irsko,826,GB,GBR,911,218,44,48,14,36,35,32,41,19,128,35,63,48
Guernsey,831,GG,GGY,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tanzanie,834,TZ,TZA,3,0,0,0,0,0,0,0,0,0,1,0,1,0
Spojené státy,840,US,USA,1340,126,39,35,9,30,22,18,19,11,68,28,45,22
Burkina Faso,854,BF,BFA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Uruguay,858,UY,URY,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Uzbekistán,860,UZ,UZB,490,62,1,17,7,4,5,5,4,4,4,4,1,0
Venezuela,862,VE,VEN,24,0,0,0,0,0,0,2,1,0,5,0,1,1
Jemen,887,YE,YEM,9,3,0,1,0,9,1,1,1,0,2,1,2,0
Srbsko a Černá Hora,891,CS,SCG,183,35,12,11,7,19,8,3,1,2,15,6,12,5
Zambie,894,ZM,ZMB,1,2,0,0,0,0,0,0,0,0,0,0,0,0
