Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 019  Q2,Středočeský kraj 019  Q2,Jihočeský kraj 019  Q2,Plzeňský kraj 019  Q2,Karlovarský kraj 019  Q2,Ústecký kraj 019  Q2,Liberecký kraj 019  Q2,Královéhradecký kraj 019  Q2,Pardubický kraj 019  Q2,Kraj Vysočina 019  Q2,Jihomoravský kraj 019  Q2,Olomoucký kraj 019  Q2,Moravskoslezský kraj 019  Q2,Zlínský kraj 019  Q2
Afghánistán,004,AF,AFG,16,6,1,0,2,7,1,0,0,2,12,3,2,0
Albánie,008,AL,ALB,16,7,2,1,1,3,1,2,1,1,2,0,2,4
Alžírsko,012,DZ,DZA,99,28,3,0,0,9,2,0,1,1,9,3,2,2
Angola,024,AO,AGO,12,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,63,5,1,1,4,3,0,1,1,0,1,3,0,0
Argentina,032,AR,ARG,24,2,0,0,0,1,0,1,1,0,3,1,1,0
Austrálie,036,AU,AUS,59,4,5,3,1,4,4,4,7,0,8,2,3,3
Rakousko,040,AT,AUT,128,21,101,5,20,32,7,4,4,7,123,18,10,24
Bahamy,044,BS,BHS,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladéš,050,BD,BGD,5,1,0,1,1,0,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,152,34,2,4,8,31,7,4,4,19,71,2,11,2
Belgie,056,BE,BEL,62,23,7,4,3,7,5,6,1,2,8,1,2,3
Bolívie,068,BO,BOL,8,2,0,0,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,131,36,4,2,4,17,10,7,4,0,43,6,10,1
Botswana,072,BW,BWA,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brazílie,076,BR,BRA,52,7,2,2,0,2,0,2,1,0,7,2,1,0
Britské Panenské ostrovy,092,VG,VGB,5,0,1,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,10,7,1,4,7,5,0,1,3,1,4,1,3,0
Bulharsko,100,BG,BGR,802,247,50,85,32,124,43,27,25,45,132,82,71,27
Myanmar,104,MM,MMR,1,2,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,340,78,13,30,28,38,10,16,18,15,28,15,17,13
Kambodža,116,KH,KHM,2,1,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,15,1,0,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,113,12,9,5,2,2,3,4,6,0,4,4,7,6
