Občanství,Kód,Kód zn.,Kód zn..1,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet,Rok,Q
Afghánistán,4.0,AF,AFG,29,13,0,2,2,7,3,0,0,3,14,3,5,0,81,2024,2
Albánie,8.0,AL,ALB,24,9,1,1,1,3,2,1,2,4,4,2,3,5,62,2024,2
Antarktida,10.0,AQ,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2
Alžírsko,12.0,DZ,DZA,102,27,4,4,1,16,2,1,1,4,11,6,6,2,187,2024,2
Americká Samoa,16.0,AS,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2
Andorra,20.0,AD,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2
Angola,24.0,AO,AGO,11,2,1,0,0,2,3,1,1,0,7,2,1,2,33,2024,2
Antigua a Barbuda,28.0,AG,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2
Ázerbájdžán,31.0,AZ,AZE,139,15,2,5,5,7,0,1,3,2,7,4,3,0,193,2024,2
Argentina,32.0,AR,ARG,31,8,1,0,0,2,0,2,2,0,8,1,2,0,57,2024,2
Austrálie,36.0,AU,AUS,68,7,6,5,0,5,4,2,4,0,6,2,5,2,116,2024,2
Rakousko,40.0,AT,AUT,145,20,80,5,25,33,6,3,5,9,120,11,7,20,489,2024,2
Bahamy,44.0,BS,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2
Bahrajn,48.0,BH,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2
Bangladéš,50.0,BD,BGD,29,3,0,1,2,0,0,0,0,0,11,0,3,0,49,2024,2
Arménie,51.0,AM,ARM,209,46,2,5,4,26,7,3,3,22,69,2,11,3,412,2024,2
Barbados,52.0,BB,BRB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024,2
Belgie,56.0,BE,BEL,89,31,7,4,3,5,5,8,2,2,10,2,3,2,173,2024,2
Bermudy,60.0,BM,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2
Bhútán,64.0,BT,BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2
Bolívie,68.0,BO,BOL,11,1,0,1,0,1,0,0,0,0,0,0,0,0,14,2024,2
Bosna a Hercegovina,70.0,BA,BIH,153,39,5,2,6,15,13,7,5,0,42,8,9,2,306,2024,2
Botswana,72.0,BW,BWA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024,2
Bouvetův ostrov,74.0,BV,BVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2
Brazílie,76.0,BR,BRA,76,3,0,3,1,3,1,1,0,1,7,1,4,2,103,2024,2
Belize,84.0,BZ,BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2
Britské indickooceánské území,86.0,IO,IOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2
Šalomounovy ostrovy,90.0,SB,SLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2
Britské Panenské ostrovy,92.0,VG,VGB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2024,2
Kosovo,95.0,XK,XXK,24,9,1,2,10,5,1,5,7,3,9,4,4,1,85,2024,2
Brunej,96.0,BN,BRN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024,2
Bulharsko,100.0,BG,BGR,929,293,51,132,65,139,52,34,37,22,137,86,67,26,2070,2024,2
