Občanství,022  Q3
Afghánistán,64
Albánie,53
Alžírsko,172
Angola,37
Ázerbájdžán,132
Argentina,44
Austrálie,111
Rakousko,501
Bangladéš,20
Arménie,374
Barbados,1
Belgie,161
Bolívie,13
Bosna a Hercegovina,297
Brazílie,99
Britské Panenské ostrovy,5
Kosovo,70
Bulharsko,2003
Myanmar,7
Burundi,1
Bělorusko,849
Kambodža,6
Kamerun,27
Kanada,178
Kapverdy,1
Šrí Lanka,25
Čad,113
Chile,47
Čína,298
Tchaj-wan,20
Vánoční ostrov,1
Kolumbie,58
Konžská republika,18
Konžská demokratická republika,19
Kostarika,10
Chorvatsko,465
Kuba,73
Kypr,32
Česko,2019838
Benin,20
Dánsko,94
Dominikánská republika,13
Ekvádor,18
Salvador,4
Etiopie,19
Eritrea,1
Estonsko,41
Finsko,75
Alandy,31
Francie,791
Gruzie,125
Gambie,3
Palestina,13
Německo,3150
Ghana,75
Řecko,283
Guatemala,9
Guinea,23
Guyana,1
Honduras,13
Maďarsko,1451
Island,14
Indie,248
Indonésie,20
Írán,63
Irák,75
Irsko,266
Izrael,149
Itálie,1251
Pobřeží slonoviny,16
Jamajka,2
Japonsko,97
Kazachstán,758
Jordánsko,42
Keňa,11
Korejská lidově demokratická republika,3
Korejská republika,89
Kuvajt,4
Kyrgyzstán,112
Laos,5
Libanon,58
Lotyšsko,149
Libérie,1
Libye,20
Lichtenštejnsko,2
Litva,171
Lucembursko,9
Madagaskar,6
Malajsie,7
Maledivy,1
Mali,2
Malta,18
Mauritánie,1
Mauricius,4
Mexiko,97
Mongolsko,362
Moldavsko,863
Černá Hora,37
Maroko,71
Namibie,5
Nepál,11
Nizozemsko,365
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,34
Niger,11
Nigérie,192
Norsko,34
Pákistán,97
Panama,7
Paraguay,2
Peru,52
Filipíny,90
Polsko,3014
Portugalsko,152
Guinea-Bissau,3
Katar,1
Rumunsko,2737
Rusko,4513
Rwanda,1
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,1
Saúdská Arábie,1
Senegal,22
Srbsko,310
Sierra Leone,4
Singapur,5
Slovensko,22686
Vietnam,20721
Slovinsko,90
Somálsko,2
Jižní Afrika,64
Zimbabwe,7
Španělsko,528
Súdán,6
Surinam,2
Švédsko,212
Švýcarsko,81
Sýrie,205
Tádžikistán,22
Thajsko,223
Togo,2
Tonga,1
Trinidad a Tobago,2
Spojené arabské emiráty,1
Tunisko,232
Turecko,280
Turkmenistán,10
Uganda,7
Ukrajina,29158
Severní Makedonie,355
Egypt,165
Velká Británie,1680
Guernsey,1
Tanzanie,6
Spojené státy,1774
Burkina Faso,2
Uruguay,5
Uzbekistán,579
Venezuela,31
Jemen,29
Srbsko a Černá Hora,340
Zambie,3
