Občanství,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2020 Q1,2024 Q1,2024 Q2,2024 Q3
Hongkong,1,1,1,1,1,1,1,2,2,2,2,2,4,1,1,1
Indie,100,104,105,107,112,112,118,115,116,121,122,124,139,285,314,327
Indonésie,5,5,7,7,8,6,7,7,7,7,8,10,9,27,28,28
Irsko,178,179,183,187,189,196,190,194,199,200,206,208,219,293,297,299
Irák,56,57,61,58,59,64,64,64,63,64,64,66,67,84,83,86
Island,9,9,10,11,11,11,12,10,10,10,11,12,10,15,15,15
Itálie,873,889,913,930,945,967,981,1009,1030,1042,1068,1087,1118,1375,1383,1390
Izrael,81,80,79,84,88,84,88,87,90,89,96,97,99,174,173,174
Jamajka,2,2,2,2,2,2,3,3,2,2,2,1,1,2,2,2
Japonsko,72,70,68,71,71,70,71,72,72,75,78,78,80,110,115,116
Jemen,23,23,24,25,25,25,25,25,25,28,27,27,26,33,32,32
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jižní Afrika,47,50,55,54,56,57,62,63,64,65,63,63,59,67,67,72
Jižní Georgie a Jižní Sandwichovy ostrovy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jižní Súdán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordánsko,30,29,29,29,30,32,32,35,35,35,38,37,41,38,37,40
Kajmanské ostrovy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kambodža,9,9,9,9,8,6,5,5,5,5,5,5,5,7,7,7
Kamerun,18,18,18,18,18,18,18,18,19,20,20,20,23,30,28,27
Kanada,147,148,155,150,153,164,165,167,168,175,177,177,176,190,189,194
Kapverdy,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0
Katar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kazachstán,531,554,547,548,538,546,569,558,570,592,607,601,631,914,975,963
Keňa,7,7,9,9,10,10,9,9,9,10,10,11,11,15,16,16
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kokosové (Keelingovy) ostrovy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,30,29,30,31,32,33,38,39,39,43,43,46,41,69,72,69
Komory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konžská demokratická republika,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,17
Konžská republika,16,16,15,15,15,15,15,15,16,17,17,17,16,17,17,18
Korejská lidově demokratická republika,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
Korejská republika,52,55,51,54,52,51,63,62,71,79,82,87,92,95,100,102
Kosovo,34,37,37,39,41,42,42,43,43,47,47,48,52,83,85,85
Kostarika,5,4,5,5,6,6,8,8,7,8,9,9,8,9,10,10
Kuba,46,46,48,48,47,46,46,47,47,51,52,56,58,76,74,75
Kuvajt,2,2,3,4,4,4,4,4,4,4,3,3,3,4,5,5
Kypr,16,17,17,17,16,18,19,19,19,20,20,20,21,32,35,39
Kyrgyzstán,68,69,70,72,74,78,79,79,80,78,85,85,88,155,169,162
Laos,4,4,4,5,5,5,5,5,5,5,5,5,5,6,7,7
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libanon,39,41,41,41,40,44,44,43,43,43,44,46,46,68,71,72
Libye,16,16,15,15,16,16,15,15,15,15,15,15,17,19,19,20
Libérie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lichtenštejnsko,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2
Litva,128,130,131,130,135,137,136,141,140,143,146,148,154,177,174,178
Lotyšsko,103,98,90,89,94,92,94,98,99,109,112,116,119,166,168,169
Lucembursko,7,7,6,6,6,6,6,6,6,6,6,6,6,10,10,11
Macao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagaskar,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6
Makedonie,309,310,304,304,302,308,304,311,307,307,0,0,0,0,0,0
