Občanství,2018 Q1
Afghánistán,54
Albánie,46
Alžírsko,142
Angola,33
Ázerbájdžán,82
Argentina,29
Austrálie,107
Rakousko,512
Bangladéš,13
Arménie,336
Belgie,120
Bolívie,9
Bosna a Hercegovina,275
Botswana,1
Brazílie,70
Britské Panenské ostrovy,6
Kosovo,42
Bulharsko,1668
Myanmar,5
Bělorusko,625
Kambodža,6
Kamerun,18
Kanada,164
Kapverdy,1
Šrí Lanka,14
Čad,82
Chile,27
Čína,255
Tchaj-wan,10
Vánoční ostrov,1
Kolumbie,33
Konžská republika,15
Demokratická republika Kongo,12
Kostarika,6
Chorvatsko,381
Kuba,46
Kypr,18
Česko,1926393
Benin,18
Dánsko,67
Dominikánská republika,6
Ekvádor,10
Salvador,2
Etiopie,14
Eritrea,1
Estonsko,28
Finsko,58
Alandy,40
Francie,590
Gruzie,93
Gambie,1
Palestina,12
Německo,3131
Ghana,50
Řecko,219
Guatemala,3
Guinea,18
Guyana,1
Vatikán,1
Honduras,5
Hongkong,1
Maďarsko,735
Island,11
Indie,112
Indonésie,6
Írán,27
Irák,64
Irsko,196
Izrael,84
Itálie,967
Pobřeží slonoviny,15
Jamajka,2
Japonsko,70
Kazachstán,546
Jordánsko,32
Keňa,10
Korejská lidově demokratická republika,3
Korejská republika,51
Kuvajt,4
Kyrgyzstán,78
Laos,5
Libanon,44
Lotyšsko,92
Libérie,1
Libye,16
Litva,137
Lucembursko,6
Madagaskar,7
Malajsie,7
Mali,2
Malta,12
Mauritánie,1
Mauricius,2
Mexiko,64
Monako,1
Mongolsko,220
Moldavsko,727
Černá Hora,28
Maroko,51
Namibie,3
Nepál,11
Nizozemsko,286
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,32
Niger,15
Nigérie,153
Norsko,24
Pákistán,73
Panama,2
Paraguay,2
Peru,43
Filipíny,47
Polsko,2476
Portugalsko,80
Guinea-Bissau,2
Katar,1
Rumunsko,1496
Rusko,2928
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,2
Saúdská Arábie,1
Senegal,16
Srbsko,205
Sierra Leone,3
Singapur,3
Slovensko,16809
Vietnam,21607
Slovinsko,67
Somálsko,2
Jižní Afrika,57
Zimbabwe,4
Španělsko,354
Súdán,8
Surinam,2
Švédsko,124
Švýcarsko,68
Sýrie,158
Tádžikistán,12
Thajsko,122
Togo,1
Spojené arabské emiráty,1
Tunisko,138
Turecko,164
Turkmenistán,7
Uganda,2
Ukrajina,21730
Makedonie,308
Egypt,96
Velká Británie,1747
Guernsey,1
Tanzanie,4
Spojené státy,1554
Burkina Faso,1
Uruguay,4
Uzbekistán,366
Venezuela,31
Jemen,25
Srbsko a Černá Hora,422
Zambie,4
Součet,2014370
Z toho cizinci,87977
