Občanství,Součet
Afghánistán,52
Albánie,45
Alžírsko,142
Angola,33
Ázerbájdžán,78
Argentina,25
Austrálie,103
Rakousko,508
Bangladéš,12
Arménie,330
Belgie,121
Bolívie,9
Bosna a Hercegovina,270
Botswana,1
Brazílie,64
Britské Panenské ostrovy,6
Kosovo,41
Bulharsko,1625
Myanmar,5
Bělorusko,614
Kambodža,8
Kamerun,18
Kanada,153
Šrí Lanka,14
Čad,80
Chile,25
Čína,251
Tchaj-wan,9
Vánoční ostrov,1
Kolumbie,32
Konžská republika,15
Demokratická republika Kongo,11
Kostarika,6
Chorvatsko,379
Kuba,47
Kypr,16
Česko,1922699
Benin,17
Dánsko,66
Dominikánská republika,6
Ekvádor,10
Salvador,2
Etiopie,13
Eritrea,1
Estonsko,26
Finsko,53
Alandy,41
Francie,568
Gruzie,90
Gambie,1
Palestina,12
Německo,3120
Ghana,49
Řecko,214
Guatemala,4
Guinea,16
Guyana,1
Vatikán,1
Honduras,5
Hongkong,1
Maďarsko,683
Island,11
Indie,112
Indonésie,8
Írán,27
Irák,59
Irsko,189
Izrael,88
Itálie,945
Pobřeží slonoviny,15
Jamajka,2
Japonsko,71
Kazachstán,538
Jordánsko,30
Keňa,10
Korejská lidově demokratická republika,3
Korejská republika,52
Kuvajt,4
Kyrgyzstán,74
Laos,5
Libanon,40
Lotyšsko,94
Libérie,1
Libye,16
Litva,135
Lucembursko,6
Madagaskar,7
Malajsie,6
Mali,2
Malta,11
Mauritánie,1
Mauricius,2
Mexiko,62
Monako,1
Mongolsko,216
Moldavsko,725
Černá Hora,28
Maroko,50
Namibie,2
Nepál,14
Nizozemsko,292
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,30
Niger,14
Nigérie,150
Norsko,21
Pákistán,73
Panama,3
Paraguay,2
Peru,45
Filipíny,43
Polsko,2436
Portugalsko,77
Guinea-Bissau,2
Portoriko,1
Katar,1
Rumunsko,1443
Rusko,2855
Rwanda,1
Svatý Kryštof a Nevis,1
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,2
Saúdská Arábie,1
Senegal,16
Srbsko,202
Sierra Leone,3
Singapur,3
Slovensko,16516
Vietnam,21773
Slovinsko,68
Somálsko,2
Jižní Afrika,56
Zimbabwe,4
Španělsko,341
Súdán,8
Surinam,2
Švédsko,103
Švýcarsko,68
Sýrie,161
Tádžikistán,11
Thajsko,121
Spojené arabské emiráty,1
Tunisko,135
Turecko,162
Turkmenistán,7
Uganda,2
Ukrajina,21746
Makedonie,302
Egypt,91
Velká Británie,1713
Guernsey,1
Tanzanie,4
Spojené státy,1434
Burkina Faso,1
Uruguay,4
Uzbekistán,381
Venezuela,25
Jemen,25
Srbsko a Černá Hora,424
Zambie,4
Součet,2009927
Z toho cizinci,87228
