Občanství,Součet
Afghánistán,81
Albánie,62
Antarktida,0
Alžírsko,187
Americká Samoa,0
Andorra,0
Angola,33
Antigua a Barbuda,0
Ázerbájdžán,193
Argentina,57
Austrálie,116
Rakousko,489
Bahamy,0
Bahrajn,0
Bangladéš,49
Arménie,412
Barbados,2
Belgie,173
Bermudy,0
Bhútán,0
Bolívie,14
Bosna a Hercegovina,306
Botswana,1
Bouvetův ostrov,0
Brazílie,103
Belize,0
Britské indickooceánské území,0
Šalomounovy ostrovy,0
Britské Panenské ostrovy,4
Kosovo,85
Brunej,1
Bulharsko,2070
Myanmar,9
Burundi,2
Bělorusko,1048
Kambodža,7
Kamerun,27
Kanada,194
Kapverdy,0
Kajmanské ostrovy,0
Středoafrická republika,0
Šrí Lanka,29
Čad,125
Chile,61
Čína,344
Tchaj-wan,23
Vánoční ostrov,1
Kokosové (Keelingovy) ostrovy,0
Kolumbie,69
Komory,0
Mayotte,0
Konžská republika,18
Konžská demokratická republika,17
Cookovy ostrovy,0
Kostarika,10
Chorvatsko,472
Kuba,75
Kypr,39
Česko,1791017
Benin,17
Dánsko,104
Dominika,0
Dominikánská republika,12
Ekvádor,23
Salvador,4
Rovníková Guinea,0
Etiopie,19
Eritrea,1
Estonsko,53
Faerské ostrovy,0
Falklandy (Malvíny),0
Jižní Georgie a Jižní Sandwichovy ostrovy,0
Fidži,2
Finsko,90
Alandy,25
Francie,898
Francouzská Guyana,0
Francouzská Polynésie,0
Francouzská jižní a antarktická území,0
Džibutsko,0
Gabon,0
Gruzie,143
Gambie,2
Palestina,14
Německo,3333
Ghana,93
Gibraltar,0
Kiribati,0
Řecko,298
Grónsko,0
Grenada,0
Guadeloupe,0
Guam,0
Guatemala,12
Guinea,26
Guyana,1
Haiti,0
Heardův ostrov a MacDonaldovy ostrovy,0
Vatikán,0
Honduras,13
Hongkong,1
Maďarsko,1790
Island,15
Indie,327
Indonésie,28
Írán,71
Irák,86
Irsko,299
Izrael,174
Itálie,1390
Pobřeží slonoviny,18
Jamajka,2
Japonsko,116
Kazachstán,963
Jordánsko,40
Keňa,16
Korejská lidově demokratická republika,3
Korejská republika,102
Kuvajt,5
Kyrgyzstán,162
Laos,7
Libanon,72
Lesotho,0
Lotyšsko,169
Libérie,1
Libye,20
Lichtenštejnsko,2
Litva,178
Lucembursko,11
Macao,0
Madagaskar,6
Malawi,0
Malajsie,10
Maledivy,3
Mali,4
Malta,29
Martinik,0
Mauritánie,1
Mauricius,6
Mexiko,128
Monako,0
Mongolsko,439
Moldavsko,925
Černá Hora,39
Montserrat,0
Maroko,78
Mosambik,0
Omán,0
Namibie,5
Nauru,0
Nepál,18
Nizozemské království,395
Nizozemské Antily,1
Curaçao,0
Aruba,0
Svatý Martin (NL),0
"Bonaire, Svatý Eustach a Saba",0
Nová Kaledonie,0
Vanuatu,0
Nový Zéland,40
Nikaragua,2
Niger,12
Nigérie,224
Niue,0
Norfolk,0
Norsko,41
Severní Mariany,0
Menší odlehlé ostrovy USA,0
Mikronésie,0
Marshallovy ostrovy,0
Palau,0
Pákistán,103
Panama,6
Papua Nová Guinea,0
Paraguay,2
Peru,66
Filipíny,136
Pitcairn,0
Polsko,2989
Portugalsko,186
Guinea-Bissau,3
Východní Timor,0
Portoriko,0
Katar,1
Réunion,0
Rumunsko,3302
Rusko,5418
Rwanda,1
Svatý Bartoloměj,0
Svatá Helena,0
Svatý Kryštof a Nevis,1
Anguilla,0
Svatá Lucie,1
Svatý Martin (FR),0
Saint Pierre a Miquelon,0
Svatý Vincenc a Grenadiny,0
San Marino,0
Svatý Tomáš a Princův ostrov,1
Saúdská Arábie,1
Senegal,21
Srbsko,370
Seychely,0
Sierra Leone,3
Singapur,9
Slovensko,25389
Vietnam,21106
Slovinsko,96
Somálsko,1
Jižní Afrika,72
Zimbabwe,13
Španělsko,612
Jižní Súdán,0
Súdán,9
Západní Sahara,0
Surinam,2
Špicberky a Jan Mayen,0
Svazijsko,0
Švédsko,245
Švýcarsko,88
Sýrie,221
Tádžikistán,34
Thajsko,272
Togo,4
Tokelau,0
Tonga,1
Trinidad a Tobago,1
Spojené arabské emiráty,3
Tunisko,267
Turecko,392
Turkmenistán,13
Turks a Caicos,0
Tuvalu,0
Uganda,11
Ukrajina,39871
Severní Makedonie,369
Egypt,195
Velká Británie a Severní Irsko,1696
Guernsey,1
Jersey,0
Man,0
Tanzanie,5
Spojené státy,1730
Americké Panenské ostrovy,0
Burkina Faso,2
Uruguay,4
Uzbekistán,761
Venezuela,41
Wallis a Futuna,0
Samoa,0
Jemen,32
Srbsko a Černá Hora,294
Zambie,5
Součet,1918160
Z toho cizinci,127143
