Občanství,Součet
Afghánistán,53
Albánie,43
Alžírsko,162
Angola,37
Ázerbájdžán,85
Argentina,33
Austrálie,103
Rakousko,506
Bahamy,1
Bangladéš,11
Arménie,346
Belgie,136
Bolívie,14
Bosna a Hercegovina,276
Botswana,1
Brazílie,80
Britské Panenské ostrovy,5
Kosovo,48
Bulharsko,1810
Myanmar,6
Bělorusko,672
Kambodža,5
Kamerun,20
Kanada,177
Kapverdy,1
Šrí Lanka,16
Čad,86
Chile,37
Čína,279
Tchaj-wan,18
Vánoční ostrov,1
Kolumbie,46
Konžská republika,17
Demokratická republika Kongo,17
Kostarika,9
Chorvatsko,403
Kuba,56
Kypr,20
Česko,1955732
Benin,18
Dánsko,80
Dominikánská republika,8
Ekvádor,12
Salvador,2
Etiopie,14
Eritrea,1
Estonsko,32
Finsko,65
Alandy,35
Francie,652
Gabon,1
Gruzie,102
Gambie,2
Palestina,9
Německo,3067
Ghana,47
Řecko,240
Guatemala,5
Guinea,20
Guyana,1
Honduras,8
Hongkong,2
Maďarsko,985
Island,12
Indie,124
Indonésie,10
Írán,36
Irák,66
Irsko,208
Izrael,97
Itálie,1087
Pobřeží slonoviny,16
Jamajka,1
Japonsko,78
Kazachstán,601
Jordánsko,37
Keňa,11
Korejská lidově demokratická republika,3
Korejská republika,87
Kuvajt,3
Kyrgyzstán,85
Laos,5
Libanon,46
Lotyšsko,116
Libérie,1
Libye,15
Lichtenštejnsko,1
Litva,148
Lucembursko,6
Madagaskar,7
Malajsie,12
Mali,2
Malta,16
Mauritánie,1
Mauricius,3
Mexiko,73
Mongolsko,247
Moldavsko,737
Černá Hora,32
Maroko,65
Namibie,2
Nepál,8
Nizozemsko,323
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,30
Niger,15
Nigérie,153
Norsko,30
Pákistán,78
Panama,5
Paraguay,3
Peru,47
Filipíny,51
Polsko,2633
Portugalsko,101
Guinea-Bissau,2
Katar,1
Rumunsko,1994
Rusko,3322
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,2
Saúdská Arábie,1
Senegal,15
Srbsko,232
Sierra Leone,3
Singapur,3
Slovensko,18788
Vietnam,20789
Slovinsko,80
Somálsko,2
Jižní Afrika,63
Zimbabwe,2
Španělsko,427
Súdán,7
Surinam,2
Švédsko,170
Švýcarsko,73
Sýrie,176
Tádžikistán,12
Thajsko,145
Togo,2
Trinidad a Tobago,1
Spojené arabské emiráty,1
Tunisko,169
Turecko,193
Turkmenistán,7
Uganda,4
Ukrajina,22724
Severní Makedonie,309
Egypt,116
Velká Británie,1879
Guernsey,1
Tanzanie,4
Spojené státy,1679
Burkina Faso,2
Uruguay,4
Uzbekistán,361
Venezuela,34
Jemen,27
Srbsko a Černá Hora,405
Zambie,5
Součet,2048592
Z toho cizinci,92860
