Občanství,Součet
Afghánistán,52
Albánie,43
Alžírsko,143
Angola,34
Ázerbájdžán,78
Argentina,26
Austrálie,91
Rakousko,501
Bangladéš,12
Arménie,329
Belgie,117
Bolívie,9
Bosna a Hercegovina,277
Brazílie,62
Britské Panenské ostrovy,7
Kosovo,37
Bulharsko,1598
Myanmar,5
Bělorusko,609
Kambodža,9
Kamerun,18
Kanada,155
Šrí Lanka,13
Čad,80
Chile,25
Čína,253
Tchaj-wan,11
Vánoční ostrov,1
Kolumbie,30
Konžská republika,15
Demokratická republika Kongo,9
Kostarika,5
Chorvatsko,375
Kuba,48
Kypr,17
Česko,1916065
Benin,17
Dánsko,69
Dominikánská republika,5
Ekvádor,10
Salvador,3
Etiopie,15
Eritrea,1
Estonsko,24
Finsko,52
Alandy,41
Francie,543
Gruzie,90
Gambie,1
Palestina,10
Německo,3109
Ghana,46
Řecko,203
Guatemala,4
Guinea,16
Guyana,1
Vatikán,1
Honduras,4
Hongkong,1
Maďarsko,627
Island,10
Indie,105
Indonésie,7
Írán,28
Irák,61
Irsko,183
Izrael,79
Itálie,913
Pobřeží slonoviny,15
Jamajka,2
Japonsko,68
Kazachstán,547
Jordánsko,29
Keňa,9
Korejská lidově demokratická republika,3
Korejská republika,51
Kuvajt,3
Kyrgyzstán,70
Laos,4
Libanon,41
Lotyšsko,90
Libérie,1
Libye,15
Litva,131
Lucembursko,6
Madagaskar,7
Malajsie,6
Mali,2
Malta,10
Mauritánie,1
Mauricius,1
Mexiko,58
Monako,1
Mongolsko,207
Moldavsko,715
Černá Hora,28
Maroko,51
Namibie,2
Nepál,13
Nizozemsko,278
Nizozemské Antily,2
Curacao,1
Vanuatu,1
Nový Zéland,28
Niger,14
Nigérie,147
Norsko,20
Pákistán,70
Panama,2
Paraguay,3
Peru,45
Filipíny,43
Polsko,2389
Portugalsko,74
Guinea-Bissau,2
Portoriko,1
Katar,1
Rumunsko,1376
Rusko,2811
Rwanda,1
Svatý Kryštof a Nevis,1
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,2
Saúdská Arábie,1
Senegal,15
Srbsko,195
Sierra Leone,3
Singapur,2
Slovensko,16033
Vietnam,22182
Slovinsko,68
Somálsko,2
Jižní Afrika,55
Zimbabwe,3
Španělsko,329
Súdán,7
Surinam,2
Švédsko,98
Švýcarsko,64
Sýrie,161
Tádžikistán,9
Thajsko,116
Spojené arabské emiráty,1
Tunisko,122
Turecko,149
Turkmenistán,6
Uganda,2
Ukrajina,22087
Makedonie,304
Egypt,89
Velká Británie,1679
Guernsey,1
Tanzanie,3
Spojené státy,1467
Burkina Faso,1
Uruguay,4
Uzbekistán,356
Venezuela,23
Jemen,24
Srbsko a Černá Hora,436
Zambie,3
Součet,2003040
Z toho cizinci,86975
