Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj
Estonsko,233,EE,EST,36,6,0,0,2,2,1,1,1,0,4,0,0,0
Faerské ostrovy,234,FO,FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falklandy (Malvíny),238,FK,FLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jižní Georgie a Jižní Sandwichovy ostrovy,239,GS,SGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fidži,242,FJ,FJI,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Finsko,246,FI,FIN,63,7,1,2,2,1,0,1,1,0,9,1,2,0
Alandy,248,AX,ALA,6,4,1,0,1,4,1,1,0,0,4,0,3,0
Francie,250,FR,FRA,654,63,13,27,7,7,6,8,13,10,49,12,20,9
Francouzská Guyana,254,GF,GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francouzská Polynésie,258,PF,PYF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francouzská jižní a antarktická území,260,TF,ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Džibutsko,262,DJ,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,266,GA,GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gruzie,268,GE,GEO,99,17,3,1,4,3,1,1,2,4,4,1,2,1
Gambie,270,GM,GMB,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Palestina,275,PS,PSE,7,3,0,0,0,1,1,0,0,0,2,0,0,0
Německo,276,DE,DEU,745,226,97,236,455,1195,56,43,30,26,100,57,48,19
Ghana,288,GH,GHA,56,6,0,2,0,7,1,2,5,0,12,1,0,1
Gibraltar,292,GI,GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,296,KI,KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Řecko,300,GR,GRC,150,19,5,4,5,6,5,3,4,5,36,22,32,2
Grónsko,304,GL,GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,308,GD,GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,312,GP,GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,316,GU,GUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,320,GT,GTM,8,4,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,324,GN,GIN,18,6,0,0,0,0,0,0,0,0,2,0,0,0
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,332,HT,HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heardův ostrov a MacDonaldovy ostrovy,334,HM,HMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vatikán,336,VA,VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,340,HN,HND,11,0,0,0,0,0,0,0,1,0,0,0,0,1
Hongkong,344,HK,HKG,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maďarsko,348,HU,HUN,863,201,40,171,46,47,42,52,55,32,158,39,24,20
Island,352,IS,ISL,13,1,0,0,1,0,0,0,0,0,0,0,0,0
Indie,356,IN,IND,220,17,3,4,3,5,4,1,3,3,39,3,20,2
Indonésie,360,ID,IDN,19,2,0,0,1,0,0,1,0,0,1,0,4,0
Írán,364,IR,IRN,40,7,0,2,1,0,1,3,0,1,8,3,4,1
Irák,368,IQ,IRQ,35,6,0,3,1,8,1,1,6,1,19,0,3,2
Irsko,372,IE,IRL,192,21,8,9,3,7,6,1,3,5,22,7,9,6
Izrael,376,IL,ISR,111,26,3,1,2,11,0,3,2,0,9,2,3,1
Itálie,380,IT,ITA,912,116,24,33,21,39,9,10,15,6,86,26,53,40
Pobřeží slonoviny,384,CI,CIV,12,2,0,0,1,2,0,0,0,0,1,0,0,0
Jamajka,388,JM,JAM,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Japonsko,392,JP,JPN,82,14,0,2,0,3,1,2,2,0,7,1,2,0
Kazachstán,398,KZ,KAZ,648,128,3,6,27,68,12,6,4,4,41,7,5,4
Jordánsko,400,JO,JOR,23,3,0,0,1,4,0,0,3,0,2,0,3,1
Keňa,404,KE,KEN,5,4,0,1,1,2,0,0,0,0,1,0,1,1
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Korejská republika,410,KR,KOR,80,5,1,2,1,0,0,0,0,1,2,0,10,0
Kuvajt,414,KW,KWT,3,1,0,0,0,0,0,1,0,0,0,0,0,0
Kyrgyzstán,417,KG,KGZ,101,17,0,1,22,9,3,0,0,0,6,1,0,2
Laos,418,LA,LAO,3,2,0,0,0,0,0,0,0,0,2,0,0,0
Libanon,422,LB,LBN,38,7,0,2,1,11,2,2,1,1,0,5,1,1
Lesotho,426,LS,LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lotyšsko,428,LV,LVA,99,23,4,7,5,5,0,1,0,13,4,1,4,3
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Libye,434,LY,LBY,9,2,0,0,0,0,1,0,0,0,6,0,2,0
Lichtenštejnsko,438,LI,LIE,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Litva,440,LT,LTU,84,14,3,12,4,6,6,2,3,17,20,2,4,1
Lucembursko,442,LU,LUX,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao,446,MO,MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagaskar,450,MG,MDG,3,0,0,0,0,0,0,0,1,0,1,0,1,0
Malawi,454,MW,MWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malajsie,458,MY,MYS,7,0,0,0,0,2,0,1,0,0,0,0,0,0
Maledivy,462,MV,MDV,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Mali,466,ML,MLI,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Malta,470,MT,MLT,22,2,1,0,0,0,0,1,0,0,0,2,1,0
Martinik,474,MQ,MTQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mauricius,480,MU,MUS,3,0,0,0,0,1,0,0,0,0,1,1,0,0
Mexiko,484,MX,MEX,77,16,4,1,0,1,0,4,3,1,11,1,4,5
Monako,492,MC,MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolsko,496,MN,MNG,118,25,6,20,12,92,43,19,15,20,35,11,3,20
Moldavsko,498,MD,MDA,327,199,28,65,16,47,49,29,15,27,72,24,7,20
Černá Hora,499,ME,MNE,22,4,0,2,2,3,2,1,0,0,0,2,1,0
Montserrat,500,MS,MSR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maroko,504,MA,MAR,44,9,1,1,0,5,3,1,0,1,5,2,4,2
Mosambik,508,MZ,MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omán,512,OM,OMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibie,516,,NAM,2,1,0,0,0,0,0,0,0,0,1,0,1,0
Nauru,520,NR,NRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepál,524,NP,NPL,7,3,0,5,0,0,0,0,0,0,3,0,0,0
Nizozemské království,528,NL,NLD,175,42,23,15,4,22,19,24,14,10,24,11,6,6
Nizozemské Antily,530,AN,ANT,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Curaçao,531,CW,CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,533,AW,ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Martin (NL),534,SX,SXM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonaire, Svatý Eustach a Saba",535,BQ,BES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nová Kaledonie,540,NC,NCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nový Zéland,554,NZ,NZL,22,5,0,0,0,1,1,1,1,0,5,1,1,2
Nikaragua,558,NI,NIC,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Niger,562,NE,NER,9,2,0,0,0,0,0,0,0,0,1,0,0,0
Nigérie,566,NG,NGA,168,14,2,1,0,12,3,1,3,2,13,0,4,1
Niue,570,NU,NIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk,574,NF,NFK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norsko,578,NO,NOR,22,2,1,0,0,3,1,1,2,1,5,0,1,2
Severní Mariany,580,MP,MNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menší odlehlé ostrovy USA,581,UM,UMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikronésie,583,FM,FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshallovy ostrovy,584,MH,MHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau,585,PW,PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pákistán,586,PK,PAK,68,7,1,5,3,5,1,1,0,2,6,1,3,0
Panama,591,PA,PAN,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Papua Nová Guinea,598,PG,PNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,600,PY,PRY,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Peru,604,PE,PER,27,17,1,1,0,5,1,2,2,0,7,1,2,0
Filipíny,608,PH,PHL,81,15,4,1,2,8,0,3,0,3,7,1,7,4
Pitcairn,612,PN,PCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polsko,616,PL,POL,664,190,40,62,41,105,130,282,68,28,129,169,1042,39
Portugalsko,620,PT,PRT,124,12,1,5,3,3,7,3,0,2,15,1,9,1
Guinea-Bissau,624,GW,GNB,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Východní Timor,626,TL,TLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portoriko,630,PR,PRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Réunion,638,RE,REU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rumunsko,642,RO,ROU,1391,435,106,408,59,216,107,51,75,29,226,85,30,84
Rusko,643,RU,RUS,3716,667,32,60,248,188,43,36,39,14,230,50,62,33
Rwanda,646,RW,RWA,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Svatý Bartoloměj,652,BL,BLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatá Helena,654,SH,SHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Kryštof a Nevis,659,KN,KNA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,660,AI,AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
